player,birth_state
Clyde Lee,Tennessee
Clyde Lovellette*,Indiana
Clyde Mayes,South Carolina
Coby Dietrick,California
Coby Karl,Montana
Cody Zeller,Indiana
Cole Aldrich,Minnesota
Conner Henry,California
Connie Dierking,New York
Connie Hawkins*,New York
Connie Norman,Michigan
Connie Simmons,New Jersey
Corey Beck,Tennessee
Corey Benjamin,California
Corey Brewer,Tennessee
Corey Crowder,Georgia
Corey Gaines,California
Corey Maggette,Illinois
Corey Williams,Georgia
Corie Blount,California
Corky Calhoun,Illinois
Corliss Williamson,Georgia
Cornelius Cash,Mississippi
Cornell Warner,Mississippi
Corny Thompson,Connecticut
Corsley Edwards,Maryland
Cory Alexander,Virginia
Cory Blackwell,Illinois
Cory Carr,Arkansas
Cory Higgins,California
Cory Jefferson,Washington
Cory Joseph,Canada
Cotton Nash,New Jersey
Coty Clarke,Tennessee
Courtney Alexander,Virginia
Courtney Fortson,Texas
Courtney Lee,Indiana
Courtney Sims,Massachusetts
Cozell McQueen,France
Craig Brackins,California
Craig Dykema,California
Craig Ehlo,Texas
Craig Hodges,Illinois
Craig Neal,Indiana
Craig Raymond,Washington
Craig Shelton,District of Columbia
Craig Smith,California
Cristiano Felicio,Brazil
Cuonzo Martin,Missouri
Curtis Borchardt,New York
Curtis Kitchen,Florida
Curtis Perry,District of Columbia
Curtis Rowe,Alabama
Cuttino Mobley,Pennsylvania
Daequan Cook,California
Dahntay Jones,Texas
DaJuan Summers,Maryland
Dale Davis,Georgia
Dale Ellis,Georgia
Dale Schlueter,Washington
Dale Wilkinson,Idaho
Dallas Comegys,Pennsylvania
Damian Jones,Texas
Damian Lillard,California
Damien Inglis,French Guiana
Damien Wilkins,Idaho
Damion James,New Mexico
Damir Markota,Bosnia and Herzegovina
Damjan Rudez,Croatia
Damon Jones,Texas
Damon Stoudamire,Oregon
Damone Brown,California
Dan Anderson,Minnesota
Dan Dickau,Oregon
Dan Gadzuric,Netherlands
Dan Godfread,Indiana
Dan Issel*,Illinois
Dan Langhi,Illinois
Dan Majerle,Michigan
Dan McClintock,California
Dan O'Sullivan,New York
Dan Roundfield,Michigan
Dan Swartz,Kentucky
Dan Tieman,Kentucky
Dana Barros,Massachusetts
Dane Suttle,California
Daniel Ewing,Florida
Daniel Gibson,Texas
Daniel Ochefu,Maryland
Daniel Orton,Oklahoma
Daniel Santiago,Texas
Danilo Gallinari,Italy
Danny Ainge,Oregon
Danny Doyle,New York
Danny Ferry,Maryland
Danny Fortson,Pennsylvania
Danny Granger,Louisiana
Danny Green,California
Danny Manning,Mississippi
Danny Schayes,New York
Danny Vranes,Utah
Danny Young,North Carolina
Dante Cunningham,Maryland
Dante Exum,Australia
Danuel House,Texas
Darington Hobson,Nevada
Dario Saric,Croatia
Darius Johnson-Odom,Louisiana
Darius Miles,Illinois
Darius Miller,Kentucky
Darius Morris,California
Darius Songaila,Lithuania
Darius Washington,Florida
Darko Milicic,Serbia
Darnell Hillman,California
Darnell Jackson,Oklahoma
Darnell Mee,Tennessee
Darnell Valentine,Illinois
Darrall Imhoff,California
Darrell Allums,California
Darrell Armstrong,North Carolina
Darrell Arthur,Texas
Darrell Elston,Indiana
Darrell Griffith,Kentucky
Darrell Lockhart,Georgia
Darrell Walker,Illinois
Darren Collison,California
Darren Daye,Iowa
Darren Morningstar,Washington
Darren Tillis,Texas
Darrick Martin,Colorado
Darrin Hancock,Alabama
Darrun Hilliard,Pennsylvania
Darryl Dawkins,Florida
Darryl Johnson,Louisiana
Darryl Watkins,New Jersey
Darvin Ham,Michigan
Darwin Cook,California
Dave Batton,Maryland
Dave Bing*,District of Columbia
Dave Britton,New York
Dave Budd,New Jersey
Dave Corzine,Illinois
Dave Cowens*,Kentucky
Dave DeBusschere*,Michigan
Dave Deutsch,New York
Dave Feitl,Pennsylvania
Dave Gambee,Oregon
Dave Greenwood,California
Dave Henderson,North Carolina
Dave Hoppen,Nebraska
Dave Jamerson,West Virginia
Dave Johnson,Louisiana
Dave Lattin,Texas
Dave Magley,Indiana
Dave Meyers,California
Dave Newmark,New York
Dave Popson,Pennsylvania
Dave Robisch,Ohio
Dave Schellhase,Indiana
Dave Stallworth,Texas
Dave Twardzik,Pennsylvania
Dave Wohl,New York
David Andersen,Minnesota
David Benoit,Louisiana
David Burns,Texas
David Cooke,California
David Harrison,Tennessee
David Lee,California
David Noel,North Carolina
David Nwaba,California
David Pope,Virginia
David Rivers,New Jersey
David Robinson*,Florida
David Stockton,Washington
David Thirdkill,Missouri
David Thompson*,North Carolina
David Vanterpool,Florida
David Vaughn,Tennessee
David Wear,California
David Wesley,Texas
David West,New Jersey
David Wingate,Maryland
David Wood,Washington
Davis Bertans,Latvia
Dean Garrett,California
Dean Meminger,South Carolina
Dean Oliver,Illinois
Dean Tolson,Missouri
DeAndre' Bembry,North Carolina
DeAndre Jordan,Texas
DeAndre Liggins,Illinois
Dedric Willoughby,Louisiana
Dee Brown,Florida
Dejounte Murray,Washington
DeJuan Blair,Pennsylvania
DeJuan Wheat,Kentucky
Del Beshore,Pennsylvania
Delaney Rudd,North Carolina
Dell Curry,Virginia
Dell Demps,California
Delon Wright,California
Delonte West,District of Columbia
DeMar DeRozan,California
DeMarco Johnson,California
DeMarcus Cousins,Alabama
DeMarcus Nelson,California
DeMarre Carroll,Alabama
Demetris Nichols,Massachusetts
Demetrius Calip,Michigan
Demetrius Jackson,Indiana
Deng Gai,South Sudan
Dennis Awtrey,California
Dennis Bell,Ohio
Dennis Boyd,Virginia
Dennis DuVal,New York
Dennis Hamilton,California
Dennis Hopson,Ohio
Dennis Horner,New Jersey
Dennis Johnson*,California
Dennis Nutt,Arkansas
Dennis Rodman*,New Jersey
Dennis Schroder,Germany
Dennis Scott,Maryland
Denzel Valentine,Michigan
DeQuan Jones,Georgia
Derek Anderson,Kentucky
Derek Fisher,Arkansas
Derek Grimm,Illinois
Derek Harper,Georgia
Derek Hood,Missouri
Derek Strong,California
DerMarr Johnson,California
Deron Williams,West Virginia
Derrek Dickey,Ohio
Derrick Alston,New York
Derrick Brown,Florida
Derrick Byars,Tennessee
Derrick Caracter,New Jersey
Derrick Chievous,New York
Derrick Coleman,Alabama
Derrick Dial,Michigan
Derrick Favors,Georgia
Derrick Gervin,Michigan
Derrick Jones,Georgia
Derrick McKey,Mississippi
Derrick Phelps,New York
Derrick Rose,Illinois
Derrick Rowland,New York
Derrick Williams,West Virginia
Derrick Zimmerman,Louisiana
DeSagana Diop,Senegal
DeShawn Stevenson,California
Desmon Farmer,Michigan
Desmond Ferguson,Michigan
Desmond Mason,Texas
Desmond Penigar,California
Detlef Schrempf,Germany
Devean George,Minnesota
Devin Booker,Michigan
Devin Brown,Florida
Devin Durrant,Utah
Devin Ebanks,New York
Devin Gray,Maryland
Devin Green,Ohio
Devin Harris,Wisconsin
Devyn Marble,Michigan
Dewayne Dedmon,California
DeWayne Scales,Texas
Dexter Boney,Delaware
Dexter Cambridge,Bahamas
Dexter Pittman,Texas
Dexter Shouse,Indiana
Deyonta Davis,Michigan
Diamond Stone,Wisconsin
Dick Atha,Indiana
Dick Barnett,Indiana
Dick Bunt,New York
Dick Cunningham,Ohio
Dick Dickey,Indiana
Dick Garmaker,Minnesota
Dick Gibbs,Iowa
Dick Groat,Pennsylvania
Dick Hemric,North Carolina
Dick Knostman,Kansas
Dick McGuire*,New York
Dick Miller,Wisconsin
Dick O'Keefe,California
Dick Ricketts,Pennsylvania
Dick Schnittker,Ohio
Dick Schulz,Wisconsin
Dick Snyder,Ohio
Dick Triptow,Illinois
Dickey Simpkins,Maryland
Dijon Thompson,California
Dike Eddleman,Illinois
Dikembe Mutombo*,Democratic Republic of the Congo
Dillard Crocker,Tennessee
Dino Radja,Croatia
Dion Glover,Georgia
Dion Waiters,Pennsylvania
Dionte Christmas,Pennsylvania
Dirk Minniefield,Kentucky
Dirk Nowitzki,Germany
Doc Rivers,Illinois
Dolph Schayes*,New York
Domantas Sabonis,Oregon
Dominic McGuire,California
Dominic Pressley,District of Columbia
Dominique Jones,Tennessee
Dominique Wilkins*,France
Don Ackerman,New York
Don Adams,Georgia
Don Asmonga,Pennsylvania
Don Barksdale*,California
Don Boven,Michigan
Don Buse,Indiana
Don Carlson,Minnesota
Don Chaney,Louisiana
Don Collins,Illinois
Don Ford,California
Don Grate,Ohio
Don Kojis,Wisconsin
Don Lofgran,California
Don MacLean,California
Don May,Ohio
Don Nelson*,Michigan
Don Ohl,Illinois
Don Otten,Ohio
Don Ray,Tennessee
Don Rehfeldt,Illinois
Don Reid,District of Columbia
Don Sunderlage,Illinois
Donald Hodge,District of Columbia
Donald Royal,Louisiana
Donald Sloan,Louisiana
Donald Whiteside,Illinois
Donatas Motiejunas,Lithuania
Donell Taylor,District of Columbia
Donnell Harvey,Georgia
Donnie Boyce,Illinois
Donnie Butcher,Kentucky
Donnie Freeman,Illinois
Donny Marshall,Pennsylvania
Dontae' Jones,Tennessee
Donte Greene,Germany
Dontell Jefferson,Georgia
Dontonio Wingfield,Georgia
Donyell Marshall,Pennsylvania
Dorell Wright,California
Dorian Finney-Smith,Virginia
Doron Lamb,New York
Doug Christie,Washington
Doug Collins,Illinois
Doug Edwards,Florida
Doug Lee,Illinois
Doug McDermott,North Dakota
Doug Overton,Pennsylvania
Doug Roth,Tennessee
Doug Sims,Alabama
Doug West,Pennsylvania
Dragan Bender,Bosnia and Herzegovina
Dragan Tarlac,Serbia
Draymond Green,Michigan
Drazen Petrovic*,Croatia
Drew Barry,California
Drew Gooden,California
Drew Gordon,California
Duane Causwell,New York
Duane Cooper,Michigan
Duane Ferrell,Maryland
Duane Klueh,North Dakota
Duane Washington,Germany
Duck Williams,Alabama
Dudley Bradley,Maryland
Duje Dukan,Croatia
Dwayne Jones,Texas
Dwayne McClain,Massachusetts
Dwayne Morton,Kentucky
Dwayne Polee,California
Dwayne Schintzius,Florida
Dwayne Whitfield,Mississippi
Dwight Anderson,Ohio
Dwight Buycks,Wisconsin
Dwight Davis,Texas
Dwight Howard,Georgia
Dwight Jones,Texas
Dwight Powell,Canada
Dwight Waller,Tennessee
Dwyane Wade,Illinois
Dyron Nix,Mississippi
Earl Barron,Mississippi
Earl Boykins,Ohio
Earl Clark,New Jersey
Earl Cureton,Michigan
Earl Evans,Texas
Earl Jones,West Virginia
Earl Monroe*,Pennsylvania
Earl Tatum,New York
Earl Watson,Kansas
Earl Williams,Pennsylvania
Easy Parham,Texas
Ed Davis,District of Columbia
Ed Gray,California
Ed Horton,Illinois
Ed Macauley*,Missouri
Ed Manning,Mississippi
Ed Nealy,Kansas
Ed O'Bannon,California
Ed Pinckney,New York
Ed Rains,Florida
Ed Ratleff,Ohio
Ed Sadowski,Pennsylvania
Ed Searcy,New York
Ed Sherod,Virginia
Ed Smith,Ohio
Ed Stokes,New York
Eddie Basden,New York
Eddie Gill,Colorado
Eddie Griffin,Pennsylvania
Eddie House,California
Eddie Hughes,Mississippi
Eddie Johnson,Georgia
Eddie Jones,Alabama
Eddie Jordan,District of Columbia
Eddie Mast,Pennsylvania
Eddie Miles,Arkansas
Eddie Phillips,Alabama
Eddie Robinson,Michigan
Eddy Curry,Illinois
Edgar Jones,Alabama
