Player,birth_state
Bob Kauffman,New York
Stu Lantz,Pennsylvania
Don May,Ohio
Otto Moore,Florida
Dave Newmark,New York
Rich Niemann,Missouri
Barry Orms,Missouri
Charlie Paulk,Georgia
Bob Quick,Mississippi
Craig Raymond,Washington
Mike Riordan,New York
Dale Schlueter,Washington
Doug Sims,Alabama
Greg Smith,Kentucky
John Trapp,Michigan
Wes Unseld*,Kentucky
Dwight Waller,Tennessee
Ron Williams,West Virginia
Kareem Abdul-Jabbar*,New York
Lucius Allen,Kansas
Johnny Baum,Pennsylvania
Butch Beard,Kentucky
Fred Carter,Pennsylvania
Bob Dandridge,Virginia
Mike Davis,New York
Herm Gilliam,North Carolina
Lamar Green,Alabama
Connie Hawkins*,New York
Steve Kuberski,Illinois
Mike Lynn,California
Willie McCarter,Indiana
Steve Mix,Ohio
Grady O'Malley,Massachusetts
Bud Ogden,California
Bob Portman,California
Luther Rackley,Georgia
Rick Roberson,Tennessee
Neal Walk,Ohio
John Warren,Georgia
Bernie Williams,District of Columbia
Lee Winfield,Missouri
Don Adams,Georgia
Tiny Archibald*,New York
Bob Arnzen,Kentucky
Dennis Awtrey,California
Dave Cowens*,Kentucky
Terry Driscoll,Massachusetts
Claude English,Georgia
Greg Fillmore,Pennsylvania
Spencer Haywood*,Mississippi
Gar Heard,Georgia
Greg Howard,Pennsylvania
John Hummer,District of Columbia
George Johnson,Texas
John Johnson,Mississippi
Sam Lacey,Mississippi
Bob Lanier*,New York
Pete Maravich*,Pennsylvania
Eddie Mast,Pennsylvania
Jim McMillian,North Carolina
Rex Morgan,Illinois
Calvin Murphy*,Connecticut
Curtis Perry,District of Columbia
Geoff Petrie,Pennsylvania
Mike Price,Kentucky
Paul Ruffner,California
Mike Silliman,Kentucky
Garfield Smith,Kentucky
Fred Taylor,Texas
Joe Thomas,Georgia
Rudy Tomjanovich,Michigan
Cornell Warner,Mississippi
Milt Williams,Washington
Fred Brown,Wisconsin
Austin Carr,District of Columbia
Phil Chenier,California
Jim Cleamons,North Carolina
Charlie Davis,New York
Ken Durrett,Pennsylvania
Dick Gibbs,Iowa
Clarence Glover,Kentucky
Mo Layton,New Jersey
Stan Love,California
Jim McDaniels,Kentucky
Kenny McIntosh,Michigan
Cliff Meely,Mississippi
Dean Meminger,South Carolina
John Mengelt,Wisconsin
Mike Newlin,Oregon
Willie Norwood,Mississippi
Steve Patterson,California
Howard Porter,Florida
Clifford Ray,South Carolina
Jackie Ridgle,Arkansas
Curtis Rowe,Alabama
Charlie Scott,New York
Elmore Smith,Georgia
Randy Smith,New York
Larry Steele,Indiana
George Trapp,Michigan
Sidney Wicks,California
Nate Williams,Louisiana
Isaiah Wilson,Pennsylvania
Dave Wohl,New York
Henry Bibby,North Carolina
Freddie Boyd,California
Steve Bracey,New York
John Brisker,Michigan
Roger Brown,New York
Corky Calhoun,Illinois
Dwight Davis,Texas
Mickey Davis,New York
Charles Dudley,Pennsylvania
Scott English,Illinois
Chris Ford,New Jersey
Rowland Garrett,Mississippi
John Gianelli,California
Travis Grant,Alabama
Luther Green,New York
Charles Johnson,Texas
Ollie Johnson,Pennsylvania
Manny Leaks,Ohio
Russ Lee,Massachusetts
LaRue Martin,Illinois
Bob McAdoo*,North Carolina
Paul McCracken,New York
Eric McWilliams,Colorado
Bob Nash,Connecticut
Lloyd Neal,Georgia
Kevin Porter,Illinois
Jim Price,Kentucky
Mike Ratliff,Mississippi
Tom Riker,New York
Ron Riley,California
Frank Schade,Wisconsin
Bud Stallworth,Alabama
Chuck Terry,California
John Tschogl,California
Paul Westphal,California
Harthorne Wingo,North Carolina
Mike Bantom,Pennsylvania
Ron Behagen,New York
Dennis Bell,Ohio
Jim Brewer,Illinois
Allan Bristow,Virginia
John Brown,Germany
Larry Cannon,Pennsylvania
Doug Collins,Illinois
Mike D'Antoni,West Virginia
Mel Davis,New York
Derrek Dickey,Ohio
Ernie DiGregorio,Rhode Island
Steve Downing,Indiana
Bernie Fryer,Washington
Phil Hankinson,Georgia
Nate Hawthorne,Illinois
Tom Ingelsby,Pennsylvania
Dwight Jones,Texas
Tom Kozelko,Michigan
Kevin Kunnert,Iowa
Allie McGuire,New York
Larry McNeill,North Carolina
Gary Melchionni,New Jersey
Louie Nelson,California
Jim Owens,California
Ed Ratleff,Ohio
Bob Verga,New Jersey
Kermit Washington,District of Columbia
Slick Watts,Mississippi
Nick Weatherspoon,Mississippi
Luke Witte,Pennsylvania
Dan Anderson,Minnesota
Jim Ard,Illinois
Gus Bailey,North Carolina
Leon Benbow,South Carolina
Ken Boyd,Maryland
Gary Brokaw,New Jersey
Tom Burleson,North Carolina
Harvey Catchings,Mississippi
Jim Chones,Wisconsin
Ben Clyde,Georgia
Jesse Dark,Virginia
Rod Derline,Washington
John Drew,Alabama
Dennis DuVal,New York
Al Eberhard,Iowa
Leonard Gray,Kansas
Bernie Harris,Virginia
Steve Hawes,Washington
Tom Henderson,South Carolina
Greg Jackson,New York
Wardell Jackson,Mississippi
Aaron James,Louisiana
Mickey Johnson,Illinois
Jimmy Jones,Louisiana
Frank Kendrick,Indiana
Len Kosmalski,Ohio
Bill Ligon,Tennessee
Phil Lumpkin,Ohio
Glenn McDonald,Illinois
Eric Money,Michigan
Connie Norman,Michigan
Kevin Restani,California
Truck Robinson,Florida
Campy Russell,Illinois
Fred Saunders,Ohio
Tal Skinner,Maryland
Phil Smith,California
Mike Sojourner,Pennsylvania
Kevin Stacom,New York
George Thompson,New York
Dean Tolson,Missouri
Foots Walker,New York
Bill Walton*,California
Perry Warbington,Georgia
Stan Washington,District of Columbia
Scott Wedman,Kansas
Owen Wells,Rhode Island
Jamaal Wilkes*,California
Earl Williams,Pennsylvania
Brian Winters,New York
Alvan Adams,Kansas
Jerome Anderson,West Virginia
Jerry Baskerville,Pennsylvania
Bob Bigelow,Massachusetts
Tom Boswell,Alabama
Junior Bridgeman,Indiana
Joe Bryant,Pennsylvania
Al Carlson,California
Jim Creighton,Montana
Darryl Dawkins,Florida
Henry Dickerson,West Virginia
Eric Fernsten,California
Larry Fogle,New York
Don Ford,California
Donnie Freeman,Illinois
Kevin Grevey,Ohio
Bob Gross,California
Lindsay Hairston,Michigan
Glenn Hansen,North Dakota
Robert Hawkins,Michigan
Wilbur Holland,Georgia
Lionel Hollins,Kansas
Steve Jones,Louisiana
Rich Kelley,California
Tom Kropp,Nebraska
John Lambert,California
John Laskowski,Indiana
Greg Lee,California
Clyde Mayes,South Carolina
Ken Mayfield,Illinois
Jim McElroy,Arkansas
George McGinnis,Indiana
Tom McMillen,New York
Joe Meriweather,Alabama
Dave Meyers,California
Frank Oleynick,Connecticut
Cliff Pondexter,California
Bill Robinzine,Illinois
John Roche,New York
Bruce Seals,Louisiana
Ed Searcy,New York
Gene Short,Mississippi
John Shumate,South Carolina
Ricky Sobers,New York
Terry Thomas,Michigan
Rudy White,New Mexico
Gus Williams,New York
Bill Willoughby,New Jersey
Tom Abernethy,Indiana
Bird Averitt,Kentucky
Tom Barker,Texas
Marvin Barnes,Rhode Island
Norton Barnhill,North Carolina
Mike Barr,Ohio
Tim Bassett,District of Columbia
Byron Beck,Washington
Mel Bennett,Pennsylvania
Ron Boone,Oklahoma
Quinn Buckner,Illinois
Ticky Burden,Florida
Don Buse,Indiana
Mack Calvin,Texas
Cornelius Cash,Mississippi
Norm Cook,Illinois
Louie Dampier*,Indiana
Mel Daniels*,Michigan
Adrian Dantley*,District of Columbia
Johnny Davis,Michigan
Ron Davis,Arizona
Randy Denton,North Carolina
Coby Dietrick,California
Leon Douglas,Alabama
Mike Dunleavy,New York
Jim Eakins,California
Len Elmore,New York
Darrell Elston,Indiana
Alex English*,South Carolina
Julius Erving*,New York
Butch Feher,Michigan
Mike Flynn,Morocco
Terry Furlow,Michigan
Mike Gale,Pennsylvania
Gus Gerard,Pennsylvania
George Gervin*,Michigan
Artis Gilmore*,Florida
Mike Green,Mississippi
Steve Green,Wisconsin
Paul Griffin,Michigan
Rudy Hackett,New York
Phil Hicks,Illinois
Armond Hill,New York
Darnell Hillman,California
Mo Howard,Pennsylvania
Kim Hughes,Illinois
Dan Issel*,Illinois
Dennis Johnson*,California
Bobby Jones,North Carolina
Caldwell Jones,Arkansas
Rich Jones,Tennessee
Robin Jones,Missouri
George Karl,Pennsylvania
Goo Kennedy,North Carolina
Larry Kenon,Alabama
Billy Knight,Pennsylvania
Mitch Kupchak,New York
Bo Lamar,Ohio
Ron Lee,Massachusetts
Scott Lloyd,Illinois
John Lucas,North Carolina
Maurice Lucas,Pennsylvania
Moses Malone*,Virginia
Scott May,Ohio
Andre McCarter,Pennsylvania
Ted McClain,Tennessee
Allen Murphy,Alabama
Swen Nater,Netherlands
Johnny Neumann,Tennessee
Mark Olberding,Minnesota
Tom Owens,New York
Joe Pace,New Jersey
Robert Parish*,Louisiana
Sonny Parker,Illinois
Billy Paultz,New Jersey
Marv Roberts,New York
Dave Robisch,Ohio
Marshall Rogers,Missouri
Dan Roundfield,Michigan
Phil Sellers,New York
Lonnie Shelton,California
James Silas,Louisiana
Ralph Simpson,Michigan
Al Skinner,New York
Keith Starr,Pennsylvania
Earl Tatum,New York
Brian Taylor,New Jersey
Fatty Taylor,District of Columbia
Ira Terrell,Texas
Claude Terry,California
David Thompson*,North Carolina
Monte Towe,Indiana
Dave Twardzik,Pennsylvania
Andy Walker,New York
Wally Walker,Pennsylvania
Lloyd Walton,Illinois
Henry Ward,Mississippi
Richard Washington,Oregon
Marvin Webster,Maryland
Bob Wilkerson,Indiana
Chuck Williams,Colorado
Chuckie Williams,Colorado
John Williamson,Connecticut
Willie Wise,California
Larry Wright,Louisiana
Tate Armstrong,Georgia
Greg Ballard,California
Kent Benson,Indiana
Otis Birdsong,Florida
Phil Bond,Kentucky
Jim Bostic,New York
Alonzo Bradley,Mississippi
Mike Bratz,California
Wayman Britt,North Carolina
Kenny Carr,District of Columbia
Bob Carrington,Massachusetts
Wesley Cox,Kentucky
Charlie Criss,New York
Mark Crow,California
Brad Davis,Pennsylvania
Walter Davis,Texas
Jacky Dorsey,Georgia
James Edwards,Washington
Al Fleming,Illinois
Bayard Forrest,California
Mike Glenn,Georgia
Glen Gondrezick,Colorado
Rickey Green,Illinois
Greg Griffin,Ohio
Ernie Grunfeld,Romania
Joe Hassett,Rhode Island
Eddie Johnson,Georgia
Larry Johnson,Kentucky
Marques Johnson,Louisiana
Eddie Jordan,District of Columbia
Bernard King*,New York
Toby Knight,New York
John Kuester,Virginia
Tom LaGarde,Michigan
Mark Landsberger,North Dakota
Rich Laurel,Pennsylvania
Ricky Marsh,New York
Cedric Maxwell,North Carolina
Larry Moffett,Alabama
Glenn Mosley,New Jersey
Norm Nixon,Georgia
Ben Poquette,Michigan
Robert Reid,Georgia
Anthony Roberts,Tennessee
Tony Robertson,Michigan
Tree Rollins,Florida
Alvin Scott,Tennessee
Steve Sheppard,New York
Jack Sikma,Illinois
Scott Sims,Missouri
Robert Smith,California
Phil Walker,Pennsylvania
Wilson Washington,Virginia
Ray Williams,New York
Kim Anderson,Missouri
Del Beshore,Pennsylvania
Dennis Boyd,Virginia
Winford Boynes,South Carolina
Ron Brewer,Arkansas
Greg Bunch,California
Marty Byrnes,New York
Ron Carter,Pennsylvania
Maurice Cheeks,Illinois
Michael Cooper,California
Wayne Cooper,Georgia
Dave Corzine,Illinois
Geoff Crompton,North Carolina
Harry Davis,Ohio
Bob Elliott,Michigan
Ray Epps,Virginia
Phil Ford,North Carolina
Jack Givens,Kentucky
Tommie Green,Louisiana
Lars Hansen,Denmark
James Hardy,Alabama
Keith Herron,Tennessee
Kenny Higgs,Kentucky
Essie Hollis,Pennsylvania
Otis Howard,Tennessee
Clemon Johnson,Florida
Jeff Judkins,Utah
Joel Kramer,California
Butch Lee,Puerto Rico
John Long,Michigan
Billy McKinney,Illinois
Mike Mitchell,Georgia
John Olive,Pennsylvania
Roger Phegley,Illinois
Stan Pietkiewicz,Alabama
Wayne Radford,Indiana
Marlon Redmond,California
Rick Robey,Florida
Jackie Robinson,California
John Rudd,Louisiana
Frankie Sanders,Ohio
Purvis Short,Mississippi
Sam Smith,Kentucky
Reggie Theus,California
Mychal Thompson,Bahamas
Raymond Townsend,California
Terry Tyler,Michigan
Andre Wakefield,Illinois
Jerome Whitehead,Illinois
Freeman Williams,California
Rick Wilson,Kentucky
James Bailey,Georgia
Larry Bird*,Indiana
Lawrence Boston,Ohio
Dudley Bradley,Maryland
Bill Cartwright,California
Jeff Cook,California
Hollis Copeland,New Jersey
John Coughran,California
Terry Crosby,Ohio
Pat Cummings,Pennsylvania
Paul Dawkins,Michigan
Greg Deane,California
Larry Demic,Indiana
Terry Duerod,Michigan
Earl Evans,Texas
Mike Evans,North Carolina
Gary Garland,New Jersey
Dave Greenwood,California
Roy Hamilton,California
Gerald Henderson,Virginia
Johnny High,Alabama
Brad Holland,Montana
Phil Hubbard,Ohio
Geoff Huston,New York
Abdul Jeelani,Tennessee
Cheese Johnson,Texas
Magic Johnson*,Louisiana
Vinnie Johnson,New York
Major Jones,Arkansas
Greg Kelser,Florida
Irv Kiffin,New York
Carl Kilpatrick,Louisiana
Reggie King,Alabama
Arvid Kramer,Minnesota
Allen Leavell,Indiana
Ollie Mack,New York
Steve Malovic,Ohio
Paul Mokeski,Washington
Sidney Moncrief,Arkansas
Calvin Natt,Louisiana
Sylvester Norris,Mississippi
Wiley Peck,Alabama
Sam Pellom,North Carolina
Clint Richardson,Washington
Cliff Robinson,California
Jim Spanarkel,New Jersey
Bernard Toone,New York
Duck Williams,Alabama
Sly Williams,Connecticut
Bubba Wilson,North Carolina
Tony Zeno,Louisiana
Darrell Allums,California
Norman Black,Maryland
Dave Britton,New York
Michael Brooks,Pennsylvania
Rickey Brown,Mississippi
Joe Barry,California
Butch Carter,Ohio
Reggie Carter,New York
Art Collins,Georgia
Don Collins,Illinois
Darwin Cook,California
Earl Cureton,Michigan
Monti Davis,Ohio
James Donaldson,United Kingdom
Larry Drew,Kansas
Ralph Drollinger,California
John Duren,District of Columbia
Tony Fuller,Michigan
Calvin Garrett,Tennessee
Mike Gminski,Connecticut
Darrell Griffith,Kentucky
Bill Hanzlik,Ohio
Alan Hardy,Michigan
Mike Harper,Illinois
Cedrick Hordges,Alabama
Tony Jackson,New York
Lee Johnson,Arkansas
Reggie Johnson,Georgia
Edgar Jones,Alabama
Walter Jordan,Alabama
Clarence Kea,North Carolina
Chad Kinch,New Jersey
Wayne Kreklow,Wisconsin
Bill Laimbeer,Massachusetts
Edmund Lawrence,Louisiana
Ronnie Lester,Mississippi
Kyle Macy,Indiana
Rick Mahorn,Connecticut
Wes Matthews,Florida
Bill Mayfield,Michigan
Keith McCord,Alabama
Kevin McHale*,Minnesota
Dick Miller,Wisconsin
Johnny Moore,Pennsylvania
Lowes Moore,South Carolina
Kenny Natt,Louisiana
Carl Nicks,Illinois
Mike Niles,California
Mike O'Koren,New Jersey
Jawann Oldham,Illinois
Louis Orr,Ohio
Myles Patrick,Georgia
Tony Price,New York
Wally Rank,California
Kelvin Ransey,Ohio
James Ray,Louisiana
Billy Reid,New York
Wayne Robinson,North Carolina
Lorenzo Romar,California
DeWayne Scales,Texas
Craig Shelton,District of Columbia
Jerry Sichting,Indiana
Larry Smith,Mississippi
Rory Sparrow,Virginia
John Stroud,Mississippi
Carlos Terry,North Carolina
Andrew Toney,Alabama
Ronnie Valentine,Virginia
Kiki Vandeweghe,Germany
Brett Vroman,California
