Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Timofey Mozgov,C,24,TOT,45,524,10.8,0.523,0,0.391,10,16.4,13.2,4.2,1.4,3.5,18.3,16.2,0.1,0.5,0.6,0.053,-4.3,-0.4,-4.7,-0.3
Jermaine O'Neal,C,32,BOS,24,431,9.2,0.504,0.009,0.394,7.6,17,12.6,4.3,0.2,5.4,17.4,17.2,-0.2,0.8,0.6,0.065,-5.4,1.3,-4.2,-0.2
Nikola Pekovi?,C,25,MIN,65,887,11.2,0.573,0,0.433,11,13.2,12.1,4.8,1,3,22.5,19.4,0.2,0.5,0.6,0.035,-4.8,-0.9,-5.7,-0.8
Leon Powe,C-PF,27,TOT,30,328,15,0.524,0.017,0.605,8.3,14.2,11.2,3.6,1.6,0.9,7.4,22.4,0.4,0.2,0.6,0.09,-1.7,-1.7,-3.4,-0.1
Julian Wright,SF,23,TOR,52,766,12.1,0.525,0.063,0.269,7.1,11.3,9.1,11,2.6,2,19.4,13,0.2,0.4,0.6,0.038,-0.7,0.7,0,0.4
Gilbert Arenas,PG,29,TOT,70,1796,10.8,0.471,0.446,0.208,1.4,10.7,6.1,25.3,2.1,0.9,18.1,24.7,-1.6,2.2,0.5,0.014,-2.2,-0.3,-2.4,-0.2
Hilton Armstrong,C,26,TOT,53,488,8.8,0.508,0.053,0.434,9.5,21.6,15.4,4.2,1.9,3.3,23.6,10.9,-0.1,0.6,0.5,0.045,-4.7,1,-3.7,-0.2
Donté Greene,SF,22,SAC,69,1127,9.7,0.482,0.399,0.168,4.8,10.2,7.4,6.5,1.6,1.3,12.6,18.2,-0.2,0.8,0.5,0.022,-1.8,-0.4,-2.2,-0.1
D.J. Mbenga,C,30,NOH,41,330,9.7,0.518,0,0.367,12.8,18.9,15.9,2.7,1,6.8,27,11.3,0,0.6,0.5,0.076,-4.7,1.8,-2.8,-0.1
Solomon Jones,C,26,IND,39,528,8.5,0.469,0.008,0.512,9.5,14.2,11.9,8.5,1.2,3,19.1,15.4,-0.2,0.6,0.5,0.042,-5.3,0.8,-4.5,-0.3
Jeremy Lin,PG,22,GSW,29,285,14.8,0.458,0.069,0.347,4.7,8.9,6.8,20.4,5.9,2.4,17.8,15.6,0,0.4,0.5,0.078,-2.1,4.4,2.2,0.3
Jason Maxiell,PF,27,DET,57,930,9.4,0.51,0,0.524,8.3,14.7,11.4,2.7,1.4,1.8,15.9,13.9,0,0.4,0.5,0.024,-3.3,-1.1,-4.4,-0.6
