Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Zaid Abdul-Aziz,PF-C,31,TOT,16,158,11.4,0.449,,0.383,12.4,20.9,16.6,8.5,0.9,1,16.6,21.1,,0,0.1,0.1,0.033,,-3.2,-0.8,-4,-0.1
1,Zaid Abdul-Aziz,C,31,BOS,2,24,11.5,0.279,,0.231,26,37.3,31.8,16.5,1.9,2.1,17.3,28,,-0.1,0.1,0,-0.062,,-4.1,-0.2,-4.3,0
1,Zaid Abdul-Aziz,PF,31,HOU,14,134,11.4,0.493,,0.426,10,17.9,13.8,7,0.7,0.8,16.5,19.9,,0.1,0,0.1,0.05,,-3,-0.9,-4,-0.1
2,Kareem Abdul-Jabbar*,C,30,LAL,62,2265,29.2,0.589,,0.29,8.7,26.8,18.1,18.3,2.1,4.1,13.3,27,,7.7,4.4,12.1,0.257,,6.5,2.9,9.3,6.5
3,Tom Abernethy,SF,23,LAL,73,1317,15.6,0.544,,0.275,8.5,12,10.3,9.7,1.9,0.8,9.9,14.9,,2.9,1.3,4.1,0.15,,1.5,0.4,1.9,1.3
4,Alvan Adams,C,23,PHO,70,1914,17.7,0.528,,0.327,8.4,22.2,15.2,16.4,1.9,1.7,18.6,24.5,,1.5,3.4,4.9,0.123,,0.1,0.9,1,1.5
5,Lucius Allen,PG,30,KCK,77,2147,13.3,0.488,,0.26,3.1,7.8,5.5,22.8,1.9,0.7,18.7,20.6,,0.7,1.4,2.1,0.046,,-0.3,-0.7,-1,0.6
6,Jim Ard,C,29,TOT,15,125,3.2,0.495,,0.294,7.8,23.2,15.6,8.1,0,0,42.2,10.7,,-0.2,0.1,-0.1,-0.041,,-4.6,-0.5,-5.2,-0.1
6,Jim Ard,C,29,BOS,1,9,9.4,0.266,,2,11.6,33.1,22.6,12.6,0,0,0,8.1,,0,0,0,0.081,,-4.2,0,-4.2,0
6,Jim Ard,C,29,CHI,14,116,2.7,0.52,,0.188,7.5,22.4,15,7.8,0,0,44.7,10.9,,-0.2,0.1,-0.1,-0.05,,-4.7,-0.6,-5.2,-0.1
