Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
50,Lester Conner,PG,28,HOU,52,399,13.6,0.524,0.065,0.38,5.3,4.7,5,19.6,4.5,0.1,20.7,16,,0.1,0.6,0.7,0.09,,-1.5,3.1,1.6,0.4
51,Jeff Cook,PF,31,PHO,33,359,5.7,0.358,0.017,0.475,11.5,21.8,16.6,4.5,1.2,1.3,16.4,9.7,,-0.2,0.3,0.1,0.017,,-4.6,-0.8,-5.4,-0.3
52,Michael Cooper,SG,31,LAL,61,1793,11.6,0.5,0.369,0.234,3.3,10.7,7.2,20.2,1.8,0.8,16,14.7,,1.3,1.8,3.1,0.082,,-0.1,0.9,0.8,1.3
53,Wayne Cooper,C,31,DEN,45,865,11.7,0.477,0.004,0.248,11.5,21.7,16.4,4.2,0.6,6.2,16.5,16.1,,-0.2,1.4,1.2,0.068,,-3.9,0.7,-3.2,-0.3
54,Tyrone Corbin,SF,25,TOT,84,1739,12.4,0.534,0.011,0.263,8.6,14.6,11.7,9.2,2,0.6,15.1,16.6,,1.1,1.9,3,0.082,,-1.3,0,-1.3,0.3
54,Tyrone Corbin,SF,25,CLE,54,1148,11.4,0.538,0.009,0.304,8.3,14.1,11.3,7,1.8,0.8,15.3,16,,0.6,1.4,2,0.085,,-1.9,0.1,-1.9,0.1
54,Tyrone Corbin,SF,25,PHO,30,591,14.3,0.526,0.015,0.197,9.1,15.7,12.4,13.6,2.4,0.3,14.7,17.8,,0.4,0.5,0.9,0.076,,-0.1,0,-0.1,0.3
55,Dave Corzine,C,31,CHI,80,2328,13.6,0.514,0.013,0.214,8.4,17.5,13,9.2,0.8,2.5,12.2,16.4,,1.9,3,4.9,0.101,,-0.4,0.1,-0.3,1
56,Winston Crite,SF,22,PHO,29,258,9.8,0.551,0,0.368,11.7,16.2,14,7.6,0.9,1.8,24,16.4,,0,0.2,0.1,0.025,,-3.8,-1.2,-5,-0.2
57,Pat Cummings,PF,31,NYK,62,946,9.6,0.495,0.003,0.261,9.6,19.1,14.2,5.6,1,0.7,16,17.5,,0,1.1,1.1,0.055,,-3.2,-0.5,-3.7,-0.4
58,Terry Cummings,PF,26,MIL,76,2629,17.4,0.516,0.002,0.292,7.9,15.8,11.8,11.6,1.5,1,9.8,27.9,,2.2,2.9,5.2,0.094,,0.7,-0.7,-0.1,1.3
59,Earl Cureton,PF,30,LAC,69,1128,9.2,0.443,0.01,0.203,8.8,17,12.8,8.1,1.4,1.8,14.7,14.3,,-0.6,1.3,0.7,0.029,,-4.1,0.2,-4,-0.6
60,Dell Curry,SG,23,CLE,79,1499,15.1,0.5,0.109,0.136,3.5,9.4,6.5,16.3,3.1,0.9,12.1,25.5,,0,2,2,0.064,,-0.8,0.7,-0.2,0.7
61,Quintin Dailey,SG,27,LAC,67,1282,16.8,0.505,0.016,0.415,5,7.9,6.4,15.5,2.6,0.2,12.1,32.2,,0.1,1.2,1.3,0.05,,0.1,-0.2,-0.1,0.6
62,Adrian Dantley*,SF,32,DET,69,2144,19.9,0.619,0.002,0.663,4.5,7.3,5.9,11.9,0.9,0.3,10.8,24.2,,7.5,1.9,9.4,0.21,,3.7,-0.2,3.5,2.9
63,Brad Daugherty,C,22,CLE,79,2957,16.2,0.563,0.002,0.488,6.2,19.9,13.2,17.3,0.8,1.1,16.9,22.8,,3,3.6,6.6,0.107,,0.7,-0.1,0.5,1.9
64,Brad Davis,PG,32,DAL,75,1480,14.5,0.581,0.178,0.26,1.3,6.1,3.7,28.3,1.7,0.7,16.4,15.5,,2.9,1.1,4,0.13,,0.6,0.3,0.8,1.1
65,Charles Davis,SF,29,TOT,21,226,8.7,0.436,0.148,0.087,7.6,12.1,9.8,12.5,0.4,1,13.1,24.3,,-0.3,0,-0.3,-0.055,,-3.1,-2.8,-5.9,-0.2
65,Charles Davis,SF,29,MIL,5,39,0.9,0.333,0.111,0,2.9,5.8,4.3,11,2.5,1.5,21.7,24.8,,-0.2,0,-0.2,-0.201,,-7,-1.1,-8.1,-0.1
65,Charles Davis,SF,29,SAS,16,187,10.4,0.454,0.155,0.103,8.6,13.4,11,12.8,0,0.9,11.4,24.1,,-0.1,0,-0.1,-0.024,,-2.2,-3.2,-5.4,-0.2
66,Walter Davis,SF,33,PHO,68,1951,17.8,0.537,0.093,0.224,1.8,7.4,4.6,21.9,2.1,0.1,10,26.3,,3,0.9,3.8,0.094,,1.8,-1.2,0.6,1.3
67,Darryl Dawkins,C,31,TOT,6,33,-9.5,0.321,0,1.667,6.8,9.4,8.1,7.7,0,3.5,31,28.1,,-0.3,0,-0.2,-0.313,,-20.1,-1.1,-21.2,-0.2
67,Darryl Dawkins,C,31,UTA,4,26,-10.6,0.244,0,1.714,8.6,11.9,10.3,4.5,0,2.2,24.6,25.6,,-0.2,0,-0.2,-0.314,,-19.1,-2.8,-22,-0.1
67,Darryl Dawkins,C,31,DET,2,7,-5.7,0.602,0,1.5,0,0,0,19.5,0,8.4,47.5,37.5,,-0.1,0,0,-0.307,,-23.7,5.5,-18.2,0
68,Johnny Dawkins,PG,24,SAS,65,2179,17,0.551,0.073,0.265,3.2,6.9,5.1,29.4,1.9,0.1,14.2,19.7,,4,0.3,4.3,0.095,,1.9,-1.9,0,1.1
69,Darren Daye,SF,27,BOS,47,655,13.6,0.554,0.005,0.401,5.8,7.8,6.9,14.7,2.2,0.4,14.7,19.6,,0.7,0.5,1.2,0.086,,-0.5,0,-0.4,0.2
70,James Donaldson,C,30,DAL,81,2523,12.4,0.616,0,0.497,10.8,21.5,16.3,3.4,0.8,2.4,19.6,9.4,,3,3.3,6.2,0.119,,-0.4,0.4,0,1.3
71,Billy Donovan,PG,22,NYK,44,364,8.7,0.444,0.064,0.193,1.5,6.5,3.9,32.8,2.1,0.2,26.2,17.9,,-0.4,0.3,-0.1,-0.009,,-2.7,-1.1,-3.7,-0.2
72,Greg Dreiling,C,25,IND,20,74,10.5,0.598,0,1.529,4.5,20.6,12.6,8.8,1.3,3.2,27.9,22.5,,0,0.1,0.1,0.048,,-6.7,1.5,-5.2,-0.1
73,Larry Drew,PG,29,LAC,74,2024,11.7,0.498,0.125,0.15,1.1,5.3,3.1,29.4,1.5,0,16.5,18.5,,0.1,1.2,1.2,0.03,,-1.7,-1.4,-3.1,-0.6
74,Clyde Drexler*,SG,25,POR,81,3060,24.1,0.564,0.031,0.35,9.2,9.6,9.4,23.5,3.1,1,10.9,28,,9.3,3.9,13.2,0.207,,5.7,1.4,7,7
75,Kevin Duckworth,C,23,POR,78,2223,14.9,0.561,0,0.474,10.9,17.1,14,4.1,0.6,0.8,13.9,22.6,,3,2.1,5.2,0.112,,-0.8,-2,-2.8,-0.4
76,Chris Dudley,C,22,CLE,55,513,12.1,0.505,0,0.518,17.5,15.7,16.5,6.3,1.2,2.2,15.6,16.6,,0.3,0.7,1,0.093,,-2.4,-0.6,-3.1,-0.1
77,Joe Dumars*,SG,24,DET,82,2732,13.7,0.53,0.02,0.321,2.6,5.5,4.1,20,1.6,0.3,13.6,19.3,,3.2,2.7,5.9,0.103,,0.3,0.3,0.6,1.8
78,T.R. Dunn,SG,32,DEN,82,1534,8.3,0.503,0.006,0.333,7.3,9.3,8.2,6.3,3,0.4,12.7,5.2,,1.3,2,3.2,0.102,,-2,2.4,0.4,0.9
79,Mark Eaton,C,31,UTA,82,2731,9.5,0.457,0,0.353,9.5,18.3,14.1,2.5,0.7,6.4,17.3,11.3,,-1.1,5.2,4.1,0.072,,-3.8,2,-1.8,0.1
80,Franklin Edwards,PG,28,SAC,16,414,9.9,0.511,0.017,0.278,1,4,2.5,29.9,1.1,0.1,26.7,17.1,,-0.2,0,-0.2,-0.025,,-1.4,-3,-4.5,-0.3
81,James Edwards,C,32,TOT,69,1705,12.1,0.519,0.002,0.499,7.8,19.3,13.6,6.4,0.4,1.3,14.2,21.9,,0.3,1.2,1.5,0.042,,-2.3,-1.8,-4.1,-0.9
81,James Edwards,C,32,PHO,43,1377,12.4,0.513,0.002,0.48,7.9,19.6,13.7,7.4,0.5,1.3,14.1,22.6,,0,0.8,0.8,0.029,,-2.1,-1.9,-4,-0.7
81,James Edwards,C,32,DET,26,328,10.7,0.551,0,0.604,7.7,18.3,13.1,2.1,0.3,0.9,14.7,19,,0.3,0.4,0.7,0.098,,-3.4,-1.2,-4.6,-0.2
82,Craig Ehlo,SG,26,CLE,79,1709,12.5,0.518,0.132,0.272,6.1,12.6,9.4,17.1,2.4,1,16.5,16.2,,0.9,2.3,3.1,0.088,,-0.8,1.4,0.6,1.1
83,Dale Ellis,SG,27,SEA,75,2790,19.3,0.572,0.171,0.26,6.6,7.2,6.9,11.4,1.3,0.2,9.2,26.8,,7.4,1.6,9,0.155,,4.3,-1.8,2.5,3.2
84,Chris Engler,C,28,NJN,54,399,7.1,0.498,0,0.398,9,19.9,14.2,5.2,1.1,0.9,21.9,14,,-0.2,0.3,0.2,0.022,,-5.3,-0.7,-6,-0.4
85,Alex English*,SF,34,DEN,80,2818,19.8,0.535,0.004,0.222,6,8,7,20.5,1.1,0.5,8.8,28.4,,5.3,2.2,7.6,0.129,,3.4,-1.4,2,2.9
86,Mike Evans,PG,32,DEN,56,656,13.7,0.532,0.296,0.121,1.4,6.5,3.8,16.7,2.4,0.5,11.7,21.8,,0.4,0.7,1.1,0.082,,-0.3,0,-0.3,0.3
87,Patrick Ewing*,C,25,NYK,82,2546,21.9,0.594,0.003,0.402,10.7,20,15.2,8.3,2,6,17.1,26.8,,3.4,4.7,8.1,0.154,,1.9,2.4,4.2,4
88,Jim Farmer,SG,23,DAL,30,157,4.4,0.416,0.087,0.145,6.3,6.1,6.2,14.6,0.9,0.4,23.1,25.1,,-0.4,0.1,-0.4,-0.111,,-7,-2.9,-9.9,-0.3
89,Dave Feitl,C,25,GSW,70,1128,10.7,0.495,0.01,0.332,8,25.5,16.5,6.6,0.6,0.5,15.8,19.7,,-0.4,0.7,0.3,0.011,,-3.1,-2.6,-5.7,-1.1
90,Kenny Fields,SF,25,LAC,7,154,8.7,0.548,0,0.722,8.7,11.5,10,9.3,1.5,0.7,28.6,17.5,,-0.1,0.1,0,0,,-3.9,-0.5,-4.4,-0.1
91,Vern Fleming,PG,25,IND,80,2733,17.5,0.573,0.015,0.335,4.3,10.3,7.3,29.3,2.1,0.2,15.3,17.7,,5.6,2.8,8.4,0.148,,1.9,0.9,2.8,3.3
92,Sleepy Floyd,PG,27,TOT,77,2514,15.4,0.513,0.074,0.365,3.3,9.3,6.3,30.5,1.8,0.3,16.5,21.6,,2.2,2.1,4.4,0.084,,0.6,-0.4,0.2,1.4
92,Sleepy Floyd,PG,27,GSW,18,680,19.5,0.526,0.066,0.462,4.1,10.9,7.4,38.4,1.9,0.2,15.6,25.6,,1.1,0.2,1.3,0.093,,3.7,-0.9,2.8,0.8
92,Sleepy Floyd,PG,27,HOU,59,1834,14,0.507,0.078,0.322,2.9,8.7,5.8,27.6,1.7,0.3,17,20.1,,1.1,1.9,3.1,0.08,,-0.5,-0.3,-0.8,0.6
93,Tellis Frank,PF,22,GSW,78,1597,10.2,0.483,0.002,0.366,6.4,16.8,11.5,9.6,1.6,0.8,14.2,19.4,,-0.3,0.9,0.6,0.018,,-3.9,-1.2,-5.1,-1.2
94,World B. Free,SG,34,HOU,58,682,11.1,0.475,0.1,0.286,2.2,4.6,3.4,13.1,1.4,0.2,11.1,26.1,,-0.1,0.5,0.4,0.028,,-3.1,-1.7,-4.7,-0.5
95,Kevin Gamble,SF,22,POR,9,19,-1,0,0.333,0,11.4,5.7,8.5,5.7,4.9,0,40,10.4,,-0.1,0,-0.1,-0.139,,-7.2,0.2,-7,0
96,Winston Garland,PG,23,GSW,67,2122,13.8,0.492,0.05,0.203,3.5,8.6,6,28.3,2.6,0.2,16.5,19.3,,0.8,0.9,1.7,0.039,,-0.9,-0.9,-1.8,0.1
97,Armen Gilliam,PF,23,PHO,55,1807,12.9,0.506,0,0.268,8.3,18.8,13.5,5.6,1.5,0.9,13.3,20.9,,-0.1,1.4,1.3,0.035,,-1.7,-1.7,-3.4,-0.6
98,Artis Gilmore*,C,38,TOT,71,893,8.4,0.558,0,0.707,9.6,17.8,13.9,3,0.8,2,22,14.6,,-0.1,1,0.9,0.048,,-4.5,-0.8,-5.3,-0.7
98,Artis Gilmore*,C,38,CHI,24,372,6,0.525,0,0.463,4.7,14.7,9.7,3.2,0.7,1.9,22.5,14.3,,-0.3,0.4,0.1,0.013,,-5.7,-0.2,-5.9,-0.4
98,Artis Gilmore*,C,38,BOS,47,521,10.2,0.581,0,0.901,13.1,20,16.8,2.9,0.9,2,21.7,14.8,,0.2,0.5,0.8,0.073,,-3.7,-1.2,-4.9,-0.4
99,Mike Gminski,C,28,TOT,81,2961,16.8,0.526,0.002,0.348,9.5,22.7,15.9,7.4,1.1,2.4,12,21,,3.4,3,6.5,0.105,,0.7,-0.5,0.1,1.6
99,Mike Gminski,C,28,NJN,34,1194,15.8,0.524,0.004,0.35,7.7,23.9,15.5,7.3,1.1,1.7,13.2,22.3,,0.7,1.3,1.9,0.077,,-0.3,-0.6,-0.8,0.3
99,Mike Gminski,C,28,PHI,47,1767,17.5,0.527,0,0.347,10.7,21.8,16.2,7.4,1,2.9,11.1,20.2,,2.8,1.8,4.5,0.123,,1.3,-0.5,0.8,1.2
100,Lancaster Gordon,SG,25,LAC,8,65,8,0.416,0,0.194,3.2,3.4,3.3,16.9,0.7,1.7,10.6,23.5,,-0.1,0,0,-0.035,,-4.5,-2.1,-6.6,-0.1
101,Horace Grant,PF,22,CHI,81,1827,13,0.53,0.004,0.359,9.8,18.2,14,6.7,1.4,1.7,12.8,15.8,,1.6,2.6,4.2,0.111,,-1.8,0.1,-1.7,0.2
102,Stuart Gray,C,24,IND,74,807,9.9,0.498,0.005,0.378,9.6,24.3,17,7.2,0.7,2.3,18.2,14.4,,0,1.2,1.1,0.067,,-3.9,0.6,-3.3,-0.3
103,A.C. Green,PF,24,LAL,82,2636,14.5,0.581,0.003,0.592,11.1,19.1,15.3,4.5,1.6,1,12.9,14.7,,4.5,3.4,7.9,0.144,,0.4,-0.1,0.3,1.5
104,Rickey Green,PG,33,UTA,81,1116,13.2,0.483,0.051,0.224,1.4,6.1,3.8,36.2,2.4,0.1,18.8,18.4,,0.4,1.4,1.8,0.078,,-0.8,0.1,-0.7,0.4
105,Sidney Green,PF,27,NYK,82,2049,10.3,0.48,0.003,0.325,12,24.3,17.9,6.3,1.5,1,18.1,16.2,,-0.4,3.1,2.7,0.063,,-3.1,-0.1,-3.2,-0.6
106,Dave Greenwood,PF,30,SAS,45,1236,10.8,0.511,0.006,0.338,8,18.4,13.1,9.6,1.2,1,16.4,14.4,,0.5,0.6,1.1,0.043,,-2.1,-1,-3.1,-0.3
107,Claude Gregory,PF,29,LAC,23,313,12.8,0.447,0.007,0.269,12.1,20.4,16.1,8.4,1.4,2.4,12.8,22.3,,-0.3,0.4,0.1,0.011,,-3.2,-0.8,-4,-0.2
