Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
23,Ron Brewer,SG,27,CLE,21,563,10.8,0.449,0.012,0.208,1.8,5.8,3.7,7.4,1.7,0.6,8.5,21.8,,-0.1,0.3,0.2,0.02,,-2.4,-0.7,-3.1,-0.2
23,Ron Brewer,SG,27,GSW,53,1401,11.8,0.486,0.027,0.212,3.7,4.6,4.1,6.6,2.3,0.8,10.5,19.2,,0.7,0.6,1.3,0.045,,-1.4,-0.6,-2,0
24,Junior Bridgeman,SF,29,MIL,70,1855,16.1,0.534,0.015,0.229,2.7,11.4,7.3,17.1,1,0.3,11.5,23.7,,2.7,2.1,4.8,0.125,,0.8,-0.7,0.1,1
25,Allan Bristow,SF,31,DAL,37,371,10.2,0.494,0.131,0.141,6.8,10.3,8.6,23.2,0.8,0.1,22.8,14.5,,0.2,0,0.2,0.03,,-0.7,-1.3,-2,0
26,Jim Brogan,SG,24,SDC,58,466,13.4,0.472,0.061,0.202,7.5,7.7,7.6,19.7,2.6,1.1,15.6,22.9,,0.2,0.2,0.4,0.043,,-1.1,-0.5,-1.6,0.1
27,Michael Brooks,SF,24,SDC,82,2457,15.2,0.526,0.018,0.334,10.3,14.2,12.1,14.2,2.1,0.9,15.7,17.9,,3.4,1.3,4.7,0.091,,0.9,-0.5,0.4,1.5
28,Fred Brown,PG,34,SEA,80,1432,17.7,0.546,0.045,0.101,2.5,4.6,3.6,26,1.9,0.5,12.9,23.9,,2.3,1.3,3.6,0.12,,2,-0.4,1.6,1.3
29,Rickey Brown,C,24,TOT,76,1048,10.1,0.505,0.009,0.301,9.2,18.4,13.7,3.3,0.6,1.4,17.2,18.2,,-0.1,0.8,0.7,0.034,,-3.8,-1.6,-5.4,-0.9
29,Rickey Brown,C,24,GSW,50,743,9.1,0.504,0.008,0.265,7.9,18.4,13,2.8,0.5,1.6,18,17.6,,-0.2,0.4,0.2,0.016,,-4.2,-1.8,-6,-0.8
29,Rickey Brown,C,24,ATL,26,305,12.4,0.506,0.01,0.385,12.2,18.4,15.3,4.3,0.8,0.9,15.3,19.6,,0.1,0.4,0.5,0.077,,-2.6,-1.2,-3.8,-0.1
30,Joe Bryant,SF,28,HOU,81,2055,10.4,0.483,0.047,0.215,4.3,10.5,7.2,13.3,1.9,0.8,17.4,19.8,,-1.2,1.1,0,-0.001,,-3,-0.5,-3.5,-0.8
31,Quinn Buckner,SG,28,BOS,72,1565,11.5,0.465,0.007,0.209,4.3,8.5,6.4,22.6,3.2,0.2,20.6,19.3,,-0.7,2.2,1.6,0.048,,-2.6,1.1,-1.4,0.2
32,Don Buse,PG,32,POR,41,643,13.8,0.48,0.192,0.253,3.3,6.1,4.7,23.4,3.3,0.2,11,14.4,,0.9,0.7,1.7,0.124,,-0.2,1.7,1.5,0.6
33,Marty Byrnes,SF,26,IND,80,1436,9.6,0.47,0.07,0.254,5.4,9.2,7.2,15.1,1.3,0.2,14.9,13.4,,0.8,0.2,1,0.034,,-1.8,-1.1,-2.9,-0.3
34,Kenny Carr,PF,27,POR,82,2331,13.7,0.559,0.008,0.51,8.7,19.7,14.2,6.9,1.3,1,17.4,18.5,,2.3,2.8,5.1,0.106,,-1,-0.4,-1.5,0.3
35,M.L. Carr,SF,32,BOS,77,883,9.7,0.475,0.06,0.257,6.2,10.4,8.3,10.3,2.5,0.6,18.4,19.1,,-0.4,1.2,0.8,0.046,,-3.6,0.7,-2.9,-0.2
