Player,Salary in $,height,birth_state
Cristiano Felicio,7843500,208.0,Brazil
Curtis Borchardt,1969993,213.0,New York
Cuttino Mobley,9500000,193.0,Pennsylvania
DaJuan Summers,457588,203.0,Maryland
Daequan Cook,3341558,190.0,California
Dahntay Jones,2900000,190.0,Texas
Dale Davis,10068750,211.0,Georgia
Dale Ellis,2290000,201.0,Georgia
Damian Jones,1312611,190.0,Texas
Damian Lillard,26153057,190.0,California
Damien Inglis,855000,203.0,French Guiana
Damien Wilkins,3300000,208.0,Idaho
Damion James,1243080,201.0,New Mexico
Damir Markota,412718,208.0,Bosnia and Herzegovina
Damjan Rudez,1149500,208.0,Croatia
Damon Jones,4460186,190.0,Texas
Damon Stoudamire,12500000,178.0,Oregon
Damone Brown,332817,188.0,California
Dan Dickau,2990028,183.0,Oregon
Dan Gadzuric,7248325,211.0,Netherlands
Dan Godfread,100000,208.0,Indiana
Dan Langhi,587435,211.0,Illinois
Dan Majerle,4050000,198.0,Michigan
Dana Barros,3700000,180.0,Massachusetts
Daniel Ewing,664209,190.0,Florida
Daniel Gibson,4792332,188.0,Texas
Daniel Ochefu,543471,211.0,Maryland
Daniel Orton,1105560,208.0,Oklahoma
Daniel Santiago,1320000,216.0,Texas
Danilo Gallinari,20559599,208.0,Italy
Danny Ainge,2080000,193.0,Oregon
Danny Ferry,4643000,208.0,Maryland
Danny Fortson,6596990,201.0,Pennsylvania
Danny Granger,14021788,206.0,Louisiana
Danny Green,10000000,206.0,California
Danny Manning,6833333,208.0,Mississippi
Danny Schayes,1750000,211.0,New York
Danny Young,550000,190.0,North Carolina
Dante Cunningham,3000000,203.0,Maryland
Dante Exum,4992385,198.0,Australia
Danuel House,543471,201.0,Texas
Darington Hobson,245884,201.0,Nevada
Dario Saric,2422560,208.0,Croatia
Darius Johnson-Odom,192228,201.0,Louisiana
Darius Miles,9000000,206.0,Illinois
Darius Miller,2100000,203.0,Kentucky
Darius Morris,1046269,193.0,California
Darius Songaila,4818000,206.0,Lithuania
Darius Washington,154847,188.0,Florida
Darko Milicic,7500000,213.0,Serbia
Darnell Jackson,854389,206.0,Oklahoma
Darnell Mee,250000,196.0,Tennessee
Darnell Valentine,130000,185.0,Illinois
Darrell Armstrong,4010000,183.0,North Carolina
Darrell Arthur,8070175,206.0,Texas
Darrell Griffith,850000,193.0,Kentucky
Darrell Walker,735000,193.0,Illinois
Darren Collison,10000000,183.0,California
Darren Morningstar,43000,208.0,Washington
Darrick Martin,1219590,180.0,Colorado
Darrin Hancock,247500,201.0,Alabama
Darrun Hilliard,874636,198.0,Pennsylvania
Darvin Ham,1760000,201.0,Michigan
Dave Corzine,300000,211.0,Illinois
Dave Feitl,275000,211.0,Pennsylvania
Dave Greenwood,650000,206.0,California
Dave Hoppen,500000,211.0,Nebraska
Dave Jamerson,840000,196.0,West Virginia
Dave Johnson,650000,201.0,Louisiana
Dave Popson,80000,208.0,Pennsylvania
David Andersen,2500000,208.0,Minnesota
David Benoit,1200000,203.0,Louisiana
David Harrison,1734316,213.0,Tennessee
David Lee,15493680,201.0,California
David Noel,687456,198.0,North Carolina
David Nwaba,1312611,193.0,California
David Stockton,29843,180.0,Washington
David Vaughn,693840,211.0,Tennessee
David Wear,29843,208.0,California
David Wesley,5070000,183.0,Texas
David West,12000000,206.0,New Jersey
David Wingate,1000000,196.0,Maryland
David Wood,488000,206.0,Washington
Davis Bertans,1312611,208.0,Latvia
DeAndre Jordan,22642350,211.0,Texas
DeAndre Liggins,1577230,198.0,Illinois
DeJuan Blair,2000000,201.0,Pennsylvania
DeJuan Wheat,460000,183.0,Kentucky
DeMar DeRozan,27739975,201.0,California
DeMarcus Cousins,18063850,211.0,Alabama
DeMarre Carroll,14800000,203.0,Alabama
DeQuan Jones,473504,203.0,Georgia
DeSagana Diop,2695164,213.0,Senegal
DeShawn Stevenson,4151786,196.0,California
Dean Garrett,3240000,208.0,California
Dean Oliver,332817,180.0,Illinois
Dee Brown,4000000,185.0,Florida
Dejounte Murray,1312611,196.0,Washington
Delaney Rudd,240000,188.0,North Carolina
Dell Curry,3660000,193.0,Virginia
Dell Demps,225000,190.0,California
Delon Wright,1645200,196.0,California
Delonte West,4254250,193.0,District of Columbia
Demetris Nichols,427163,203.0,Massachusetts
Demetrius Jackson,1450000,185.0,Indiana
Deng Gai,92396,206.0,South Sudan
Dennis Hopson,950000,196.0,Ohio
Dennis Horner,91642,206.0,New Jersey
Dennis Schroder,15500000,185.0,Germany
Dennis Scott,3150000,203.0,Maryland
Denzel Valentine,2186400,198.0,Michigan
DerMarr Johnson,2423280,193.0,California
Derek Anderson,9742500,196.0,Kentucky
Derek Fisher,6373900,185.0,Arkansas
Derek Grimm,242000,206.0,Illinois
Derek Harper,2837000,193.0,Georgia
Derek Strong,4212000,203.0,California
Deron Williams,19754465,190.0,West Virginia
Derrick Alston,350000,211.0,New York
Derrick Caracter,473604,206.0,New Jersey
Derrick Chievous,525000,201.0,New York
Derrick Coleman,8710000,208.0,Alabama
Derrick Dial,540850,193.0,Michigan
Derrick Favors,12833333,208.0,Georgia
Derrick Gervin,155000,203.0,Michigan
Derrick Jones,1312611,203.0,Georgia
Derrick McKey,6000000,206.0,Mississippi
Derrick Rose,21323250,190.0,Illinois
Derrick Williams,6331404,190.0,West Virginia
Desmon Farmer,275404,196.0,Michigan
Desmond Mason,8037037,201.0,Texas
Detlef Schrempf,5000000,206.0,Germany
Devean George,5000600,203.0,Minnesota
Devin Booker,2319360,198.0,Michigan
Devin Brown,2500000,185.0,Florida
Devin Ebanks,1054389,206.0,New York
Devin Gray,150200,201.0,Maryland
Devin Green,398762,201.0,Ohio
Devin Harris,9319000,190.0,Wisconsin
Devyn Marble,884879,198.0,Michigan
Dewayne Dedmon,6000000,213.0,California
Dexter Cambridge,150000,201.0,Bahamas
Dexter Pittman,854389,211.0,Texas
Deyonta Davis,1369229,211.0,Michigan
Diamond Stone,1312611,211.0,Wisconsin
Dickey Simpkins,1235000,206.0,Maryland
Dijon Thompson,89101,201.0,California
Dino Radja,5313000,211.0,Croatia
Dion Glover,1584312,196.0,Georgia
Dion Waiters,11000000,193.0,Pennsylvania
Dionte Christmas,50000,196.0,Pennsylvania
Dirk Nowitzki,25000000,213.0,Germany
Doc Rivers,1405000,193.0,Illinois
Domantas Sabonis,2550000,211.0,Oregon
Dominic McGuire,915852,206.0,California
Dominique Jones,1276560,203.0,Tennessee
Don MacLean,2800000,208.0,California
Don Reid,1100000,203.0,District of Columbia
Donald Hodge,1200000,213.0,District of Columbia
Donald Royal,1700000,203.0,Louisiana
Donald Sloan,1015421,190.0,Louisiana
Donald Whiteside,272250,178.0,Illinois
Donatas Motiejunas,2288205,213.0,Lithuania
Donell Taylor,664209,198.0,District of Columbia
Donnell Harvey,992040,203.0,Georgia
Donnie Boyce,250000,196.0,Illinois
Donny Marshall,540000,206.0,Pennsylvania
Donte Greene,2015896,211.0,Germany
Dontonio Wingfield,600000,203.0,Georgia
Donyell Marshall,6510000,206.0,Pennsylvania
Dorell Wright,4106000,206.0,California
Dorian Finney-Smith,1312611,203.0,Virginia
Doron Lamb,788872,193.0,New York
Doug Christie,8200000,198.0,Washington
Doug Edwards,1625000,201.0,Florida
Doug Lee,150000,196.0,Illinois
Doug McDermott,3294994,203.0,North Dakota
Doug Overton,600000,190.0,Pennsylvania
Doug West,3680000,198.0,Pennsylvania
Dragan Bender,4468800,216.0,Bosnia and Herzegovina
Dragan Tarlac,2500000,208.0,Serbia
Draymond Green,16400000,201.0,Michigan
Drew Barry,350000,196.0,California
Drew Gooden,7151183,208.0,California
Drew Gordon,40000,206.0,California
Duane Causwell,4000000,213.0,New York
Duane Cooper,150000,185.0,Michigan
Duane Ferrell,1625000,201.0,Maryland
Duje Dukan,525093,206.0,Croatia
Dwayne Jones,770610,208.0,Texas
Dwayne Morton,150000,201.0,Kentucky
Dwayne Schintzius,921000,216.0,Florida
Dwight Buycks,48028,190.0,Wisconsin
Dwight Howard,23500000,211.0,Georgia
Dwight Powell,9003125,211.0,Canada
Dwyane Wade,23200000,193.0,Illinois
Earl Barron,973328,213.0,Mississippi
Earl Boykins,2950000,165.0,Ohio
Earl Clark,4250000,208.0,New Jersey
Earl Cureton,205200,206.0,Michigan
Earl Watson,6600000,185.0,Kansas
Ed Davis,7000000,208.0,District of Columbia
Ed Gray,941040,190.0,California
Ed Nealy,800000,201.0,Kansas
Ed Pinckney,1926000,206.0,New York
Ed Stokes,272500,213.0,New York
Eddie Basden,398762,196.0,New York
Eddie Gill,819551,183.0,Colorado
Eddie Griffin,2900000,208.0,Pennsylvania
Eddie House,2862000,185.0,California
Eddie Johnson,1200000,203.0,Georgia
Eddie Jones,14863778,208.0,Alabama
Eddie Robinson,6204000,203.0,Michigan
Eddy Curry,11530592,213.0,Illinois
Eduardo Najera,4952380,203.0,Mexico
Efthimi Rentzias,658700,211.0,Greece
Ekpe Udoh,4469548,208.0,Oklahoma
Elden Campbell,8050000,211.0,California
Eldridge Recasner,1300000,190.0,Louisiana
Elfrid Payton,3332340,193.0,Louisiana
Elijah Millsap,362878,198.0,Louisiana
Elliot Perry,2025000,183.0,Tennessee
Elliot Williams,1442880,196.0,Tennessee
Elmore Spencer,2050000,213.0,Georgia
Elton Brand,17059727,203.0,New York
Emanual Davis,824935,193.0,Pennsylvania
Emeka Okafor,14487500,208.0,Texas
Emmanuel Mudiay,3381480,196.0,Democratic Republic of the Congo
Enes Kanter,20566802,211.0,Switzerland
Ennis Whatley,150000,190.0,Alabama
Eric Anderson,250000,206.0,Illinois
Eric Bledsoe,14500000,185.0,Alabama
Eric Dawson,38172,206.0,Texas
Eric Gordon,15514031,193.0,Indiana
Eric Leckner,618000,211.0,California
Eric Maynor,2338721,190.0,North Carolina
Eric Mobley,1328000,211.0,New York
Eric Montross,2960000,213.0,Indiana
Eric Moreland,1739333,208.0,Texas
Eric Murdock,2100000,185.0,New Jersey
Eric Piatkowski,3000000,201.0,Ohio
Eric Riley,537500,213.0,Ohio
Eric Snow,7312500,190.0,Ohio
Eric Washington,550000,193.0,Mississippi
Eric Williams,5540000,203.0,New Jersey
Erick Barkley,712200,185.0,New York
Erick Dampier,12115500,211.0,Mississippi
Erick Green,507336,193.0,California
Erick Strickland,2240000,190.0,Alabama
Erik Daniels,385277,203.0,Ohio
Erik Murphy,100000,208.0,France
Ernest Brown,332817,213.0,New York
Ersan Ilyasova,8400000,208.0,Turkey
Ervin Johnson,4837633,188.0,New York
Esteban Batista,664209,208.0,Uruguay
Etan Thomas,7350000,206.0,New York
Etdrick Bohannon,523500,206.0,California
Eugene Jeter,473604,180.0,California
Evan Eschmeyer,3711400,211.0,Ohio
Evan Fournier,17000000,201.0,France
Evan Turner,17131148,201.0,Illinois
Evers Burns,1616000,203.0,Maryland
Fab Melo,1311240,213.0,Brazil
Fabricio Oberto,3600000,208.0,Argentina
Fat Lever,2203000,190.0,Arkansas
Felipe Lopez,831120,196.0,Dominican Republic
Felton Spencer,2694000,213.0,Kentucky
Festus Ezeli,7400000,211.0,Nigeria
Francisco Elson,3000000,213.0,Netherlands
Francisco Garcia,5800000,201.0,Dominican Republic
Frank Brickowski,3250000,206.0,New York
Frank Johnson,500000,185.0,Florida
Frank Kaminsky,2847600,213.0,Illinois
Frank Kornet,225000,206.0,Kentucky
Frank Williams,894960,193.0,California
Frankie King,200000,185.0,Georgia
Fred Hoiberg,1760000,193.0,Nebraska
Fred Jones,3300000,193.0,Arkansas
Fred Roberts,866000,208.0,Utah
Fred VanVleet,1312611,183.0,Illinois
Fred Vinson,485000,193.0,North Carolina
Furkan Aldemir,3000000,208.0,Turkey
Gabe Pruitt,711517,193.0,California
Gal Mekel,816482,190.0,Israel
Garret Siler,51097,211.0,Georgia
Garrett Temple,8000000,198.0,Louisiana
Garth Joseph,316969,218.0,Dominica
Gary Alexander,150000,201.0,Florida
Gary Forbes,1500000,201.0,Panama
Gary Grant,1128000,190.0,Ohio
Gary Harris,2550055,193.0,Indiana
Gary Leonard,200000,216.0,Illinois
Gary Neal,3250000,193.0,Maryland
Gary Payton,12926493,193.0,California
Gary Plummer,140000,206.0,Michigan
Gary Trent,2400000,203.0,Ohio
Gaylon Nickerson,152900,190.0,Arkansas
Geno Carlisle,65779,190.0,Michigan
George Hill,20000000,190.0,Indiana
George Lynch,3200000,203.0,Virginia
George McCloud,2599900,198.0,Florida
George Zidek,784200,213.0,Czech Republic
Georges Niang,650000,203.0,Massachusetts
Georgios Papagiannis,2301360,216.0,Greece
Gerald Fitch,359858,190.0,Georgia
Gerald Glass,903000,196.0,Mississippi
Gerald Green,3500000,201.0,Texas
