Player,MP,WS,WS/48,BPM
Adrian Dantley*,2984,14.6,0.235,4.2
Al Wood,2236,4.4,0.094,-0.9
Albert King,2103,4.3,0.099,0.2
Alex English*,2870,8.2,0.136,3.4
Allen Leavell,2009,4.3,0.104,0.6
Alton Lister,1955,4.0,0.098,-0.9
Alvan Adams,1452,3.3,0.109,1.6
Alvin Scott,735,0.8,0.049,-2.2
Andrew Toney,2556,6.4,0.12,0.0
Anthony Roberts,197,-0.2,-0.058,-7.9
Armond Hill,181,0.0,-0.012,-5.0
Artis Gilmore*,2034,6.7,0.159,1.4
Audie Norris,1157,1.1,0.046,-3.7
Ben Poquette,858,1.3,0.075,-1.3
Bernard King*,2667,12.1,0.218,4.5
Bill Cartwright,2487,9.8,0.189,2.0
Bill Garnett,1529,3.5,0.109,0.1
Bill Hanzlik,1469,1.9,0.062,-2.1
Bill Laimbeer,2864,10.8,0.181,1.8
Bill Walton*,1476,2.3,0.074,2.6
Bill Willoughby,936,1.8,0.092,-1.0
Billy Knight,1885,3.4,0.086,-0.8
Billy McKinney,843,0.9,0.049,-2.8
Billy Paultz,486,0.3,0.027,-3.9
Bob Hansen,419,-0.1,-0.008,-5.6
Bob Lanier*,2007,6.7,0.16,2.6
Bob McAdoo*,1456,2.7,0.089,-2.8
Bob Miller,8,0.1,0.36,-4.0
Bobby Jones*,1761,6.0,0.163,4.6
Brad Davis,2665,6.2,0.112,-0.2
Brant Weidner,38,0.0,-0.014,-4.9
Brook Steppe,857,1.3,0.074,-1.8
Bruce Kuczenski,119,-0.4,-0.404,-17.2
Bryan Warrick,254,0.0,-0.008,-4.1
Buck Williams,3003,7.3,0.117,-0.1
Butch Carter,2045,2.6,0.061,-1.2
Byron Scott,1637,2.7,0.079,-1.5
Caldwell Jones,2506,4.1,0.078,-1.7
Calvin Garrett,478,0.6,0.064,-3.4
Calvin Natt,2638,8.4,0.154,1.5
Carlos Clark,127,0.1,0.048,-2.9
Cedric Maxwell,2502,6.4,0.124,0.4
Charles Bradley,39,-0.1,-0.152,-5.6
Charles Davis,467,0.3,0.034,-2.5
Charles Jones,3,0.0,-0.552,-5.2
Charles Pittman,989,1.7,0.081,-1.7
Charlie Criss,215,0.3,0.135,-4.1
Chris Engler,360,0.0,0.0,-6.4
Clark Kellogg,2676,7.0,0.125,1.6
Clay Johnson,176,0.0,-0.002,-4.5
Clemon Johnson,1721,2.2,0.06,-3.0
Cliff Levingston,1746,5.3,0.144,0.4
Cliff Robinson,2402,3.1,0.062,-0.6
Clint Richardson,1571,1.9,0.057,-2.2
Clyde Drexler*,1408,2.4,0.083,0.4
Craig Ehlo,63,0.0,0.018,-4.2
Craig Hodges,1571,0.5,0.015,-4.5
Dale Ellis,1059,1.5,0.066,-2.4
Dan Issel*,2076,6.1,0.141,1.2
Dan Roundfield,2610,7.1,0.131,1.7
Dane Suttle,469,0.9,0.094,-0.4
Danny Ainge,1154,1.8,0.076,-1.8
Danny Schayes,1420,2.8,0.095,-3.4
Danny Vranes,2174,3.4,0.076,-1.8
Darnell Valentine,1893,3.7,0.093,-0.2
Darrell Griffith,2650,3.5,0.063,-0.7
Darrell Lockhart,14,0.0,-0.048,-4.9
Darrell Walker,1324,2.3,0.083,1.8
Darren Daye,1174,1.3,0.053,-1.2
Darren Tillis,730,0.5,0.03,-5.6
Darryl Dawkins,2417,7.9,0.156,1.3
Darwin Cook,1870,3.6,0.092,2.1
Dave Batton,31,0.0,-0.068,-4.2
Dave Corzine,2674,4.7,0.084,0.1
Dave Greenwood,2718,5.7,0.101,-0.6
Dave Robisch,340,0.1,0.03,-13.4
David Thirdkill,291,0.0,0.002,-4.5
David Thompson*,349,1.0,0.144,1.6
DeWayne Scales,13,0.0,-0.131,-4.5
Dennis Johnson*,2665,5.7,0.102,0.1
Derek Harper,1712,1.3,0.035,-1.3
Derek Smith,1297,2.6,0.098,-0.7
Doc Rivers,1938,4.2,0.103,1.1
Dominique Wilkins*,2961,7.0,0.113,1.6
Don Buse,1327,2.2,0.08,1.0
Don Collins,957,0.9,0.047,-2.1
Earl Cureton,907,1.0,0.051,-3.1
Ed Nealy,960,2.0,0.101,-0.7
Eddie Johnson,4813,7.3,0.137,-1.4
Eddie Jordan,210,-0.1,-0.174,-6.9
Edgar Jones,1770,3.4,0.093,-1.1
Elston Turner,536,0.3,0.029,-2.0
Elvin Hayes*,994,0.2,0.01,-4.4
Ennis Whatley,2159,1.9,0.043,-0.6
Eric Fernsten,402,1.0,0.118,0.1
Ernie Grunfeld,1119,1.6,0.069,-2.1
Fat Lever,2010,4.8,0.114,2.3
Foots Walker,378,0.3,0.043,-1.8
Frank Johnson,2686,4.3,0.076,-0.6
Franklin Edwards,654,0.1,0.009,-4.5
Fred Brown,1129,2.6,0.111,0.7
Fred Roberts,1531,3.0,0.093,-0.9
Gene Banks,2600,6.2,0.115,1.2
Geoff Crompton,23,-0.1,-0.254,-6.0
Geoff Huston,2041,2.6,0.061,-1.8
George Gervin*,2584,5.5,0.102,0.1
George Johnson,2073,3.2,0.075,-0.7
Gerald Henderson,2088,5.3,0.121,1.1
Granville Waiters,1040,1.3,0.062,-1.9
Greg Ballard,2701,5.6,0.099,1.1
Greg Kelser,1783,2.5,0.068,-1.5
Greg Kite,197,0.0,-0.008,-6.9
Gus Williams,2818,5.9,0.101,2.7
Hank McDowell,611,0.1,0.009,-4.4
Harvey Catchings,1156,1.3,0.056,-2.1
Herb Williams,2279,2.8,0.059,-0.4
Howard Carter,688,0.4,0.028,-3.9
Hutch Jones,18,-0.1,-0.321,-5.5
Isiah Thomas*,3007,9.1,0.144,4.8
J.J. Anderson,311,0.1,0.013,-3.1
Jack Sikma*,2993,9.7,0.156,2.9
Jamaal Wilkes*,2507,6.0,0.115,-0.3
James Bailey,1174,2.3,0.093,-1.3
James Donaldson,2525,5.8,0.11,0.8
James Edwards,1897,4.4,0.112,-0.5
James Worthy*,2415,6.5,0.129,0.9
Jawann Oldham,870,0.5,0.026,-3.3
Jay Vincent,1421,1.1,0.038,-3.9
Jeff Cook,1950,3.7,0.09,-0.9
Jeff Lamp,660,1.0,0.074,-2.2
Jeff Malone,1976,1.3,0.032,-3.5
Jeff Ruland,3082,9.3,0.144,2.6
Jeff Wilkins,1734,2.3,0.065,-3.6
Jerome Whitehead,921,1.5,0.08,-3.8
Jerry Eaves,1034,0.7,0.032,-3.4
Jerry Sichting,2497,5.2,0.099,-0.6
Jim Paxson,2686,9.5,0.17,2.2
Jim Spanarkel,54,0.2,0.141,-1.9
Jim Thomas,1219,1.6,0.065,-1.4
Joe Barry Carroll,2962,4.7,0.077,0.2
Joe Kopicki,678,1.9,0.136,-0.1
Joe Meriweather,1501,2.9,0.092,-2.3
John Bagley,1712,0.9,0.025,-1.8
John Drew,1797,4.5,0.121,-0.3
John Garris,267,0.9,0.166,-0.1
John Long,2514,5.3,0.102,-0.4
John Lucas,1807,4.3,0.114,2.5
John Paxson,458,0.6,0.058,-1.7
John Pinone,65,0.1,0.04,-3.8
Johnny Davis,2079,3.3,0.075,-0.9
Johnny High,512,-0.1,-0.008,-2.0
Johnny Moore,1650,3.8,0.11,3.1
