Player,MP,WS,WS/48,BPM
A.C. Green,2709,7.7,0.137,-0.6
Adrian Branch,91,0.0,0.014,-2.0
Adrian Caldwell,331,0.4,0.061,-4.0
Adrian Dantley*,1300,3.1,0.113,-0.4
Alex English*,2211,5.1,0.11,1.2
Alexander Volkov,937,1.4,0.074,-1.2
Alton Lister,40,0.1,0.125,-0.6
Alvin Robertson,2599,7.5,0.138,3.7
Andre Turner,115,-0.3,-0.357,-18.1
Andrew Lang,1011,3.0,0.144,1.4
Anthony Bowie,918,0.7,0.037,-2.5
Anthony Jones,650,0.0,-0.001,-4.0
Anthony Mason,108,-0.1,-0.055,-7.6
Antoine Carr,1727,3.4,0.193,-1.3
Armen Gilliam,2426,4.6,0.172,-3.4
Avery Johnson,575,0.5,0.043,-0.8
B.J. Armstrong,1291,1.7,0.064,-2.8
Ben Coleman,305,0.5,0.079,-4.1
Benoit Benjamin,2313,5.4,0.113,1.6
Bernard King*,2687,5.5,0.099,0.5
Bill Cartwright,2160,4.5,0.1,-2.5
Bill Hanzlik,1605,2.9,0.086,-1.1
Bill Laimbeer,2675,10.1,0.182,3.3
Bill Wennington,814,1.2,0.073,-3.8
Billy Thompson,2142,3.6,0.081,-0.2
Blair Rasmussen,1995,5.2,0.125,-1.0
Blue Edwards,1889,2.7,0.068,-2.3
Bob Hansen,2174,2.8,0.062,-2.1
Bob McCann,62,0.1,0.041,-4.0
Bob Thornton,592,0.3,0.022,-5.1
Brad Daugherty,1438,3.1,0.104,-0.8
Brad Davis,1292,2.9,0.109,-0.1
Brad Lohaus,1943,3.3,0.135,-0.5
Brad Sellers,700,0.2,-0.089,-12.7
Brian Quinnett,193,-0.1,-0.015,-7.0
Brian Rowsom,559,1.0,0.085,-2.0
Buck Johnson,2832,6.2,0.104,-0.6
Buck Williams,2801,8.7,0.149,0.7
Byron Dinkins,362,0.3,0.043,-1.9
Byron Irvin,488,1.2,0.12,1.0
Byron Scott,2593,6.0,0.111,0.6
Caldwell Jones,885,1.3,0.072,-4.0
Calvin Natt,164,0.5,0.159,-0.4
Carlton McKinney,104,-0.3,-0.121,-10.0
Charles Barkley*,3085,17.3,0.269,8.2
Charles Davis,429,-0.2,-0.017,-7.4
Charles Jones,2240,3.8,0.082,-0.5
Charles Oakley,2196,6.0,0.131,-0.3
Charles Shackleford,1557,1.5,0.046,-3.6
Charles Smith,3251,10.5,0.267,1.1
Chris Dudley,1356,0.1,0.012,-10.0
Chris Morris,2449,3.2,0.062,0.6
Chris Mullin*,2830,10.2,0.174,5.0
Chris Welp,198,0.1,-0.065,-21.0
Chuck Nevitt,9,0.0,0.037,2.3
Chuck Person,2714,5.4,0.096,-0.1
Chucky Brown,1339,2.2,0.078,-3.6
Cliff Levingston,1706,3.4,0.096,-0.7
Clifford Lett,28,-0.1,-0.203,-21.7
Clifford Robinson,1565,0.3,0.01,-5.0
Clyde Drexler*,2683,11.6,0.208,7.3
Corey Gaines,81,-0.1,-0.044,-3.6
Craig Ehlo,2894,6.5,0.108,1.1
Craig Hodges,1055,2.6,0.117,0.0
Dale Ellis,2033,6.4,0.15,2.5
Dan Majerle,2244,5.5,0.118,1.3
Dana Barros,1630,1.8,0.053,-0.6
Danny Ainge,2727,4.8,0.085,1.1
Danny Manning,2269,5.3,0.112,0.4
Danny Schayes,1194,4.5,0.183,0.3
Danny Young,1393,3.0,0.103,0.9
Darrell Griffith,1444,2.5,0.083,-0.1
Darrell Walker,2883,6.3,0.105,2.3
Dave Corzine,79,-0.2,-0.139,-9.5
Dave Greenwood,205,0.4,0.085,-3.0
Dave Hoppen,135,0.0,0.008,-6.8
David Rivers,724,-0.2,-0.012,-4.3
David Robinson*,3002,15.1,0.241,6.9
David Wingate,1856,1.9,0.05,-1.7
Delaney Rudd,850,0.1,0.004,-4.6
Dell Curry,1860,1.8,0.048,0.9
Dennis Hopson,2551,3.1,0.059,-1.0
Dennis Johnson*,2036,3.8,0.089,-0.3
Dennis Rodman*,2377,9.3,0.189,1.6
Derek Harper,3007,9.9,0.158,4.7
Derek Smith,1405,2.9,0.098,-1.1
Derrick Chievous,591,1.2,0.161,-6.6
Derrick Gervin,339,1.3,0.184,2.7
Derrick McKey,2748,6.3,0.11,1.1
Detlef Schrempf,2573,8.1,0.151,1.4
Dexter Shouse,18,-0.1,-0.281,-12.0
Doc Rivers,1526,4.0,0.126,3.0
Dominique Wilkins*,2888,11.1,0.184,5.4
Donald Royal,746,1.3,0.087,-1.7
Doug Roth,412,0.4,0.052,-5.3
Doug West,378,-0.1,-0.017,-7.0
Dražen Petrović*,967,2.8,0.139,0.9
Duane Ferrell,29,-0.1,-0.092,-9.5
Dyron Nix,109,0.0,-0.015,-5.8
Ed Horton,374,0.4,0.05,-4.9
Ed Nealy,503,1.3,0.122,-1.2
Ed Pinckney,1082,2.9,0.131,0.8
Eddie Hughes,892,1.0,0.055,-2.6
Eddie Johnson,1811,3.9,0.104,-0.9
Eddie Lee Wilkins,972,0.8,0.04,-6.6
Eric Johnson,272,-0.4,-0.065,-6.9
Eric Leckner,764,1.7,0.107,-3.9
Fat Lever,2832,8.8,0.149,4.9
Frank Brickowski,1438,3.8,0.126,0.2
Frank Kornet,438,0.0,0.003,-5.5
Fred Roberts,2235,3.5,0.075,-2.3
Gary Grant,1529,1.3,0.039,0.8
Gary Leonard,127,0.0,-0.01,-8.4
Gary Voce,4,0.0,0.031,-6.9
George McCloud,413,-0.7,-0.079,-6.8
Gerald Henderson,464,1.2,0.197,0.4
Gerald Wilkins,2609,4.4,0.082,-0.3
Glen Rice,2311,1.4,0.029,-3.2
Grant Long,1856,2.7,0.07,-2.3
Greg Anderson,1291,2.0,0.073,-3.8
Greg Butler,33,-0.1,-0.206,-18.3
Greg Dreiling,307,0.2,0.028,-5.9
Greg Grant,678,-0.1,-0.007,-3.1
Greg Kite,1515,0.8,0.026,-3.8
Greg Stokes,34,-0.2,-0.238,-16.9
Hakeem Olajuwon*,3124,11.2,0.173,5.8
Harold Pressley,1603,2.3,0.069,0.0
Harvey Grant,1846,2.6,0.067,-2.2
Haywoode Workman,16,0.1,0.357,13.6
Henry Turner,315,0.3,0.046,-2.0
Herb Williams,2199,2.2,0.048,-2.0
Hersey Hawkins,2856,8.0,0.135,1.7
Horace Grant,2753,8.0,0.14,1.1
Hot Rod Williams,2776,8.7,0.15,2.1
Isiah Thomas*,2993,6.7,0.107,2.9
J.R. Reid,2757,1.1,0.02,-4.2
Jack Haley,1084,0.3,0.052,-12.1
Jack Sikma*,2250,5.0,0.107,0.6
James Donaldson,2265,4.5,0.094,-1.5
James Edwards,2283,5.6,0.117,-1.7
James Worthy*,2960,10.6,0.172,3.8
Jaren Jackson,160,-0.1,-0.031,-3.3
Jawann Oldham,45,0.0,0.057,-15.5
Jay Edwards,26,0.0,0.022,-4.0
Jay Humphries,2818,7.6,0.13,1.4
Jay Taylor,114,-0.1,-0.028,-2.6
Jay Vincent,459,0.5,0.096,-7.6
Jeff Grayer,1427,1.5,0.05,-2.7
Jeff Hornacek,2278,8.7,0.182,4.6
Jeff Lebo,32,0.0,0.065,-1.9
Jeff Malone,2567,5.2,0.098,0.0
Jeff Martin,1351,0.9,0.031,-4.0
Jeff Sanders,182,-0.3,-0.069,-10.2
Jeff Turner,1105,-0.2,-0.009,-6.1
Jerome Kersey,2843,8.8,0.148,1.8
Jerome Lane,956,1.2,0.062,-2.3
Jerry Reynolds,1817,1.3,0.035,-0.6
Jerry Sichting,496,0.1,-0.09,-15.0
Jim Farmer,400,0.7,0.087,-1.1
Jim Les,92,0.0,-0.482,-30.8
Jim Paxson,1283,1.4,0.052,-3.7
Jim Petersen,592,0.4,0.035,-4.4
Jim Rowinski,112,0.2,0.101,-4.3
Joe Barry Carroll,1721,0.7,0.034,-5.6
Joe Dumars*,2578,8.7,0.162,2.2
Joe Kleine,1365,2.3,0.082,-3.7
Joe Wolf,1325,-0.2,-0.006,-5.3
John Bagley,1095,1.1,0.047,-1.6
John Battle,1477,1.7,0.055,-3.1
John Long,1030,0.2,0.01,-2.9
John Lucas,938,1.0,0.052,-0.9
John Morton,402,-0.9,-0.109,-7.7
John Paxson,2365,4.8,0.097,-1.5
John Salley,1914,6.1,0.152,1.5
John Shasky,51,-0.1,-0.084,-11.5
John Stockton*,2915,14.4,0.238,8.9
John Williams,632,1.3,0.101,2.9
Johnny Dawkins,2865,6.4,0.107,0.8
Johnny Moore,516,0.3,0.029,-2.7
Johnny Newman,2277,4.5,0.095,-1.1
Jon Koncak,977,1.4,0.068,-1.7
Jon Sundvold,867,0.8,0.046,-2.0
José Ortiz,64,0.1,0.061,-4.5
Karl Malone*,3122,15.9,0.245,6.4
Kelly Tripucka,2404,2.1,0.042,-1.8
Kelvin Upshaw,387,0.3,-0.165,-18.6
Ken Bannister,589,0.1,0.005,-5.9
Ken Norman,2334,2.9,0.061,-0.9
Kenny Battle,729,1.9,0.127,0.0
Kenny Gattison,941,1.5,0.075,-2.6
Kenny Payne,216,0.0,0.002,-6.0
Kenny Smith,2421,2.7,0.124,-2.7
Kenny Walker,1595,4.0,0.121,-1.2
Kevin Duckworth,2462,4.8,0.093,-2.3
Kevin Edwards,2211,0.3,0.005,-2.1
Kevin Gamble,990,1.9,0.092,-0.5
Kevin Johnson,2782,11.6,0.2,5.0
Kevin McHale*,2722,11.1,0.195,3.4
Kevin Willis,2273,4.7,0.098,-1.7
Kiki Vandeweghe,563,0.8,0.072,-2.5
Kurt Nimphius,314,0.1,0.02,-5.7
Kurt Rambis,1904,4.0,0.189,1.0
LaSalle Thompson,2126,2.4,0.055,-2.6
Lanard Copeland,110,-0.2,-0.109,-10.4
Larry Bird*,2944,9.5,0.154,5.3
Larry Drew,1333,1.4,0.05,-1.8
Larry Krystkowiak,381,0.1,0.01,-5.5
Larry Nance,2065,6.5,0.152,2.7
Larry Smith,1300,2.6,0.095,-1.8
Ledell Eackles,1696,1.0,0.029,-3.2
Leon Wood,200,0.3,0.066,-3.5
Leonard Taylor,37,-0.1,-0.097,-10.2
