Player,MP,WS,WS/48,BPM
A.C. Green,1542,3.3,0.103,-1.6
Adrian Dantley*,2744,12.8,0.223,4.9
Al Wood,1749,2.5,0.068,-1.5
Albert King,1998,1.9,0.045,-2.2
Alex English*,3024,9.8,0.156,2.9
Alex Stivrins,14,-0.1,-0.347,-17.0
Alfredrick Hughes,866,-0.5,-0.029,-5.7
Allen Leavell,1190,3.0,0.122,0.2
Alton Lister,1812,5.5,0.144,1.1
Alvan Adams,2005,3.9,0.094,1.6
Alvin Robertson,2878,8.6,0.143,4.7
Andrew Toney,84,-0.2,-0.128,-9.0
Antoine Carr,258,0.7,0.127,0.2
Artis Gilmore*,2395,7.1,0.143,0.8
Ben McDonald,266,0.2,0.033,-4.0
Ben Poquette,1496,2.3,0.075,-1.4
Benoit Benjamin,2088,4.0,0.093,-0.5
Bernard Thompson,1281,2.1,0.08,-1.9
Bill Cartwright,36,0.0,-0.016,-3.1
Bill Garnett,1197,2.0,0.078,-1.4
Bill Hanzlik,1982,4.7,0.115,0.4
Bill Laimbeer,2891,9.2,0.153,0.6
Bill Martin,691,0.6,0.045,-3.4
Bill Walton*,1546,5.0,0.157,3.0
Bill Wennington,562,0.9,0.08,-2.8
Billy McKinney,83,0.1,0.053,-2.1
Blair Rasmussen,330,-0.1,-0.021,-8.1
Bob Hansen,2032,2.5,0.058,-2.5
Bob McAdoo*,609,0.7,0.056,-3.5
Bob Thornton,1323,0.9,0.034,-5.1
Bobby Cattage,185,0.1,0.025,-6.5
Bobby Jones*,1519,3.2,0.102,0.4
Brad Davis,1971,6.2,0.152,1.5
Brian Martin,21,0.0,-0.292,-26.1
Bryan Warrick,685,1.0,0.037,-3.9
Buck Williams,3070,6.8,0.106,-0.6
Butch Carter,67,-0.2,-0.268,-26.5
Byron Scott,2190,5.2,0.113,-0.3
Caldwell Jones,1437,2.3,0.078,-2.2
Calvin Natt,2007,6.1,0.146,1.3
Carey Scurry,1168,1.8,0.072,-0.2
Carl Henry,149,0.2,0.049,-2.5
Cedric Maxwell,2458,5.4,0.105,-0.6
Charles Barkley*,2952,10.8,0.176,5.1
Charles Davis,873,2.1,0.114,-1.7
Charles Jones,2351,3.8,0.138,-0.8
Charles Oakley,1772,3.3,0.09,-0.4
Charles Pittman,1132,1.5,0.065,-2.1
Chris McNealy,627,1.6,0.122,0.1
Chris Mullin*,1391,2.9,0.1,0.3
Chuck Nevitt,126,0.1,-0.046,-13.5
Clark Kellogg,568,0.9,0.08,1.1
Claude Gregory,2,0.0,-0.64,-14.2
Clemon Johnson,1069,2.0,0.088,-1.6
Cliff Levingston,1945,5.5,0.136,0.4
Cliff Robinson,2563,5.6,0.104,0.7
Clint Richardson,2224,3.1,0.067,-1.0
Clyde Drexler*,2576,6.7,0.124,4.3
Craig Ehlo,199,0.5,0.126,1.9
Craig Hodges,1739,5.3,0.147,1.9
Dale Ellis,1086,1.6,0.071,-0.9
Dan Roundfield,2321,5.1,0.106,-0.8
Danny Ainge,2407,6.8,0.136,0.9
Danny Schayes,1654,4.6,0.134,-2.0
Danny Vranes,1569,2.1,0.065,-1.6
Danny Young,1901,4.8,0.121,1.9
Darnell Valentine,1217,0.9,0.057,-4.3
Darrell Walker,2023,2.1,0.05,1.3
Darren Daye,1075,2.4,0.105,0.5
Darryl Dawkins,1207,4.4,0.175,2.1
Darwin Cook,1965,3.0,0.074,1.1
Dave Corzine,1709,2.9,0.08,0.6
Dave Greenwood,1910,3.4,0.085,-1.6
David Cooke,38,0.0,-0.043,-3.8
David Pope,74,0.1,0.081,-2.4
David Thirdkill,385,1.0,0.129,-3.2
Dennis Johnson*,2732,6.7,0.118,0.5
Derek Harper,2150,6.2,0.138,3.4
Derek Smith,339,0.8,0.115,4.4
Derrick Rowland,9,0.0,0.048,-8.9
Detlef Schrempf,969,0.8,0.04,-3.8
Devin Durrant,51,-0.1,-0.065,-6.1
Dirk Minniefield,1131,1.9,0.083,0.1
Doc Rivers,1571,4.2,0.128,3.4
Dominique Wilkins*,3049,10.8,0.17,4.2
Dudley Bradley,842,1.0,0.057,-0.4
Dwayne McClain,461,-0.3,-0.026,-3.8
Earl Cureton,2017,2.6,0.061,-1.6
Earl Jones,43,0.0,-0.055,-11.5
Ed Pinckney,1602,2.7,0.08,-1.4
Eddie Johnson,3991,5.5,0.166,-4.7
Edgar Jones,1011,2.6,0.122,0.5
Elston Turner,1324,1.3,0.047,-1.9
Ennis Whatley,107,0.0,-0.171,-12.7
Ernie Grunfeld,1402,2.7,0.091,-1.2
Fat Lever,2616,4.5,0.082,1.6
Frank Brickowski,311,0.4,0.058,-4.0
Frank Johnson,402,0.5,0.064,-2.0
Franklin Edwards,1491,0.8,0.026,-1.8
Fred Cofield,469,-0.4,-0.039,-4.5
Fred Roberts,469,0.2,0.02,-5.5
Freeman Williams,110,-0.1,-0.034,-2.1
Gene Banks,2139,4.3,0.097,0.8
Geoff Huston,1208,1.8,0.072,-1.0
George Gervin*,2065,3.0,0.069,-2.1
George Johnson,271,0.6,0.128,-4.2
Georgi Glouchkov,772,-0.5,-0.029,-6.3
Gerald Henderson,2568,6.2,0.115,1.3
Gerald Wilkins,2025,0.7,0.018,-2.1
Granville Waiters,156,-0.2,-0.051,-7.1
Greg Ballard,1792,3.6,0.097,-1.0
Greg Kite,464,0.1,0.007,-6.0
Greg Stokes,350,0.5,0.068,-2.9
Gus Williams,2284,2.8,0.06,-0.3
Guy Williams,25,0.0,0.079,-2.1
Hakeem Olajuwon*,2467,9.5,0.186,4.0
Hank McDowell,204,0.4,0.094,-3.4
Harold Keeling,75,0.1,0.041,-2.8
Herb Williams,2770,6.2,0.107,1.4
Isiah Thomas*,2790,8.8,0.151,5.0
Jack Sikma*,2790,7.8,0.134,2.5
Jamaal Wilkes*,195,0.0,0.005,-3.4
James Bailey,1245,1.9,0.075,-3.2
James Donaldson,2682,5.8,0.174,-0.8
James Edwards,1314,3.0,0.11,-1.3
James Worthy*,2454,9.5,0.185,3.9
Jawann Oldham,1276,1.3,0.049,-1.7
Jay Humphries,2733,4.8,0.084,-0.6
Jay Murphy,100,-0.1,-0.044,-6.3
Jay Vincent,1994,3.4,0.081,-1.2
Jeff Cook,373,0.7,0.013,-11.9
Jeff Cross,128,-0.1,-0.038,-11.4
Jeff Lamp,1321,3.0,0.214,-2.3
Jeff Malone,2992,6.1,0.098,-1.2
Jeff Ruland,1114,3.5,0.151,3.5
Jeff Turner,650,0.8,0.057,-5.0
Jeff Wilkins,1126,0.3,0.026,-12.3
Jerome Henderson,3,0.0,0.349,3.6
Jerome Kersey,1217,3.6,0.143,1.1
Jerome Whitehead,1079,0.3,0.013,-6.5
Jerry Reynolds,508,1.0,0.096,3.6
