Player,MP,WS,WS/48,BPM
A.C. Green,2240,7.6,0.163,1.0
Adrian Branch,219,0.7,0.158,-0.4
Adrian Dantley*,2736,10.3,0.181,2.1
Al Wood,657,1.0,0.076,-3.4
Albert King,1291,0.2,0.007,-3.2
Alex English*,3085,8.1,0.126,1.9
Allen Leavell,1175,2.4,0.097,-0.7
Alton Lister,2288,4.1,0.086,-1.0
Alvan Adams,1690,2.8,0.079,-0.1
Alvin Robertson,2697,5.3,0.094,3.0
Andre Turner,18,-0.1,-0.354,-18.0
Andrew Toney,1058,1.2,0.056,-2.1
Anthony Jones,858,0.5,0.025,-5.7
Antoine Carr,695,2.2,0.149,0.1
Artis Gilmore*,2405,4.9,0.097,-1.0
Ben Coleman,1029,2.0,0.093,-2.2
Ben McDonald,1284,0.7,0.027,-4.6
Ben Poquette,604,1.3,0.231,-1.4
Benoit Benjamin,2230,1.1,0.024,-2.1
Bernard King*,214,0.4,0.087,-1.1
Bernard Thompson,331,0.1,0.019,-6.1
Bill Cartwright,1989,5.8,0.14,0.7
Bill Hanzlik,1990,3.5,0.085,-0.8
Bill Laimbeer,2854,10.5,0.176,2.3
Bill Martin,68,-0.1,-0.087,-7.9
Bill Walton*,112,-0.1,-0.047,-4.1
Bill Wennington,560,0.5,0.045,-4.7
Billy Thompson,762,1.6,0.102,-2.7
Blair Rasmussen,1421,3.3,0.111,-3.0
Bob Hansen,1453,2.6,0.085,-2.1
Bob Thornton,282,-0.3,-0.044,-7.9
Brad Daugherty,2695,6.0,0.107,0.8
Brad Davis,1582,3.9,0.119,0.5
Brad Sellers,1751,3.3,0.091,-1.9
Brad Wright,138,0.0,-0.013,-6.5
Brook Steppe,665,0.7,0.05,-2.0
Bruce Douglas,98,-0.2,-0.082,-3.0
Buck Johnson,520,0.7,0.068,-2.6
Buck Williams,2976,7.9,0.127,0.5
Byron Scott,2729,7.7,0.136,1.1
Caldwell Jones,1578,2.6,0.078,-1.9
Calvin Natt,20,0.0,0.076,-5.1
Carey Scurry,753,2.6,0.168,3.9
Cedric Henderson,16,0.0,-0.053,-17.3
Cedric Maxwell,1968,5.4,0.272,1.8
Charles Barkley*,2740,12.0,0.21,6.7
Charles Jones,1609,2.8,0.083,0.3
Charles Oakley,2980,3.5,0.056,-2.0
Chris Engler,195,0.4,0.347,-5.1
Chris McNealy,972,0.8,0.039,-3.2
Chris Mullin*,2377,5.2,0.104,0.7
