Player,MP,WS,WS/48,BPM
Aaron James,2118,4.3,0.096,-1.7
Adrian Dantley*,2933,12.2,0.411,7.9
Al Eberhard,576,0.9,0.078,-2.1
Al Fleming,97,0.0,0.018,-4.1
Al Skinner,1551,1.7,0.124,-3.8
Alex English*,1552,4.0,0.123,0.6
Allan Bristow,1481,2.8,0.089,-0.7
Alonzo Bradley,798,-0.1,-0.005,-4.5
Alvan Adams,1914,4.9,0.123,1.0
Alvin Scott,1538,4.0,0.126,-0.5
Andre McCarter,9,0.0,-0.177,-5.0
Anthony Roberts,1598,1.9,0.057,-4.0
Armond Hill,2530,2.6,0.05,-1.6
Artis Gilmore*,3067,11.5,0.18,4.1
Austin Carr,2186,3.4,0.074,-1.0
Bayard Forrest,887,1.4,0.077,-0.1
Ben Poquette,626,0.6,0.049,-3.3
Bernard King*,3092,5.9,0.092,0.1
Bill Robinzine,1748,3.0,0.082,-2.7
Bill Walton*,1929,8.4,0.209,8.1
Bill Willoughby,1079,1.2,0.051,-2.5
Billy Knight,2155,6.0,0.133,1.6
Billy Paultz,2479,8.6,0.166,2.9
Bingo Smith,1581,2.5,0.076,-1.4
Bird Averitt,1085,-0.7,-0.072,-9.8
Bo Ellis,1213,1.1,0.044,-2.9
Bob Bigelow,24,-0.1,0.149,-9.5
Bob Carrington,1653,1.4,0.091,-5.4
Bob Dandridge,2777,6.8,0.118,1.1
Bob Gross,2163,7.1,0.158,3.2
Bob Lanier*,2311,10.1,0.209,5.4
Bob McAdoo*,3182,10.9,0.165,3.0
Bob Nash,800,2.1,0.123,1.1
Bob Wilkerson,2780,0.7,0.011,-2.8
Bobby Jones*,2440,8.9,0.175,4.7
Bobby Wilson,86,0.0,-0.015,-4.6
Brad Davis,334,0.3,0.041,-2.4
Brian Taylor,1222,1.8,0.071,-1.4
Brian Winters,2751,5.1,0.089,-0.6
Bruce Seals,1322,1.6,0.059,-3.0
Bubbles Hawkins,343,0.3,0.042,-0.6
Butch Beard,1979,4.4,0.107,0.4
C.J. Kupec,626,0.5,0.038,-2.5
Caldwell Jones,1636,3.1,0.09,-1.0
Calvin Murphy*,2900,7.4,0.122,1.3
Campy Russell,2520,6.6,0.127,1.7
Cazzie Russell,789,1.1,0.07,-2.1
Cedric Maxwell,1213,4.2,0.166,2.0
Charles Dudley,1660,3.6,0.105,-0.1
Charles Johnson,1299,1.1,0.084,-4.6
Charlie Criss,1935,3.7,0.092,-0.1
Charlie Scott*,2473,2.4,0.09,-3.8
Chris Ford,2582,3.6,0.067,0.1
Chuck Williams,2002,1.3,0.031,-3.0
Claude Terry,166,0.0,-0.008,-4.8
Cliff Pondexter,534,1.0,0.087,2.2
Clifford Ray,2268,6.9,0.145,0.8
Coby Dietrick,1876,2.5,0.063,-0.6
Corky Calhoun,1370,3.1,0.109,-0.2
Curtis Perry,818,1.7,0.102,-2.0
Curtis Rowe,911,0.9,0.046,-3.1
Dale Schlueter,109,0.0,-0.006,-3.2
Dan Issel*,2851,11.1,0.186,3.0
Dan Roundfield,2423,6.9,0.138,1.9
Darnell Hillman,1966,3.3,0.158,-3.4
Darryl Dawkins,1722,6.4,0.178,1.8
Dave Bing*,2256,3.6,0.076,-1.2
Dave Cowens*,3215,10.8,0.162,3.4
Dave Meyers,2416,5.0,0.099,-0.4
Dave Robisch,1277,2.3,0.173,-1.9
Dave Twardzik,1820,5.5,0.146,1.1
Dave Wohl,118,-0.2,-0.079,-6.9
David Thompson*,3025,12.7,0.202,4.8
Dean Tolson,7,0.0,-0.196,-4.7
Dennis Awtrey,1623,1.0,0.03,-3.1
Dennis Johnson*,2209,5.8,0.127,1.8
Derrek Dickey,493,0.4,0.053,-7.7
Dick Snyder,660,0.9,0.067,-1.2
Don Buse,2547,6.0,0.113,1.0
Don Chaney,835,0.4,0.016,-5.4
Don Ford,1945,3.5,0.087,-0.4
Doug Collins,2770,7.6,0.132,0.9
Dwight Jones,2476,3.1,0.06,-2.0
E.C. Coleman,1801,2.7,0.071,-2.2
Earl Monroe*,2369,5.8,0.117,-0.1
Earl Tatum,2522,4.5,0.178,0.4
Ed Ratleff,1163,1.0,0.042,0.1
Eddie Johnson,1875,3.5,0.091,-0.7
