Player,MP,WS,WS/48,BPM
Adrian Dantley*,1971,8.0,0.194,3.8
Al Wood,2545,4.2,0.08,-0.1
Albert King,860,1.9,0.106,0.1
Alex English*,2924,8.9,0.146,2.7
Allen Leavell,536,0.6,0.051,-2.7
Alton Lister,2091,5.3,0.121,0.9
Alvan Adams,2136,6.8,0.152,4.0
Alvin Robertson,1685,3.1,0.087,0.9
Alvin Scott,1238,1.2,0.045,-2.0
Andrew Toney,2237,5.5,0.118,0.4
Antoine Carr,1195,2.1,0.084,-1.3
Artis Gilmore*,2756,10.5,0.183,2.2
Audie Norris,1117,1.9,0.083,-3.2
Ben Poquette,1656,3.5,0.102,-0.7
Bernard King*,2063,7.1,0.166,5.1
Bernard Thompson,535,0.2,0.022,-4.0
Bill Garnett,1123,1.5,0.063,-3.2
Bill Hanzlik,1673,2.2,0.063,-2.7
Bill Laimbeer,2892,9.8,0.162,1.3
Bill Walton*,1647,3.3,0.097,2.2
Billy Knight,800,0.4,0.048,-5.8
Billy Paultz,370,0.0,-0.006,-6.3
Bob Hansen,646,0.7,0.049,-3.6
Bob McAdoo*,1254,2.9,0.11,-2.1
Bobby Jones*,1633,4.8,0.142,2.9
Brad Davis,2539,7.4,0.14,1.0
Brook Steppe,486,1.0,0.097,-1.9
Bryan Warrick,713,0.5,0.035,-3.3
Buck Williams,3182,7.7,0.116,-0.3
Butch Carter,1279,0.9,0.032,-2.2
Butch Graves,11,-0.1,-0.243,-16.9
Byron Scott,2305,6.9,0.143,0.9
Caldwell Jones,885,0.9,0.048,-2.6
Calvin Natt,2657,10.2,0.185,3.1
Campy Russell,24,-0.1,-0.246,-13.0
Carlos Clark,562,0.5,0.044,-2.2
Cedric Maxwell,1495,4.6,0.147,0.5
Charles Barkley*,2347,7.5,0.154,1.7
Charles Davis,774,0.9,-0.06,-12.4
Charles Jones,2232,5.1,0.256,-2.2
Charles Pittman,1001,0.9,0.044,-4.2
Charlie Criss,115,0.0,-0.012,-2.3
Charlie Sitton,304,0.1,0.008,-5.3
Chris Engler,82,0.2,-0.439,-27.1
Chuck Aleksinas,1114,0.4,0.019,-5.6
Chuck Nevitt,59,-0.2,-0.158,-11.7
Clark Kellogg,2449,6.1,0.119,1.8
Clemon Johnson,875,1.7,0.095,-1.2
Cliff Levingston,2017,4.7,0.113,0.0
Cliff Robinson,1870,2.9,0.075,-0.7
Clint Richardson,1531,1.8,0.058,-2.1
Clyde Drexler*,2555,7.5,0.141,4.3
Cory Blackwell,551,-0.9,-0.081,-7.9
Craig Ehlo,189,0.2,0.057,-0.9
Craig Hodges,2496,6.0,0.115,0.0
Dale Ellis,1314,2.4,0.088,-1.0
Dale Wilkinson,45,-0.1,-0.307,-32.3
Dan Issel*,1684,4.3,0.124,-0.3
Dan Roundfield,1492,2.7,0.087,-0.8
Dane Suttle,24,0.0,0.072,-2.0
Danny Ainge,2564,6.6,0.124,0.7
Danny Schayes,542,1.2,0.109,-2.1
Danny Vranes,2163,1.8,0.039,-2.2
Danny Young,26,-0.1,-0.188,-6.1
Darnell Valentine,2278,5.0,0.106,0.6
Darrell Griffith,2776,3.5,0.061,0.0
Darrell Walker,2489,2.8,0.054,0.6
Darren Daye,1573,3.8,0.117,1.1
Darryl Dawkins,972,2.1,0.104,-2.7
Darwin Cook,1063,1.6,0.071,-0.2
Dave Corzine,2062,2.9,0.067,-1.3
Dave Greenwood,1523,2.0,0.065,-2.5
David Pope,129,-0.2,-0.088,-11.4
David Thirdkill,183,0.1,0.244,-7.4
Dennis Johnson*,2976,6.4,0.103,0.3
Derek Harper,2218,5.4,0.116,2.1
Derek Smith,2762,8.0,0.139,1.4
Devin Durrant,756,-0.1,-0.008,-4.4
Doc Rivers,2126,6.3,0.143,3.7
Dominique Wilkins*,3023,7.6,0.121,2.2
Don Buse,939,1.3,0.064,0.0
Don Collins,91,0.0,0.025,0.7
Dudley Bradley,1232,2.4,0.093,1.5
Earl Cureton,1642,2.0,0.06,-2.2
Earl Jones,7,0.0,-0.307,-18.1
Ed Nealy,225,0.3,0.058,-2.4
Eddie Johnson,5396,9.5,0.167,-1.3
Eddie Lee Wilkins,917,0.8,0.043,-5.3
Edgar Jones,769,0.9,0.118,-6.5
Elston Turner,1491,2.3,0.075,-0.6
Ennis Whatley,1385,0.8,0.029,-1.7
Ernie Grunfeld,1061,2.4,0.111,1.1
Fat Lever,2559,5.2,0.098,2.2
Frank Brickowski,1115,1.0,0.042,-3.2
Frank Johnson,925,1.9,0.101,0.6
Franklin Edwards,198,0.6,0.134,2.3
Fred Roberts,1178,2.6,0.171,-3.0
Gary Plummer,702,-0.2,-0.012,-7.3
Gene Banks,2091,5.6,0.13,1.2
Geoff Huston,93,0.0,-0.002,-5.1
George Gervin*,2091,4.6,0.106,-0.3
George Johnson,1556,2.0,0.128,-4.5
Gerald Henderson,2648,3.7,0.067,-0.3
Granville Waiters,703,0.2,0.015,-3.8
Greg Ballard,2664,6.0,0.109,0.6
Greg Kelser,114,0.1,0.025,-3.3
Greg Kite,424,0.1,0.006,-7.5
Gus Williams,2960,5.1,0.083,2.1
Guy Williams,119,0.1,0.05,-1.3
Hakeem Olajuwon*,2914,10.2,0.168,2.1
Hank McDowell,132,0.2,0.069,-1.7
Harvey Catchings,1049,1.1,0.05,-3.7
Herb Williams,2557,2.2,0.041,0.0
Howard Carter,66,-0.4,-0.309,-15.5
Isiah Thomas*,3089,11.2,0.173,6.3
J.J. Anderson,457,0.2,0.025,-3.7
Jack Sikma*,2402,8.3,0.166,4.4
Jamaal Wilkes*,761,0.9,0.056,-3.7
James Bailey,1297,0.6,0.021,-5.8
James Donaldson,2392,5.0,0.101,-0.7
James Edwards,1787,3.7,0.099,-0.7
James Worthy*,2696,7.5,0.134,1.6
Jawann Oldham,993,1.0,0.05,-1.6
Jay Humphries,2062,1.9,0.044,-2.6
Jay Murphy,149,-0.5,-0.154,-12.4
Jay Vincent,2543,6.5,0.123,-0.2
Jeff Cook,1288,2.3,0.156,-4.9
Jeff Malone,2613,5.7,0.105,-0.9
Jeff Ruland,1436,3.3,0.111,1.4
Jeff Turner,1429,1.2,0.04,-4.8
Jeff Wilkins,1505,2.3,0.074,-2.7
Jerome Kersey,958,2.2,0.111,-0.7
Jerome Whitehead,2536,3.6,0.069,-3.5
Jerry Eaves,37,0.0,0.0,-6.0
Jerry Sichting,1808,3.5,0.094,-0.8
Jim Paxson,2253,6.5,0.138,1.5
Jim Petersen,714,0.3,0.023,-4.6
Jim Thomas,2059,3.5,0.081,-1.1
Joe Cooper,45,0.1,0.117,-4.3
Joe Kopicki,308,0.9,0.135,-1.5
Joe Meriweather,1061,1.8,0.083,-3.2
John Bagley,2401,4.6,0.092,1.7
John Drew,463,0.7,0.07,-3.1
John Long,1820,3.3,0.087,-1.1
John Lucas,1158,3.2,0.134,2.6
John Paxson,1259,2.3,0.088,-1.3
John Schweitz,110,-0.4,-0.191,-10.7
John Stockton*,1490,3.1,0.1,-0.1
Johnny Davis,1920,3.0,0.076,-0.7
Johnny Moore,2689,7.2,0.128,3.7
Jon Sundvold,1150,0.2,0.008,-4.5
Julius Erving*,2535,7.6,0.144,3.5
Junior Bridgeman,2042,3.1,0.074,-1.4
Kareem Abdul-Jabbar*,2630,11.2,0.204,5.1
Kelly Tripucka,1675,4.2,0.121,0.5
Kelvin Ransey,1689,3.4,0.096,0.3
Ken Bannister,1404,-0.8,-0.028,-7.1
Kenny Carr,1120,2.1,0.091,-2.4
Kenny Fields,535,0.7,0.06,-3.9
Kenny Natt,29,-0.1,-0.152,-11.4
Kent Benson,1401,3.3,0.113,0.2
Kenton Edelin,143,0.1,0.042,-4.2
Kevin Grevey,1182,2.1,0.086,-1.9
Kevin McHale*,2653,11.0,0.199,2.5
Kevin McKenna,535,0.9,0.082,-1.2
Kevin Williams,413,0.1,0.017,-3.8
Kevin Willis,1785,2.7,0.072,-3.8
Kiki Vandeweghe,2502,8.4,0.161,0.4
Kurt Nimphius,2010,3.3,0.079,-0.3
Kurt Rambis,1617,4.1,0.12,0.0
Kyle Macy,2018,4.6,0.11,0.3
LaSalle Thompson,2458,5.3,0.103,0.3
Lancaster Gordon,682,-0.8,-0.055,-6.1
Larry Bird*,3161,15.7,0.238,8.8
Larry Drew,2373,3.6,0.073,-0.1
Larry Micheaux,565,1.6,0.283,1.7
Larry Nance,2202,7.9,0.173,4.4
Larry Smith,2497,4.7,0.09,-1.6
Larry Spriggs,1292,2.6,0.095,-1.7
Leo Rautins,12,0.0,-0.126,-6.5
Leon Wood,269,-0.2,-0.029,-5.7
Lester Conner,2258,2.8,0.06,0.3
Lewis Lloyd,2128,4.7,0.105,0.6
Linton Townes,8,-0.1,-0.403,-29.9
Lionel Hollins,1950,2.5,0.062,-1.9
Lonnie Shelton,1244,0.9,0.036,-3.0
Lorenzo Romar,51,-0.1,-0.231,-18.6
Louis Orr,2452,4.8,0.093,0.3
M.L. Carr,397,0.4,0.05,-2.5
Magic Johnson*,2781,12.7,0.22,6.7
Major Jones,418,0.7,0.081,-2.8
Marc Iavaroni,1334,0.8,-0.003,-9.4
Mark Aguirre,2699,7.2,0.128,1.8
Mark Eaton,2813,5.4,0.093,1.2
Mark McNamara,273,0.3,0.145,-6.2
Mark Olberding,2277,4.1,0.085,-0.9
Mark West,888,1.1,-0.147,-27.0
Marques Johnson,2448,2.7,0.053,-1.4
Maurice Cheeks*,2616,9.0,0.165,3.7
Maurice Lucas,1670,2.5,0.072,-1.7
