Player,MP,WS,WS/48,BPM
Abdul Jeelani,1108,1.6,0.07,-1.2
Adrian Dantley*,3417,13.6,0.191,4.3
Alan Hardy,111,-0.2,-0.072,-6.3
Alex English*,3093,8.3,0.129,2.2
Allan Bristow,2001,2.7,0.065,-0.2
Allen Leavell,1686,1.9,0.055,-0.7
Alvan Adams,2054,7.7,0.18,5.1
Alvin Scott,1423,4.3,0.144,2.3
Andre McCarter,448,0.3,0.034,-2.6
Andrew Toney,1768,2.2,0.061,-3.0
Anthony Roberts,350,-0.2,-0.032,-6.2
Armond Hill,1738,1.0,0.039,-6.8
Art Collins,395,-0.4,-0.054,-5.8
Artis Gilmore*,2832,12.3,0.208,4.3
Austin Carr,657,-0.4,-0.237,-11.7
Ben Poquette,2808,5.4,0.092,-0.2
Bernard King*,2914,9.1,0.15,2.8
Bill Cartwright,2925,10.0,0.164,1.1
Bill Hanzlik,1259,2.4,0.091,-0.7
Bill Laimbeer,2460,5.4,0.104,0.0
Bill Mayfield,54,0.0,0.0,-4.6
Bill Robinzine,2016,2.3,0.002,-7.6
Bill Willoughby,1145,1.5,0.062,-1.6
Billy Knight,2385,8.4,0.17,2.2
Billy McKinney,2166,3.4,0.149,-2.9
Billy Paultz,1659,2.7,0.077,-0.9
Billy Ray Bates,1560,3.6,0.111,1.3
Billy Reid,597,-0.6,-0.05,-5.6
Bob Dandridge,545,0.5,0.044,-1.4
Bob Elliott,1320,1.6,0.057,-1.9
Bob Gross,1934,4.4,0.11,1.7
Bob Lanier*,1753,6.8,0.185,3.9
Bob McAdoo*,321,0.2,0.065,-2.7
Bob Wilkerson,2238,3.2,0.068,-0.7
Bobby Jones*,2046,9.2,0.217,4.7
Brad Davis,1686,4.2,0.119,0.5
Brad Holland,295,0.1,0.024,-4.6
Brett Vroman,93,0.1,0.048,-3.6
Brian Taylor,2312,7.1,0.146,2.3
Brian Winters,1771,3.5,0.095,-1.4
Butch Carter,672,0.9,0.067,-4.1
Caldwell Jones,2639,5.5,0.1,-0.6
Calvin Garrett,1638,1.4,0.04,-2.3
Calvin Murphy*,2014,5.4,0.128,0.8
Calvin Natt,2111,4.2,0.095,-0.8
Campy Russell,2865,4.3,0.071,-1.6
Carl Nicks,1109,-0.1,-0.022,-8.3
Carlos Terry,504,0.8,0.074,1.4
Cedric Maxwell,2730,11.0,0.193,3.5
Cedrick Hordges,1599,1.5,0.044,-3.3
Chad Kinch,353,-0.6,-0.166,-10.4
Charlie Criss,1708,2.5,0.07,-1.2
Chris Ford,2723,3.7,0.066,-0.9
Clarence Kea,199,0.5,0.12,-3.4
Clemon Johnson,1643,3.7,0.108,1.0
Cliff Robinson,1822,2.5,0.065,-0.9
Clifford Ray,838,-0.3,-0.018,-5.6
Clint Richardson,1313,2.4,0.087,-1.1
Coby Dietrick,1243,2.1,0.08,0.2
Craig Shelton,586,0.0,-0.002,-6.5
Dan Issel*,2641,10.5,0.19,2.7
Dan Roundfield,2128,7.0,0.159,3.1
Darrell Allums,276,-0.3,-0.054,-5.6
Darrell Griffith,2867,0.4,0.006,-3.2
Darryl Dawkins,2088,6.3,0.145,0.1
Darwin Cook,1980,2.7,0.065,0.9
Dave Britton,9,0.0,0.093,-4.0
Dave Corzine,1960,5.1,0.125,-0.4
Dave Greenwood,2710,7.1,0.126,1.2
Dave Robisch,2116,4.2,0.172,-0.5
David Thompson*,2620,6.4,0.117,0.9
DeWayne Scales,484,0.3,0.028,-5.6
Dennis Awtrey,607,0.6,0.047,-2.5
Dennis Johnson*,2615,8.4,0.154,1.8
Dick Miller,53,-0.2,-0.227,-8.9
Don Buse,1095,2.0,0.089,0.5
Don Collins,1845,2.6,0.134,-0.8
Don Ford,996,0.6,0.028,-2.8
Doug Collins,329,0.7,0.105,-0.9
Dudley Bradley,1867,3.9,0.1,1.6
Dwight Jones,1574,2.9,0.089,-1.5
Earl Cureton,528,1.2,0.109,-1.5
Eddie Johnson,2693,6.9,0.122,1.6
Eddie Jordan,1226,0.6,0.079,-3.4
Edgar Jones,950,2.3,0.116,-0.3
Edmund Lawrence,19,0.1,0.201,-3.7
Elvin Hayes*,2931,5.1,0.083,-1.1
Eric Fernsten,279,0.5,0.079,-2.4
Ernie Grunfeld,1584,3.5,0.106,0.1
Foots Walker,1172,1.5,0.06,-2.1
Frankie Sanders,186,0.1,0.035,-2.4
Fred Brown,1986,5.2,0.127,2.0
Freeman Williams,1976,4.0,0.096,1.2
Gar Heard,1631,2.0,0.059,-0.2
Geoff Crompton,33,0.0,-0.029,-4.4
Geoff Huston,2434,1.7,0.099,-3.7
George Gervin*,2765,10.5,0.182,2.9
George Johnson,2865,6.7,0.224,2.0
George McGinnis*,1845,1.7,0.045,-1.4
Gerald Henderson,1608,1.3,0.037,-2.6
Glen Gondrezick,1077,3.1,0.136,1.7
Greg Ballard,2610,6.9,0.127,2.2
Greg Kelser,654,0.0,-0.002,-3.0
Gus Gerard,252,0.3,0.116,-7.5
Harvey Catchings,1635,3.1,0.092,-0.1
Hawkeye Whitney,782,1.5,0.091,-0.7
Henry Bibby,1112,1.0,0.043,-1.9
Jack Sikma*,2920,8.0,0.132,1.4
Jacky Dorsey,253,-0.1,-0.01,-6.5
Jamaal Wilkes*,3028,8.5,0.135,0.5
James Bailey,2539,4.9,0.094,-1.1
James Donaldson,980,2.5,0.124,0.8
James Edwards,2375,7.0,0.141,1.3
James Hardy,509,0.7,0.064,-0.4
James Ray,148,-0.2,-0.07,-6.1
James Silas,2055,7.0,0.164,1.0
James Wilkes,540,0.8,0.072,-2.0
Jan van Breda Kolff,1426,0.6,0.019,-3.1
Jawann Oldham,21,0.0,-0.094,-5.0
Jeff Cook,2192,4.5,0.098,-0.3
Jeff Judkins,666,0.7,0.052,-3.1
Jeff Wilkins,1058,0.5,0.024,-4.0
Jerome Whitehead,688,0.1,0.073,-15.7
Jerry Sichting,450,0.3,0.032,-2.7
Jim Brewer,1107,2.2,0.097,-0.5
Jim Chones,2562,4.7,0.088,-2.1
Jim McElroy,680,-0.9,-0.062,-5.8
Jim Paxson,2701,7.7,0.136,1.4
Jim Spanarkel,2317,5.5,0.115,1.2
Jo Jo White*,236,0.1,0.021,-3.0
Joe Barry Carroll,2919,5.7,0.094,-1.3
Joe Bryant,2359,3.4,0.069,-1.7
Joe Hassett,714,1.4,0.163,-0.4
Joe Meriweather,1514,2.6,0.083,-2.4
Joel Kramer,1065,2.9,0.129,-0.1
John Drew,2075,5.4,0.124,-0.3
John Duren,458,-0.9,-0.099,-7.5
John Johnson,2324,1.2,0.025,-2.4
John Lambert,483,0.4,0.144,-8.8
John Long,1750,2.4,0.065,-0.7
John Lucas,1919,1.3,0.032,-1.7
John Mengelt,11,-0.1,-0.247,-5.0
John Roche,611,0.8,0.06,-1.4
John Shumate,527,0.4,-0.259,-8.2
John Stroud,88,-0.1,-0.036,-4.6
John Williamson,112,-0.3,-0.117,-5.7
Johnny Davis,2536,5.7,0.107,-0.3
Johnny High,1750,2.5,0.069,-1.5
Johnny Moore,1578,3.2,0.099,1.2
Julius Erving*,2874,13.8,0.231,7.5
Junior Bridgeman,2215,6.7,0.146,1.1
Kareem Abdul-Jabbar*,2976,14.3,0.23,6.1
Keith Herron,2270,3.5,0.074,-1.3
Keith McCord,9,0.0,-0.136,-4.6
Kelvin Ransey,2431,2.8,0.056,-1.9
Kenny Carr,2615,5.8,0.107,0.0
Kenny Higgs,1689,1.5,0.043,-2.4
Kenny Natt,149,-0.2,-0.075,-6.9
Kent Benson,1956,3.1,0.075,0.1
Kermit Washington,2120,6.8,0.153,1.7
Kevin Grevey,2616,5.8,0.107,0.6
Kevin Kunnert,842,1.9,0.106,-1.4
Kevin McHale*,1645,4.7,0.137,0.1
Kevin Porter,2577,6.4,0.119,1.7
Kevin Restani,999,2.1,0.1,-1.3
Kiki Vandeweghe,1376,1.2,0.04,-2.7
Kim Hughes,490,-0.1,0.019,-5.4
Kyle Macy,1469,4.5,0.148,0.8
Larry Bird*,3239,10.8,0.16,4.3
Larry Demic,964,1.6,0.081,-4.0
Larry Drew,1581,0.0,-0.001,-3.7
Larry Kenon,2161,4.1,0.092,-1.1
Larry Smith,2578,6.1,0.113,-0.5
Larry Wright,997,1.2,0.06,-2.1
Lee Johnson,90,-0.2,-0.223,-11.5
Len Elmore,925,1.6,0.083,-1.4
Leon Douglas,1356,3.2,0.112,-2.5
Lewis Brown,5,-0.1,-0.667,-5.7
Lionel Hollins,2154,2.9,0.064,-1.6
Lloyd Walton,821,0.1,0.005,-3.0
Lonnie Shelton,440,0.1,0.016,-3.0
Lorenzo Romar,726,0.5,0.03,-2.7
Louis Orr,1787,4.3,0.116,0.0
Lowes Moore,1406,1.1,0.037,-2.1
M.L. Carr,655,1.1,0.082,-0.4
Mack Calvin,128,0.0,-0.01,-4.1
Magic Johnson*,1371,6.4,0.225,8.8
Major Jones,1003,1.2,0.06,-2.9
Mark Landsberger,1086,2.2,0.099,-4.0
Mark Olberding,2408,6.6,0.132,0.1
Marques Johnson,2542,11.2,0.211,5.6
Marty Byrnes,1360,2.3,0.081,-0.6
Marvin Webster,1708,2.7,0.076,-1.4
Maurice Cheeks*,2415,8.5,0.169,4.0
Maurice Lucas,2162,3.5,0.078,-0.9
Mel Bennett,313,0.3,0.045,-5.0
Michael Brooks,2479,4.9,0.095,0.0
Michael Cooper,2625,5.0,0.092,0.9
Michael Wiley,271,0.8,0.144,-0.8
Micheal Ray Richardson,3175,6.9,0.104,3.2
Mickey Johnson,2118,5.3,0.121,1.4
Mike Bantom,2375,4.4,0.088,-0.1
Mike Bratz,2595,2.1,0.038,-1.2
Mike Dunleavy,1609,3.0,0.091,-0.9
Mike Evans,911,1.6,0.082,-1.8
Mike Gale,1112,2.4,0.209,1.5
Mike Glenn,1506,4.4,0.139,0.9
Mike Gminski,1579,1.5,0.045,-1.8
Mike Harper,461,0.1,0.006,-4.4
Mike Mitchell,3194,6.0,0.091,-0.3
Mike Newlin,2911,6.1,0.1,-0.8
Mike Niles,231,-0.3,-0.062,-8.8
Mike O'Koren,2473,3.8,0.075,-0.4
Mike Woodson,949,0.9,0.044,-2.4
Mitch Kupchak,1934,5.2,0.13,-0.3
Monti Davis,10,-0.1,-0.048,-9.7
Moses Malone*,3245,13.7,0.202,3.3
Mychal Thompson,2790,5.3,0.092,0.9
Myles Patrick,9,0.0,-0.036,-5.0
Norm Nixon,2962,5.5,0.089,-0.6
Norman Black,28,-0.1,-0.133,-5.0
Ollie Johnson,372,1.3,0.161,1.0
Ollie Mack,1682,1.7,-0.045,-6.1
Otis Birdsong,2593,8.2,0.152,2.4
Pat Cummings,1084,2.7,0.121,-2.0
Paul Griffin,1930,4.9,0.122,1.8
Paul Mokeski,1815,1.7,0.046,-2.6
Paul Westphal*,1078,2.4,0.106,0.8
Phil Chenier,82,0.0,-0.016,-5.2
Phil Ford,2287,5.2,0.11,0.5
Phil Hubbard,2289,4.5,0.094,-1.4
Phil Smith,2378,4.8,0.097,-0.2
Purvis Short,2309,5.4,0.111,0.6
Quinn Buckner,2384,5.4,0.108,0.8
Ralph Drollinger,67,-0.2,-0.117,-4.1
Randy Smith,2199,3.3,0.073,0.5
Ray Williams,2742,7.2,0.127,3.0
Reggie Carter,536,0.1,0.01,-3.7
Reggie Johnson,1716,3.0,0.085,-3.2
Reggie King,2743,8.3,0.145,0.6
Reggie Theus,2820,9.2,0.156,1.8
Rich Kelley,1686,4.3,0.121,2.3
Richard Washington,1812,2.1,0.078,-5.7
Rick Mahorn,696,1.8,0.123,-0.6
Rick Robey,1569,3.7,0.114,-0.3
Rickey Brown,580,0.9,0.075,-2.9
Rickey Green,1307,1.8,0.065,-1.2
Ricky Sobers,1803,3.8,0.101,-0.6
Robert Parish*,2298,10.9,0.228,5.4
Robert Reid,2963,7.2,0.116,2.1
Robert Smith,20,0.0,0.019,-4.6
Roger Phegley,2269,3.7,0.078,-1.6
Ron Boone,1146,-0.6,-0.025,-5.2
Ron Brewer,1452,1.4,0.069,-5.0
Ron Davis,817,0.6,0.035,-3.2
Ron Lee,1829,1.4,0.037,-0.8
Ronnie Lester,83,0.0,0.008,-4.1
Ronnie Valentine,123,-0.3,-0.128,-7.2
Rory Sparrow,212,-0.1,-0.023,-3.0
Roy Hamilton,5,0.0,-0.127,-4.8
Rudy Tomjanovich*,1264,2.1,0.079,-2.0
Rudy White,208,0.0,0.07,-7.9
Sam Lacey,2228,4.0,0.086,2.6
Sam Pellom,1472,2.2,0.07,-1.4
Sam Worthen,945,0.7,0.035,-1.9
Scott Lloyd,2186,1.0,0.021,-3.7
Scott May,815,2.2,0.127,0.3
Scott Wedman,2902,4.7,0.077,-1.1
Sidney Moncrief*,2417,9.9,0.196,3.8
Sidney Wicks,1083,0.4,0.016,-2.6
Sly Williams,1976,5.1,0.124,1.7
Sonny Parker,1317,2.3,0.084,0.6
Stan Pietkiewicz,461,0.6,-0.142,-5.0
Steve Hawes,2309,5.7,0.119,0.4
Steve Mix,1327,5.5,0.201,3.0
Swen Nater,2809,8.6,0.147,0.7
T.R. Dunn,1427,1.6,0.052,-1.0
Terry Duerod,451,0.1,0.062,-5.2
Terry Tyler,2549,6.4,0.121,2.3
Tiny Archibald*,2820,6.9,0.118,-0.1
Tom Abernethy,298,0.4,0.068,-6.8
Tom Burleson,363,0.2,0.021,-4.9
Tom Henderson,1411,1.5,0.052,-1.8
Tom LaGarde,2670,2.7,0.048,-1.9
Tom McMillen,1564,2.2,0.066,-2.1
Tom Owens,1843,4.8,0.125,-0.8
Tony Fuller,248,-0.1,-0.021,-4.0
Tony Jackson,14,0.0,0.124,-3.6
Tony Price,29,-0.1,-0.089,-4.3
Tree Rollins,1044,2.6,0.12,1.7
Truck Robinson,3088,7.6,0.119,-0.7
Vinnie Johnson,2311,5.9,0.122,1.9
Wally Rank,153,-0.4,-0.14,-7.5
Wally Walker,1796,2.1,0.055,-2.1
Walter Davis,2182,7.1,0.157,1.9
Walter Jordan,207,-0.1,-0.021,-4.6
Wayne Cooper,1420,1.5,0.051,-4.5
Wayne Kreklow,100,-0.3,-0.167,-8.8
Wayne Robinson,1592,1.7,0.052,-2.7
Wes Matthews,2266,2.6,0.11,-2.3
Wes Unseld*,2032,5.5,0.13,1.7
Winford Boynes,757,-1.4,-0.091,-7.3
World B. Free,2370,7.4,0.15,1.5
