Player,MP,WS,WS/48,BPM
A.C. Green,2636,7.9,0.144,0.3
Adrian Branch,308,-0.1,-0.021,-4.3
Adrian Dantley*,2144,9.4,0.21,3.5
Albert King,1593,-0.1,-0.004,-5.4
Alex English*,2818,7.6,0.129,2.0
Allen Leavell,2150,5.1,0.115,0.8
Alton Lister,1812,4.1,0.11,-1.5
Alvan Adams,1646,2.2,0.064,-0.5
Alvin Robertson,2978,5.8,0.094,2.9
Andre Moore,50,0.0,-0.032,-11.6
Andre Turner,99,0.0,0.001,-1.9
Andrew Toney,522,0.5,0.05,-1.7
Antoine Carr,1483,3.8,0.122,0.3
Armen Gilliam,1807,1.3,0.035,-3.4
Artis Gilmore*,893,0.9,0.086,-10.8
Bart Kofoed,225,-0.1,-0.026,-7.9
Ben Coleman,1498,1.8,0.112,-6.3
Ben McDonald,2039,1.3,0.031,-4.2
Benoit Benjamin,2171,2.0,0.045,-0.1
Bernard King*,2044,2.8,0.066,-1.3
Bernard Thompson,566,0.9,0.074,-1.6
Bill Cartwright,1676,6.4,0.183,2.0
Bill Hanzlik,1334,1.3,0.046,-2.8
Bill Laimbeer,2897,8.8,0.146,2.2
Bill Martin,101,-0.2,-0.117,-8.9
Bill Wennington,125,0.4,0.146,-2.1
Billy Donovan,364,-0.1,-0.009,-3.7
Billy Thompson,38,-0.1,-0.135,-16.2
Blair Rasmussen,1779,4.2,0.114,-1.8
Bob Hansen,1796,4.4,0.118,-0.7
Bob Thornton,593,0.4,-0.019,-15.1
Brad Daugherty,2957,6.6,0.107,0.5
Brad Davis,1480,4.0,0.13,0.8
Brad Lohaus,718,0.9,0.063,-2.7
Brad Sellers,2212,3.3,0.071,-2.0
Brad Wright,7,-0.1,-0.677,-36.5
Brian Rowsom,16,0.0,-0.008,-8.4
Buck Johnson,879,2.1,0.116,-0.8
Buck Williams,2637,7.6,0.138,0.2
Byron Scott,3048,10.7,0.168,3.4
Caldwell Jones,1778,2.7,0.073,-1.7
Calvin Natt,533,1.1,0.102,-0.9
Carey Scurry,455,0.9,0.106,9.0
Cedric Maxwell,848,2.0,0.112,-0.3
Charles Barkley*,3170,16.7,0.253,7.4
