Player,MP,WS,WS/48,BPM
Jeff Lamp,690,0.7,0.046,-3.2
Jeff Ruland,2862,10.1,0.169,2.8
Jeff Taylor,774,-0.2,-0.011,-3.1
Jeff Wilkins,2307,2.4,0.049,-3.6
Jerome Whitehead,905,2.1,0.11,-1.9
Jerry Eaves,1588,2.0,0.061,-2.7
Jerry Sichting,2435,2.7,0.053,-2.5
Jim Brogan,466,0.4,0.043,-1.6
Jim Johnstone,191,-0.1,-0.066,-9.4
Jim Paxson,2740,10.2,0.178,3.0
Jim Smith,18,0.1,0.189,-4.0
Jim Spanarkel,722,1.0,0.064,-1.5
Jim Zoet,30,-0.1,-0.123,-5.4
Joe Barry Carroll,2988,7.0,0.113,1.5
Joe Bryant,2055,0.0,-0.001,-3.5
Joe Cooper,333,0.1,-0.263,-12.0
Joe Hassett,139,0.0,-0.008,-3.8
Joe Kopicki,201,0.7,0.177,0.2
Joe Meriweather,1706,3.8,0.108,-0.7
Joel Kramer,458,0.8,0.085,-1.6
John Bagley,990,-0.2,-0.011,-2.7
John Douglas,12,0.0,0.013,-4.5
John Drew,1206,3.0,0.119,-0.3
John Duren,1433,0.4,0.013,-4.3
John Greig,26,0.1,0.182,-3.8
John Long,1485,0.2,0.005,-4.7
John Lucas,386,0.4,0.055,0.8
Johnny Davis,1465,3.5,0.113,0.9
Johnny High,1155,1.2,0.051,-0.7
Johnny Moore,2552,6.6,0.123,3.0
Jose Slaughter,515,-0.1,-0.007,-4.2
Julius Erving*,2421,10.9,0.217,6.5
Junior Bridgeman,1855,4.8,0.125,0.1
Kareem Abdul-Jabbar*,2554,10.9,0.205,4.5
Keith Edmonson,309,-0.3,-0.051,-5.9
Kelly Tripucka,2252,7.1,0.151,1.9
Kelvin Ransey,1607,2.2,0.066,-1.0
Kenny Carr,2331,5.1,0.106,-1.5
Kenny Dennard,224,0.3,0.069,-1.3
Kenny Natt,210,0.1,0.013,-4.9
Kent Benson,599,1.1,0.092,-0.6
Kevin Grevey,756,1.0,0.064,-2.4
Kevin Loder,818,0.9,0.051,-2.0
Kevin McHale*,2345,7.5,0.154,1.6
Kevin Porter,210,0.2,0.055,-2.7
Kiki Vandeweghe,2909,11.0,0.182,2.4
Kurt Nimphius,1515,2.9,0.093,-0.7
Kurt Rambis,1806,4.3,0.116,0.2
Kyle Macy,1836,6.4,0.168,1.9
LaSalle Thompson,987,2.3,0.11,-1.1
Larry Bird*,2982,14.0,0.225,7.5
Larry Drew,2690,7.2,0.128,1.6
Larry Kenon,770,0.8,-0.002,-9.6
Larry Nance,2914,10.5,0.172,3.5
Larry Smith,1433,3.1,0.102,-1.8
Larry Spriggs,39,0.1,0.069,-3.4
Len Elmore,975,0.9,0.045,-2.6
Leon Douglas,46,0.0,0.036,-4.3
Lester Conner,1416,2.7,0.092,1.5
Lewis Lloyd,1350,2.6,0.092,1.3
Linton Townes,516,0.7,0.064,-2.8
Lionel Hollins,1844,0.6,0.016,-2.3
Lonnie Shelton,2572,4.8,0.09,-0.5
Lorenzo Romar,2130,2.6,0.058,-1.3
Louis Orr,1666,3.8,0.111,0.4
Lowes Moore,642,0.2,0.017,-4.3
M.L. Carr,883,0.8,0.046,-2.9
Magic Johnson*,2907,12.5,0.207,7.2
Major Jones,878,0.1,0.004,-4.4
Marc Iavaroni,1612,1.5,0.045,-3.1
Mark Aguirre,2784,6.9,0.118,1.7
Mark Eaton,1528,0.8,0.026,-0.5
Mark Landsberger,356,0.4,0.061,-4.8
Mark McNamara,182,-0.2,-0.056,-8.4
Mark Olberding,1817,2.3,0.06,-2.7
Mark Radford,439,0.0,-0.001,-2.4
Marques Johnson,2853,10.7,0.18,4.5
Marty Byrnes,1436,1.0,0.034,-2.9
Marvin Webster,1472,4.0,0.13,0.6
Maurice Cheeks*,2465,9.4,0.183,4.7
Maurice Lucas,2586,7.1,0.132,-0.3
Michael Brooks,2457,4.7,0.091,0.4
Michael Cooper,2148,5.2,0.116,1.9
Micheal Ray Richardson,2076,2.0,0.098,0.9
Mickey Johnson,2053,4.1,0.233,-3.5
Mike Bratz,140,-0.1,-0.031,-4.6
Mike Davis,28,0.1,0.235,-3.0
Mike Dunleavy,1619,3.1,0.093,-0.3
Mike Evans,695,-0.2,-0.01,-5.3
Mike Glenn,1124,2.9,0.126,0.0
Mike Gminski,1255,4.3,0.166,2.1
Mike McGee,381,0.2,0.023,-5.1
Mike Mitchell,2803,7.6,0.131,-0.7
Mike O'Koren,803,2.0,0.118,1.3
Mike Sanders,393,0.8,0.093,-1.8
Mike Woodson,2426,7.8,0.153,3.4
Moses Malone*,2922,15.1,0.248,3.7
Mychal Thompson,3017,5.4,0.086,1.5
Norm Nixon,2711,3.9,0.069,-1.9
Oliver Robinson,147,0.1,0.018,-5.0
Orlando Woolridge,1627,3.6,0.107,0.4
Otis Birdsong,1885,5.2,0.132,1.0
Pat Cummings,2317,4.0,0.084,-1.7
Paul Griffin,956,1.4,0.068,-0.6
Paul Mokeski,1128,1.4,0.12,-7.3
Paul Pressey,1528,2.0,0.062,0.8
Paul Westphal*,1978,3.7,0.091,0.4
Pete Verhoeven,527,0.8,0.069,-2.7
Phil Ford,1610,2.4,0.129,-5.5
Phil Hubbard,1953,3.4,0.084,-1.3
Phil Smith,1238,1.7,0.065,-1.7
Purvis Short,2397,5.2,0.103,0.1
Quinn Buckner,1565,1.6,0.048,-1.4
Quintin Dailey,2081,2.1,0.049,-2.1
Randy Smith,1406,2.5,0.137,-4.8
Ray Tolbert,1107,1.1,0.083,-5.9
Ray Williams,2170,0.9,0.021,-1.1
Reggie Johnson,1541,2.4,0.137,-5.6
Reggie King,995,1.6,0.077,-1.0
Reggie Theus,2856,6.5,0.11,1.4
Rich Kelley,1345,2.4,0.163,-3.1
Richard Anderson,1274,0.5,0.017,-2.6
Rick Mahorn,3023,6.2,0.099,-0.4
Rick Robey,855,0.9,0.049,-3.5
Rickey Brown,1048,0.7,0.093,-9.8
Rickey Green,2783,6.6,0.114,2.0
Rickey Williams,346,-0.1,-0.017,-4.5
Ricky Pierce,265,-0.1,-0.02,-5.9
Ricky Sobers,1438,2.4,0.08,-0.7
Rob Williams,1443,-0.1,-0.004,-4.1
