Player,MP,WS,WS/48,BPM
Aaron James,1059,2.1,0.095,-1.7
Adrian Dantley*,2816,9.8,0.167,1.6
Al Eberhard,1219,1.8,0.069,-2.7
Al Skinner,2256,3.3,0.069,-0.1
Alex English*,648,1.2,0.09,-1.7
Allan Bristow,2017,4.3,0.101,-0.4
Allen Murphy,18,-0.1,-0.229,-5.7
Alvan Adams,2278,6.3,0.134,3.6
Andre McCarter,725,0.8,0.055,-2.5
Andy Walker,438,0.7,0.081,-1.1
Armond Hill,1825,0.8,0.022,-2.8
Artis Gilmore*,2877,12.2,0.203,4.2
Austin Carr,2409,5.3,0.105,-0.4
Bill Bradley*,1027,0.8,0.038,-2.4
Bill Robinzine,1594,3.4,0.104,-1.6
Bill Walton*,2264,10.2,0.215,6.7
Bill Willoughby,549,0.9,0.081,-1.3
Billy Knight,3117,10.7,0.164,2.7
Billy Paultz,2694,5.3,0.095,0.1
Bingo Smith,2135,4.2,0.095,-0.3
Bird Averitt,1136,-1.1,-0.046,-6.3
Bo Lamar,1165,0.5,0.021,-2.7
Bob Bigelow,162,0.4,0.117,-2.0
Bob Dandridge,2501,5.4,0.104,0.8
Bob Gross,2232,7.4,0.159,3.0
Bob Lanier*,2446,10.3,0.203,5.4
Bob Love,1174,1.0,0.157,-11.5
Bob McAdoo*,2798,9.6,0.291,5.2
Bob Weiss,768,1.4,0.089,0.9
Bob Wilkerson,1552,0.9,0.028,-2.2
Bobby Jones*,2419,11.0,0.219,7.0
Bobby Wilson,131,-0.1,-0.055,-6.0
Brian Taylor,2488,7.9,0.152,3.0
Brian Winters,2717,6.0,0.106,0.7
Bruce Seals,1977,2.4,0.059,-2.7
Bubbles Hawkins,1481,1.9,0.063,0.5
Bud Stallworth,526,0.4,0.04,-2.9
Butch Beard,1082,2.0,0.088,0.1
Butch Feher,487,1.5,0.145,0.6
Byron Beck,480,0.8,0.078,-3.1
C.J. Kupec,908,1.5,0.079,-3.2
Caldwell Jones,2023,4.4,0.103,0.4
Calvin Murphy*,2764,7.7,0.134,1.1
Campy Russell,2109,5.5,0.126,1.1
Cazzie Russell,2583,6.6,0.123,-0.1
Charles Dudley,1682,4.0,0.115,1.2
Charles Johnson,1196,1.4,0.056,-2.1
Charlie Scott*,1581,2.5,0.075,-0.4
Chris Ford,2539,4.7,0.09,1.2
Chuck Terry,1075,0.7,0.029,-3.1
Chuck Williams,867,0.7,0.073,-5.2
Chuckie Williams,65,-0.2,-0.137,-6.5
Claude Terry,545,0.9,0.184,-2.2
