Player,MP,WS,WS/48,BPM
Adrian Dantley*,3222,12.6,0.187,4.1
Al Wood,930,0.8,0.067,-6.3
Alan Hardy,310,0.2,0.028,-3.7
Albert King,1694,2.4,0.067,-1.7
Alex Bradley,331,0.4,0.053,-2.6
Alex English*,3015,9.5,0.152,3.8
Allan Bristow,2035,2.5,0.059,-0.5
Allen Leavell,2150,4.8,0.107,2.1
Alton Lister,1186,1.7,0.071,-1.6
Alvan Adams,2393,7.2,0.144,3.6
Alvin Scott,1740,3.8,0.106,0.7
Andrew Toney,1909,4.0,0.1,-0.7
Armond Hill,723,-0.4,0.005,-9.5
Artis Gilmore*,2796,12.1,0.208,4.3
Ben Poquette,1698,3.4,0.096,-0.7
Bernard King*,2861,8.7,0.147,2.2
Bill Cartwright,2060,5.0,0.116,0.0
Bill Hanzlik,1974,4.1,0.1,-0.6
Bill Laimbeer,1829,4.7,0.243,-2.0
Bill Robinzine,651,-0.2,-0.013,-6.0
Bill Willoughby,1475,2.6,0.086,-0.4
Billy Knight,1803,4.3,0.115,0.6
Billy McKinney,1963,3.3,0.081,-1.1
Billy Paultz,807,0.1,0.007,-4.5
Billy Ray Bates,1229,2.4,0.094,-0.5
Bob Dandridge,174,0.0,0.003,-4.8
Bob Gross,1377,3.1,0.108,1.8
Bob Lanier*,1986,6.6,0.16,2.9
Bob McAdoo*,746,1.5,0.095,-2.7
Bob Wilkerson,1805,0.7,0.018,-1.5
Bobby Cattage,337,0.2,0.028,-6.2
Bobby Jones*,2181,8.2,0.181,4.1
Brad Branson,176,-0.1,-0.016,-3.9
Brad Davis,2614,5.4,0.1,-0.2
Brad Holland,194,-0.1,-0.644,-8.7
Brian Taylor,1274,2.3,0.085,-0.2
Brian Winters,1829,5.5,0.144,1.0
Buck Williams,2825,8.9,0.152,0.7
Butch Carter,1035,1.3,0.059,-2.6
Caldwell Jones,2446,5.2,0.102,-1.1
Calvin Garrett,858,0.6,0.035,-3.0
Calvin Murphy*,1204,1.3,0.051,-3.4
Calvin Natt,2599,9.3,0.171,2.3
Campy Russell,2358,3.2,0.066,-1.2
Carl Bailey,7,0.0,-0.268,-5.1
Carl Nicks,1322,-0.3,-0.01,-5.0
Carlos Terry,60,-0.1,-0.048,-4.7
Cedric Maxwell,2590,9.1,0.169,2.2
Cedrick Hordges,1372,0.7,0.026,-5.0
Charles Bradley,339,0.2,0.03,-4.5
Charles Davis,575,0.9,0.072,-2.6
Charlie Criss,1392,2.1,0.15,-2.3
Chris Ford,1591,2.1,0.063,-2.0
Clarence Kea,248,0.5,0.097,-3.6
Clay Johnson,65,0.1,0.072,-2.6
Clemon Johnson,1979,4.0,0.098,-0.1
Cliff Robinson,2175,3.5,0.154,0.2
Clint Richardson,1040,1.0,0.048,-2.8
Coby Dietrick,999,1.7,0.08,0.7
Craig Dykema,103,0.2,0.095,-3.4
Craig Shelton,21,0.0,0.034,-4.4
Dan Issel*,2472,9.8,0.19,2.2
Dan Roundfield,2217,6.5,0.141,2.3
Danny Ainge,564,0.5,0.042,-2.7
Danny Schayes,1623,1.7,0.05,-2.3
Danny Vranes,1075,2.4,0.106,-1.6
Darnell Valentine,1387,1.7,0.059,-1.6
Darrell Griffith,2597,2.1,0.038,-1.9
Darryl Dawkins,1124,2.9,0.122,-1.6
Darwin Cook,2090,3.9,0.089,0.7
Dave Corzine,2189,5.2,0.113,0.1
Dave Greenwood,2914,6.5,0.107,0.6
Dave Robisch,257,0.7,0.139,0.0
David Burns,87,-0.2,-0.15,-10.0
David Thompson*,1246,2.0,0.079,-1.8
DeWayne Scales,24,-0.1,-0.116,-4.9
Dennis Awtrey,121,0.0,-0.013,-5.1
Dennis Johnson*,2937,8.1,0.132,1.3
Don Buse,2529,7.1,0.135,2.6
Don Collins,1609,3.4,0.101,1.3
Don Ford,201,-0.1,-0.035,-4.8
Dudley Bradley,937,1.4,0.071,-1.1
Dwight Jones,2040,3.6,0.086,-1.2
Earl Cureton,956,2.1,0.103,-2.6
Ed Rains,637,0.6,0.043,-3.8
Eddie Johnson,3831,6.6,0.156,-1.2
Eddie Jordan,608,0.7,0.055,-1.5
Edgar Jones,802,2.4,0.143,1.6
Elston Turner,1996,1.4,0.033,-2.3
Elvin Hayes*,3032,5.1,0.081,-1.4
Eric Fernsten,202,0.2,0.047,-3.2
Ernie Grunfeld,1892,4.3,0.11,1.7
Foots Walker,1861,4.2,0.108,0.4
Frank Johnson,2027,2.1,0.049,-1.8
Franklin Edwards,291,0.2,0.041,-2.7
Fred Brown,1785,3.9,0.104,0.1
Freeman Williams,997,0.4,0.01,-7.4
Garry Witts,493,1.1,0.104,-1.0
Gene Banks,1700,3.5,0.099,-0.7
Geoff Crompton,203,0.0,-0.011,-4.3
Geoff Huston,2409,3.0,0.06,-0.9
George Gervin*,2817,10.7,0.182,3.9
George Johnson,2298,3.1,0.116,-3.7
George McGinnis*,1341,0.4,0.015,-0.6
Gerald Henderson,1844,3.6,0.094,-0.6
Glen Gondrezick,1699,3.6,0.102,0.4
Glenn Hagan,25,0.1,0.201,-2.7
Greg Ballard,2946,9.4,0.154,3.2
Greg Kelser,741,0.8,0.061,-8.1
Gus Williams,2876,10.2,0.171,5.1
Hank McDowell,335,0.4,0.062,-2.9
Harvey Catchings,1603,2.3,0.07,-0.4
Hawkeye Whitney,266,-0.1,-0.025,-4.3
Herb Williams,2277,4.6,0.097,0.8
Hollis Copeland,118,0.1,0.029,-4.0
Howard Wood,342,0.3,0.049,-3.6
Isiah Thomas*,2433,2.3,0.046,-0.8
Jack Sikma*,3049,12.6,0.199,3.9
Jackie Robinson,29,0.0,0.037,-4.3
Jamaal Wilkes*,2906,7.7,0.127,-0.8
James Bailey,1468,2.9,0.12,-6.3
James Donaldson,1710,5.6,0.156,1.2
James Edwards,2539,4.3,0.08,-1.2
James Hardy,1814,2.5,0.066,-0.7
James Ray,262,-0.3,-0.051,-5.7
James Silas,1447,2.4,0.078,-0.7
James Wilkes,862,1.1,0.061,-1.6
Jan van Breda Kolff,452,1.1,0.119,-0.7
Jawann Oldham,124,0.0,0.008,-5.3
Jay Vincent,2626,5.6,0.102,0.5
Jeff Cook,1298,2.0,0.073,-2.5
Jeff Judkins,251,0.2,0.031,-3.8
Jeff Lamp,617,0.6,0.048,-4.3
Jeff Ruland,2214,7.8,0.17,1.3
Jeff Wilkins,2274,1.0,0.021,-4.0
Jerome Whitehead,2214,5.3,0.114,-0.6
Jerry Sichting,800,1.1,0.064,-2.1
Jim Brewer,966,1.8,0.088,-0.8
Jim Brogan,1027,0.8,0.035,-1.0
Jim Chones,867,1.4,0.076,-0.9
Jim McElroy,349,0.3,0.036,-3.6
Jim Paxson,2756,7.5,0.13,1.5
Jim Smith,858,0.6,0.034,-3.1
Jim Spanarkel,1755,5.2,0.142,2.2
Joe Barry Carroll,2627,5.5,0.1,-0.8
Joe Bryant,1988,1.5,0.036,-2.0
Joe Cooper,11,0.0,-0.026,-4.8
Joe Hassett,787,1.6,0.098,0.1
Joe Meriweather,380,0.8,0.097,-1.2
Joel Kramer,549,1.0,0.092,-0.8
John Douglas,1031,0.5,0.022,-2.5
John Drew,2040,5.5,0.13,0.3
John Duren,1056,-0.3,-0.013,-5.8
John Johnson,187,0.2,0.062,-2.2
John Lambert,764,0.5,0.086,-7.6
John Long,2211,4.7,0.102,-0.2
John Lucas,1940,3.9,0.095,1.7
John McCullough,23,0.1,0.239,-2.4
John Roche,501,0.6,0.061,-1.4
Johnny Davis,2664,5.1,0.091,-0.6
Johnny Moore,2294,5.8,0.122,2.5
Julius Erving*,2789,13.3,0.229,7.7
Junior Bridgeman,924,2.6,0.136,0.3
Kareem Abdul-Jabbar*,2677,10.7,0.192,5.0
Keith Herron,269,-0.3,-0.052,-5.4
Kelly Tripucka,3077,7.5,0.117,0.2
Kelvin Ransey,2418,3.7,0.073,-0.6
Kenny Carr,1926,2.9,0.138,-5.3
Kenny Dennard,607,1.1,0.084,0.0
Kenny Higgs,1696,1.0,0.028,-3.9
Kent Benson,2467,5.2,0.101,0.4
Kermit Washington,418,0.8,0.095,-0.6
Kevin Grevey,2164,3.6,0.08,-1.2
Kevin Kunnert,237,0.0,0.009,-4.8
Kevin Loder,1139,1.5,0.062,-1.4
Kevin McHale*,2332,7.5,0.155,1.5
Kevin McKenna,237,-0.3,-0.069,-8.2
Kevin Restani,483,0.1,0.006,-7.6
Kevin Stacom,90,-0.1,-0.06,-5.3
Kiki Vandeweghe,2775,7.7,0.133,0.6
Kurt Nimphius,1085,1.5,0.067,-2.0
Kurt Rambis,1131,2.3,0.1,-0.1
Kyle Macy,2845,9.2,0.156,2.0
Larry Bird*,2923,12.5,0.205,6.6
Larry Demic,356,-0.1,-0.017,-6.5
Larry Drew,1973,3.0,0.074,0.1
Larry Kenon,1036,0.2,0.009,-3.5
Larry Nance,1186,2.4,0.098,-0.2
Larry Smith,2213,5.2,0.113,-0.3
Larry Spriggs,37,0.0,0.037,-3.5
Larry Wright,6,0.0,-0.349,-5.3
Len Elmore,2100,4.1,0.094,-0.8
Leon Douglas,1093,1.0,0.044,-4.2
Lewis Lloyd,95,0.1,0.043,-3.3
Lionel Hollins,2257,3.4,0.072,-1.4
Lonnie Shelton,2667,5.8,0.105,-0.2
Lorenzo Romar,1259,2.7,0.101,0.4
Louis Orr,1951,4.3,0.105,-0.3
Lowes Moore,70,0.2,0.152,-0.3
M.L. Carr,1296,2.8,0.103,0.5
Magic Johnson*,2991,12.9,0.207,7.2
Major Jones,746,1.3,0.084,-1.7
Mark Aguirre,1468,1.9,0.061,0.7
Mark Landsberger,1134,1.7,0.072,-4.8
Mark Olberding,2098,5.1,0.116,-0.3
Mark Radford,369,0.4,0.052,-3.0
Marques Johnson,1900,6.2,0.158,2.9
Marvin Webster,1883,3.2,0.082,-1.2
Maurice Cheeks*,2498,8.6,0.166,4.2
Maurice Lucas,2671,7.4,0.133,0.6
Mel Bennett,23,-0.1,-0.27,-5.5
Michael Brooks,2750,4.5,0.079,0.2
Michael Cooper,2197,5.0,0.109,0.9
Michael Wiley,1013,2.1,0.097,-0.1
Micheal Ray Richardson,3044,5.5,0.086,2.7
Mickey Dillard,221,-0.2,-0.051,-5.8
Mickey Johnson,1934,5.5,0.136,1.2
Mike Bantom,2016,2.9,0.14,-4.6
Mike Bratz,1616,2.7,0.081,-0.3
Mike Dunleavy,1315,2.6,0.093,-1.0
Mike Evans,270,0.0,-0.117,-8.8
Mike Gale,1793,2.4,0.063,0.4
Mike Glenn,833,2.8,0.161,1.6
Mike Gminski,740,1.8,0.119,0.1
Mike Harper,1433,2.4,0.08,-1.7
Mike McGee,352,0.2,0.029,-5.1
Mike Mitchell,3063,6.0,0.149,-3.3
Mike Newlin,1507,1.5,0.049,-3.6
Mike O'Koren,2018,4.1,0.098,0.1
Mike Woodson,2331,5.7,0.239,1.3
Mitch Kupchak,821,2.4,0.139,-0.8
Moses Malone*,3398,15.4,0.218,4.5
Mychal Thompson,3129,8.2,0.125,2.3
Norm Nixon,3024,6.6,0.104,-0.8
Ollie Johnson,150,0.2,0.076,-2.1
Ollie Mack,150,-0.1,-0.026,-3.9
Orlando Woolridge,1188,1.8,0.073,-2.1
Otis Birdsong,1025,1.6,0.074,-1.2
Pat Cummings,1132,1.8,0.078,-3.6
Paul Griffin,459,0.4,0.04,-1.5
Paul Mokeski,868,0.8,0.097,-6.2
Paul Westphal*,451,0.3,0.032,-1.8
Pete Verhoeven,1207,2.1,0.085,-2.4
Phil Ford,1952,0.9,0.021,-3.0
Phil Hubbard,1839,2.6,0.132,-5.8
Phil Smith,2042,1.5,0.1,-3.6
Purvis Short,1782,5.0,0.135,1.5
Pétur Guðmundsson,845,0.6,0.032,-3.9
Quinn Buckner,2156,4.6,0.103,0.9
Randy Smith,2033,2.4,0.058,-2.0
Ray Blume,546,-0.1,-0.013,-4.5
Ray Tolbert,607,0.7,0.08,-6.8
Ray Williams,2732,7.9,0.139,3.6
Raymond Townsend,95,-0.2,-0.078,-6.2
Reggie Carter,923,0.3,0.016,-3.5
Reggie Johnson,1904,3.9,0.293,-4.7
Reggie King,2609,4.8,0.087,-0.4
Reggie Theus,2838,5.3,0.09,-0.2
Rich Kelley,1892,2.5,0.064,-0.4
Rich Yonakor,70,0.3,0.201,-1.8
Richard Washington,313,-0.5,-0.072,-7.1
Rick Mahorn,2664,5.9,0.107,0.2
