Player,MP,WS,WS/48,BPM
Aaron James,1417,1.7,0.057,-3.5
Adrian Dantley*,1775,5.7,0.153,0.5
Al Skinner,643,1.2,0.172,-3.6
Alex English*,2696,7.0,0.124,2.1
Allan Bristow,1324,3.5,0.126,1.2
Alonzo Bradley,245,0.1,0.024,-4.2
Alvan Adams,2364,7.6,0.154,3.4
Alvin Scott,1737,4.4,0.121,1.4
Andre Wakefield,586,-0.9,-0.464,-12.4
Anthony Roberts,1236,1.7,0.067,-2.8
Armond Hill,2527,4.2,0.08,-1.4
Artis Gilmore*,3265,12.7,0.186,4.1
Austin Carr,2714,5.0,0.088,-0.7
Bayard Forrest,1243,1.2,0.048,-1.1
Ben Poquette,1337,2.5,0.091,-1.2
Bernard King*,2859,6.5,0.109,1.3
Bill Robinzine,2179,6.9,0.151,0.3
Billy Knight,2095,3.7,0.178,-1.2
Billy McKinney,1242,3.0,0.114,0.4
Billy Paultz,2122,5.1,0.114,0.7
Bingo Smith,1650,2.1,0.061,-2.3
Bo Ellis,269,0.5,0.09,-2.4
Bob Bigelow,413,0.0,0.003,-3.3
Bob Dandridge,2629,8.7,0.158,3.0
Bob Elliott,282,0.7,0.123,-0.8
Bob Gross,1441,2.9,0.097,1.4
Bob Lanier*,1835,5.9,0.155,3.0
Bob McAdoo*,2231,5.8,0.219,2.9
Bob Nash,1307,1.1,0.042,-3.2
Bob Wilkerson,2425,2.9,0.058,-0.9
Bobby Jones*,2304,7.7,0.16,2.8
Brad Davis,298,0.6,0.178,-3.7
Brian Taylor,212,0.1,0.032,-1.9
Brian Winters,2575,4.2,0.078,-1.2
Bubbles Hawkins,28,0.1,0.221,-2.3
Butch Beard,85,0.0,-0.012,-3.4
Butch Lee,1779,2.5,0.141,-2.0
Caldwell Jones,2171,5.0,0.111,-0.1
Calvin Murphy*,2941,6.8,0.112,-0.1
Campy Russell,2859,6.7,0.112,1.6
Cedric Maxwell,2969,11.7,0.188,3.1
Charles Dudley,684,-0.1,-0.009,-3.6
Charles Johnson,1819,2.8,0.074,-1.2
Charlie Criss,879,0.1,0.008,-3.2
Charlie Scott*,2617,1.9,0.035,-3.1
Chris Ford,2737,3.5,0.024,-4.8
Clemon Johnson,794,1.2,0.07,-0.7
Clifford Ray,1917,3.8,0.095,-1.0
Coby Dietrick,1487,4.1,0.133,1.9
Connie Norman,323,0.2,0.032,-3.6
Corky Calhoun,1332,2.3,0.082,-1.5
Curtis Rowe,1222,0.0,0.001,-4.1
Dan Issel*,2742,9.8,0.172,2.4
Dan Roundfield,2539,8.7,0.164,1.9
Darnell Hillman,1618,2.6,0.077,-1.8
Darryl Dawkins,2035,4.6,0.108,-0.5
Dave Corzine,532,1.1,0.102,-0.1
Dave Cowens*,2517,4.8,0.091,0.3
Dave Robisch,1219,2.3,0.092,-1.1
Dave Twardzik,1570,5.1,0.157,0.4
David Thompson*,2670,9.5,0.171,3.1
Del Beshore,1,0.0,-0.004,-4.7
Dennis Awtrey,746,0.8,0.067,-5.5
Dennis Boyd,40,-0.2,-0.23,-6.4
Dennis Johnson*,2717,6.6,0.116,1.5
Dick Snyder,536,0.9,0.08,-1.9
Don Buse,2544,5.4,0.101,0.8
Don Chaney,1074,0.6,0.027,-2.7
Don Ford,1540,2.5,0.078,-1.7
Doug Collins,1595,4.2,0.125,0.1
Dwight Jones,1215,1.3,0.05,-3.7
E.C. Coleman,39,0.1,0.169,-3.2
Earl Monroe*,1393,2.5,0.085,-1.1
Earl Tatum,1233,0.7,-0.006,-7.1
Earl Williams,273,0.4,0.069,-2.6
Eddie Johnson,2413,6.3,0.126,1.2
Eddie Jordan,2260,2.4,0.051,0.2
Elmore Smith,332,0.3,0.046,-3.6
Elvin Hayes*,3105,9.4,0.146,1.2
Eric Money,1979,2.6,0.12,-3.6
Ernie Grunfeld,1778,4.3,0.117,-0.2
Essie Hollis,154,0.1,0.022,-4.3
Foots Walker,1753,3.4,0.093,1.3
Frankie Sanders,479,0.4,0.083,-5.6
Fred Brown,1961,5.2,0.127,1.7
Freeman Williams,1195,1.8,0.072,-1.5
Gail Goodrich*,2130,2.2,0.049,-2.2
Gar Heard,1213,2.6,0.101,-0.9
Geoff Crompton,88,-0.1,-0.081,-6.4
George Gervin*,2888,11.4,0.189,3.7
George Johnson,3215,5.1,0.163,-1.4
George McGinnis*,2552,7.1,0.134,2.1
Glen Gondrezick,1602,2.7,0.082,-0.4
Glenn Mosley,221,0.3,0.068,-2.6
Greg Ballard,1552,3.9,0.12,0.7
Greg Bunch,97,0.1,0.046,-3.3
Gus Bailey,9,0.0,-0.201,-4.8
Gus Gerard,465,0.5,0.246,-7.0
Gus Williams,2266,8.3,0.175,4.9
Harry Davis,394,0.3,0.038,-3.9
Harvey Catchings,948,1.1,0.095,-3.7
Henry Bibby,2538,3.7,0.069,-2.4
Ira Terrell,732,0.6,0.11,-4.9
Jack Givens,1347,2.1,0.074,-0.7
Jack Sikma*,2958,8.8,0.143,1.2
Jackie Robinson,105,0.1,0.065,-1.9
Jacky Dorsey,108,0.2,0.076,-4.3
Jamaal Wilkes*,2915,6.9,0.113,-0.2
James Edwards,2546,7.1,0.133,-0.4
James Hardy,1456,1.3,0.043,-1.9
James Silas,2171,5.7,0.126,-0.6
Jan van Breda Kolff,1998,3.6,0.087,0.1
Jeff Judkins,1521,3.0,0.095,-0.1
Jerome Whitehead,152,0.1,0.026,-4.1
Jim Brewer,1611,1.3,0.078,-3.6
Jim Chones,2850,3.3,0.056,-1.8
Jim Cleamons,2390,3.4,0.068,-1.2
Jim McElroy,2698,4.9,0.088,0.5
Jim McMillian,278,0.5,0.086,-0.4
Jim Price,1207,1.8,0.07,-0.8
Jo Jo White*,2338,1.1,0.067,-5.3
Joe Bryant,1064,1.5,0.067,-2.6
Joe Hassett,463,0.9,0.089,-1.9
Joe Meriweather,1693,2.3,0.129,-5.6
Joel Kramer,1401,3.0,0.103,-2.2
John Brown,1265,1.7,0.064,-2.7
John Drew,2410,8.9,0.177,2.1
John Gianelli,2057,3.0,0.07,-1.4
John Johnson,2386,2.7,0.053,-1.8
John Kuester,212,0.0,0.0,-3.2
John Lambert,1030,0.9,0.044,-3.8
John Long,2498,3.6,0.07,-2.0
John Lucas,3095,7.9,0.122,1.4
John Mengelt,1705,3.0,0.084,-1.9
John Olive,189,-0.2,-0.038,-6.5
John Rudd,723,0.6,0.04,-3.8
John Williamson,2451,5.1,0.099,-0.5
Johnny Davis,2971,5.2,0.083,-0.7
Julius Erving*,2802,7.9,0.136,3.5
Junior Bridgeman,1963,5.5,0.134,1.3
Kareem Abdul-Jabbar*,3157,14.4,0.219,7.6
Keith Herron,81,0.0,-0.011,-4.8
Kenny Carr,1149,1.1,0.046,-3.5
Kenny Higgs,1050,2.2,0.098,-0.6
Kent Benson,2132,6.4,0.143,1.4
Kermit Washington,2764,6.9,0.12,0.9
Kevin Grevey,1856,3.4,0.087,-1.4
Kevin Kunnert,1684,2.3,0.066,-1.3
Kevin Porter,3064,6.2,0.097,1.4
Kevin Restani,1598,2.6,0.078,-1.8
Kevin Stacom,831,-0.8,-0.095,-9.7
Kim Anderson,224,-0.4,-0.078,-7.5
Kim Hughes,1086,2.2,0.098,0.9
Larry Kenon,2947,8.8,0.144,2.2
Larry McNeill,46,0.1,0.148,-3.6
Larry Steele,1488,2.0,0.065,-2.5
Larry Wright,1658,3.5,0.101,-0.1
Lars Hansen,205,0.6,0.149,-1.3
Len Elmore,1264,2.1,0.079,-0.3
Leon Douglas,2215,3.1,0.068,-3.7
Lionel Hollins,1967,2.3,0.055,-1.5
Lloyd Neal,48,-0.1,-0.112,-5.5
Lloyd Walton,1381,1.9,0.067,-0.7
Lonnie Shelton,2158,5.1,0.114,0.0
Lou Hudson,1686,3.3,0.095,-1.1
Louie Dampier*,760,1.6,0.098,0.3
Lucius Allen,413,0.1,0.007,-3.3
M.L. Carr,3207,7.9,0.118,1.4
Mark Landsberger,1959,2.2,0.054,-2.8
Mark Olberding,1885,4.2,0.106,-1.3
Marlon Redmond,759,0.2,-0.34,-9.5
Marques Johnson,2779,12.2,0.211,5.2
Marty Byrnes,1264,0.9,0.068,-6.7
Marvin Barnes,796,1.0,0.06,-1.5
Marvin Webster,2027,2.8,0.066,-0.6
Maurice Cheeks*,2409,4.9,0.097,0.7
Maurice Lucas,2462,6.2,0.121,0.7
Michael Cooper,7,0.0,-0.073,-4.6
Micheal Ray Richardson,1218,0.3,0.013,-1.1
Mickey Johnson,2594,3.7,0.069,0.3
Mike Bantom,2528,5.2,0.099,0.2
Mike Bratz,1297,1.7,0.064,-2.4
Mike Dunleavy,1486,3.4,0.109,0.3
Mike Gale,2121,3.6,0.082,0.6
Mike Glenn,1171,2.8,0.117,0.0
Mike Green,1641,3.8,0.112,0.2
Mike Mitchell,1576,3.6,0.111,-0.6
Mike Newlin,1828,2.9,0.076,-1.3
Mitch Kupchak,1604,5.9,0.178,1.9
Moses Malone*,3390,14.1,0.2,2.8
Mychal Thompson,2144,4.4,0.098,0.5
Nate Williams,1299,2.9,0.107,-1.0
Nick Weatherspoon,2642,3.7,0.068,-1.7
Norm Nixon,3145,9.6,0.146,2.2
Norm Van Lier,555,1.1,0.093,-1.0
Ollie Johnson,1734,3.1,0.085,-0.4
Otis Birdsong,2839,8.8,0.148,2.2
Otis Howard,113,0.1,0.098,-8.9
Paul Griffin,1398,1.6,0.054,-1.5
Paul Silas,1957,3.9,0.096,-1.2
Paul Westphal*,2641,10.4,0.189,3.7
Pete Maravich*,1824,0.1,0.004,-3.7
Phil Chenier,385,-0.1,-0.014,-5.2
Phil Ford,2723,5.7,0.101,0.9
Phil Hicks,128,0.0,-0.014,-4.8
Phil Jackson*,1070,1.9,0.086,-1.5
Phil Smith,2288,5.2,0.11,1.0
