Player,MP,WS,WS/48,BPM
A.C. Green,2510,9.4,0.179,1.6
Adrian Branch,811,1.5,0.087,-1.4
Adrian Dantley*,2422,7.4,0.284,0.9
Albert King,791,0.0,-0.003,-4.1
Alex English*,2990,6.8,0.11,0.9
Allen Leavell,627,-0.1,-0.009,-3.8
Alton Lister,1806,3.7,0.097,-2.0
Alvin Robertson,2287,4.4,0.093,2.5
Andre Turner,13,-0.1,-0.257,-11.1
Andrew Lang,526,1.4,0.124,-1.1
Anthony Bowie,438,0.5,0.054,-3.3
Anthony Frederick,313,0.2,0.025,-3.0
Anthony Jones,196,0.3,0.134,-0.9
Anthony Taylor,368,0.2,0.029,-2.1
Antoine Carr,1488,3.3,0.106,-0.8
Armen Gilliam,2120,5.1,0.115,-1.1
Avery Johnson,291,0.3,0.045,-1.0
Barry Sumpter,1,0.0,-0.894,-49.2
Bart Kofoed,176,0.0,-0.006,-4.8
Ben Coleman,703,0.8,0.051,-4.9
Ben Gillery,84,0.0,0.014,-9.6
Ben McDonald,103,0.3,0.131,-2.0
Benoit Benjamin,2585,5.1,0.095,0.3
Bernard King*,2559,4.9,0.092,0.5
Bernard Thompson,222,0.0,0.0,-4.3
Bill Cartwright,2333,2.1,0.042,-5.0
Bill Hanzlik,701,0.7,0.047,-3.1
Bill Jones,307,0.6,0.089,-0.9
Bill Laimbeer,2640,9.0,0.164,3.2
Bill Wennington,1074,1.3,0.056,-4.9
Billy Thompson,2273,2.8,0.06,-1.3
Blair Rasmussen,1308,1.8,0.065,-4.4
Bob Hansen,964,1.7,0.083,-2.1
Bob Thornton,449,0.1,0.01,-6.7
Brad Daugherty,2821,9.6,0.164,2.0
Brad Davis,1395,2.7,0.094,-0.7
Brad Lohaus,1214,0.9,0.074,-7.4
Brad Sellers,1732,2.6,0.073,-1.7
Brian Rowsom,517,1.5,0.135,-0.9
Brian Shaw,2301,2.2,0.046,-0.7
Brook Steppe,244,0.6,0.113,-1.6
Buck Johnson,1850,3.6,0.094,-0.6
Buck Williams,2446,5.2,0.101,-1.2
Byron Scott,2605,6.8,0.125,1.0
Caldwell Jones,1279,0.8,0.031,-3.1
Calvin Natt,353,0.3,0.075,-8.0
Charles Barkley*,3088,16.1,0.25,7.5
Charles Davis,545,0.5,0.048,-4.3
Charles Jones,1670,2.5,0.154,-2.7
Charles Oakley,2604,5.7,0.106,-0.4
Charles Shackleford,484,0.8,0.076,-2.9
Charles Smith,2161,4.0,0.089,-1.7
Chris Dudley,544,0.1,0.011,-7.0
Chris Morris,2096,2.8,0.064,-0.3
Chris Mullin*,3093,10.6,0.165,4.0
Chris Welp,843,0.7,0.042,-4.7
Chuck Nevitt,228,0.1,0.022,-4.5
Chuck Person,3012,3.0,0.048,-1.1
Cliff Levingston,2184,5.5,0.121,0.2
Cliff Robinson,416,0.3,0.033,-2.9
Clinton Wheeler,354,0.6,0.193,1.6
Clyde Drexler*,3064,12.6,0.197,6.5
Corey Gaines,337,0.2,0.035,-3.3
Craig Ehlo,1867,4.6,0.118,2.0
Craig Hodges,1204,2.9,0.172,-1.1
Craig Neal,500,-0.3,-0.054,-10.5
Dale Ellis,3190,10.8,0.163,2.7
Dallas Comegys,1119,1.4,0.06,-3.0
Dan Majerle,1354,2.5,0.09,0.3
Danny Ainge,2377,6.7,0.269,5.0
Danny Manning,950,0.7,0.034,-1.3
Danny Schayes,1918,5.6,0.141,-1.2
Danny Young,952,1.8,0.091,0.0
Darnell Valentine,1086,1.7,0.074,-1.5
Darrell Griffith,2382,3.9,0.078,-1.7
Darrell Walker,2565,3.7,0.07,0.9
Darryl Dawkins,48,0.0,0.027,-8.6
Darwin Cook,1143,0.9,0.078,-5.0
Dave Corzine,1483,1.4,0.046,-2.7
Dave Feitl,828,0.4,0.022,-5.2
Dave Greenwood,1403,2.2,0.152,-5.0
Dave Hoppen,1419,2.6,0.086,-3.4
Dave Popson,106,-0.2,-0.151,-16.1
David Rivers,440,0.0,0.002,-3.4
David Wingate,372,0.2,0.032,-3.3
David Wood,2,0.0,-0.002,-6.7
Dell Curry,813,0.9,0.052,0.9
Dennis Hopson,1551,1.7,0.053,-1.7
Dennis Johnson*,2309,2.5,0.051,-1.7
Dennis Rodman*,2208,8.1,0.175,2.2
Derek Harper,2968,8.0,0.13,3.2
Derek Smith,1295,0.9,0.061,-5.8
Derrick Chievous,1539,1.6,0.05,-3.3
Derrick McKey,2804,7.4,0.126,1.0
Detlef Schrempf,1850,4.3,0.223,-0.1
Doc Rivers,2462,8.5,0.167,4.8
Dominic Pressley,124,-0.1,-0.172,-16.4
Dominique Wilkins*,2997,10.4,0.166,3.4
Duane Ferrell,231,0.4,0.082,-3.3
Dudley Bradley,267,0.0,0.004,-4.6
Earl Cureton,2047,1.5,0.035,-2.9
Ed Nealy,258,0.3,0.158,-6.6
Ed Pinckney,2012,6.1,0.306,3.5
Eddie Hughes,224,0.4,0.089,-0.1
Eddie Johnson,2043,6.5,0.152,2.1
Eddie Lee Wilkins,584,0.3,0.023,-7.5
Elston Turner,1746,2.1,0.056,-2.1
Ennis Whatley,90,0.0,0.005,-4.4
Eric Leckner,779,1.5,0.093,-5.0
Eric White,436,0.5,-0.373,-38.2
Everette Stephens,209,-0.4,-0.103,-5.6
Fat Lever,2745,9.2,0.161,5.2
Fennis Dembo,74,-0.1,-0.037,-10.8
Frank Brickowski,1822,3.6,0.094,-0.5
Frank Johnson,879,0.6,0.034,-3.0
Fred Roberts,1251,2.0,0.077,-1.6
Gary Grant,1924,-0.4,-0.009,-1.9
Gerald Henderson,986,1.1,0.055,-2.3
Gerald Wilkins,2414,4.3,0.086,-0.2
Grant Gondrezick,244,0.2,0.032,-2.4
Grant Long,2435,4.6,0.091,-1.1
Greg Anderson,2401,3.4,0.069,-2.0
Greg Ballard,15,0.0,0.021,-10.8
Greg Butler,140,-0.1,-0.034,-10.1
Greg Dreiling,396,0.4,0.045,-5.2
Greg Kite,942,0.1,0.024,-11.1
Hakeem Olajuwon*,3024,12.4,0.197,5.5
Harold Pressley,2257,4.8,0.102,1.9
Harvey Grant,1193,1.7,0.07,-2.0
Herb Williams,2470,1.4,0.054,-4.9
Hersey Hawkins,2577,4.0,0.075,-0.2
Horace Grant,2809,6.4,0.11,-0.6
Hot Rod Williams,2125,7.7,0.173,2.2
Isiah Thomas*,2924,7.0,0.115,2.6
Jack Haley,289,0.4,0.064,-6.0
Jack Sikma*,2587,8.1,0.151,2.8
James Donaldson,1746,4.4,0.122,0.0
James Edwards,1254,2.8,0.109,-2.6
James Worthy*,2960,9.7,0.158,3.0
Jay Humphries,2220,4.9,0.105,1.3
Jay Vincent,646,-0.3,-0.074,-14.6
Jeff Grayer,200,0.2,0.047,-1.5
Jeff Hornacek,2487,7.7,0.149,2.7
Jeff Lamp,176,-0.1,-0.026,-6.9
Jeff Malone,2418,4.1,0.081,-0.7
Jerome Kersey,2716,6.8,0.121,1.4
Jerome Lane,550,0.1,0.013,-5.1
Jerome Whitehead,622,0.4,0.041,-11.1
Jerry Reynolds,737,1.6,0.107,1.5
Jerry Sichting,390,0.2,0.03,-3.1
Jim Farmer,412,0.4,0.045,-5.1
Jim Les,781,0.3,0.018,-3.7
Jim Paxson,1138,1.3,0.053,-3.1
Jim Petersen,1633,0.6,0.019,-4.1
Jim Rowinski,15,0.0,0.403,-1.4
Joe Barry Carroll,1996,2.3,0.056,-1.0
Joe Dumars*,2408,7.0,0.14,1.9
Joe Kleine,1411,1.0,0.092,-8.1
Joe Wolf,1450,-0.5,-0.016,-5.5
John Bagley,1642,0.4,0.013,-2.7
John Battle,1672,3.2,0.092,-1.1
John Long,919,0.2,0.063,-7.7
John Lucas,842,1.9,0.109,2.4
John Paxson,1738,3.3,0.091,-1.4
John Salley,1458,3.5,0.115,0.7
John Shasky,944,1.9,0.097,-2.4
John Starks,316,0.0,-0.002,-3.5
John Stockton*,3171,15.6,0.236,8.3
