Player,MP,WS,WS/48,BPM
Abdul Jeelani,1286,3.8,0.141,1.5
Adrian Dantley*,2674,10.5,0.189,3.7
Al Skinner,10,0.0,-0.152,-4.8
Alex English*,2401,5.2,0.203,1.0
Allan Bristow,2304,4.4,0.091,0.6
Allen Leavell,2123,4.0,0.091,1.1
Alonzo Bradley,96,-0.2,-0.097,-6.8
Alvan Adams,2168,7.0,0.155,3.6
Alvin Scott,1303,1.7,0.062,-0.8
Andre Wakefield,47,-0.2,-0.187,-7.1
Anthony Roberts,486,0.1,0.009,-5.6
Armond Hill,2092,2.5,0.057,-2.0
Artis Gilmore*,1568,5.6,0.172,2.9
Arvid Kramer,45,-0.1,-0.102,-5.4
Austin Carr,1595,2.0,0.059,-1.7
Ben Poquette,2349,4.9,0.099,-0.1
Bernard King*,419,0.0,-0.002,-4.2
Bernard Toone,124,-0.1,-0.036,-5.4
Bill Cartwright,3150,9.7,0.148,0.6
Bill Robinzine,1917,5.5,0.137,-0.8
Bill Walton*,337,0.8,0.108,3.0
Bill Willoughby,1447,3.0,0.099,-0.8
Billy Knight,1910,5.8,0.145,1.4
Billy McKinney,1333,2.7,0.096,-0.5
Billy Paultz,2193,4.0,0.172,0.5
Billy Ray Bates,235,0.9,0.188,4.3
Bingo Smith,2123,2.1,0.076,-6.9
Bo Ellis,502,0.9,0.085,-1.9
Bob Carrington,134,0.0,0.001,-4.6
Bob Dandridge,1457,1.7,0.056,-0.2
Bob Elliott,722,0.8,0.05,-2.9
Bob Gross,1581,1.7,0.051,-0.6
Bob Lanier*,2131,7.4,0.355,6.9
Bob McAdoo*,2097,2.0,0.047,-0.8
Bob Wilkerson,2381,0.2,0.004,-3.8
Bobby Jones*,2125,8.1,0.183,3.3
Brad Davis,268,0.6,0.118,-4.5
Brad Holland,197,0.3,0.081,-2.6
Brian Taylor,2754,5.6,0.098,0.4
Brian Winters,2623,6.2,0.113,0.2
Bubba Wilson,143,-0.2,-0.064,-5.3
Butch Lee,55,-0.2,-0.365,-10.2
Caldwell Jones,2771,3.9,0.068,-1.6
Calvin Murphy*,2676,7.2,0.129,0.7
Calvin Natt,2857,7.1,0.25,1.6
Campy Russell,1331,1.8,0.067,0.8
Carl Kilpatrick,6,0.0,0.225,-4.5
Cedric Maxwell,2744,12.2,0.214,3.5
Charlie Criss,1794,2.8,0.075,-1.4
Charlie Scott*,1860,-1.4,-0.037,-6.0
Cheese Johnson,53,0.0,-0.033,-5.5
Chris Ford,2115,5.6,0.126,2.0
Clemon Johnson,1541,3.5,0.109,0.1
Cliff Robinson,1661,3.6,0.104,-0.6
Clifford Ray,1683,1.9,0.054,-1.6
Clint Richardson,988,1.1,0.052,-2.6
Coby Dietrick,1830,2.9,0.076,0.6
Corky Calhoun,30,0.0,0.067,-4.4
Dan Issel*,2938,11.5,0.188,3.3
Dan Roundfield,2588,9.1,0.169,2.9
Darnell Hillman,708,0.3,0.018,-4.2
Darryl Dawkins,2541,5.7,0.107,-1.2
Dave Corzine,826,0.9,0.05,-3.0
Dave Cowens*,2159,5.4,0.121,0.9
Dave Greenwood,2791,6.5,0.112,-0.3
Dave Meyers,2204,3.9,0.084,-0.8
Dave Robisch,2670,8.6,0.154,1.8
Dave Twardzik,1594,3.7,0.11,-0.5
David Thompson*,1239,3.0,0.116,1.6
Del Beshore,869,-0.9,-0.052,-5.1
Dennis Awtrey,560,0.6,0.053,-1.4
Dennis Johnson*,2937,7.4,0.12,1.3
Don Buse,2499,4.6,0.088,0.2
Don Chaney,523,0.4,0.033,-3.1
Don Ford,999,1.5,0.144,-4.0
Doug Collins,963,1.9,0.094,-1.9
Duck Williams,1794,-0.3,-0.009,-4.0
Dudley Bradley,2027,3.1,0.073,1.0
Dwight Jones,1448,2.7,0.148,-5.8
Earl Evans,381,0.1,0.015,-4.0
Earl Monroe*,633,1.1,0.081,-1.8
Earl Tatum,225,0.0,-0.005,-2.8
Eddie Johnson,2622,8.2,0.15,2.8
Eddie Jordan,2657,4.1,0.074,0.6
Elvin Hayes*,3183,6.2,0.094,-0.4
Eric Fernsten,431,1.2,0.133,0.8
Eric Money,1549,0.6,-0.068,-9.2
Ernie Grunfeld,1397,2.5,0.087,-1.3
Foots Walker,2422,6.1,0.12,1.9
Fred Brown,1701,4.9,0.138,1.4
Freeman Williams,2118,4.1,0.092,0.5
Gar Heard,1403,2.3,0.08,-0.9
Gary Garland,1106,0.5,0.02,-2.6
Geoff Huston,923,-0.3,-0.017,-4.4
George Gervin*,2934,10.6,0.173,3.9
George Johnson,4057,6.4,0.155,-0.8
George McGinnis*,2208,1.9,0.087,-2.8
Gerald Henderson,1061,1.7,0.078,-0.4
Glen Gondrezick,1020,3.1,0.145,2.0
Greg Ballard,2438,6.9,0.136,2.0
Greg Deane,48,-0.1,-0.07,-4.8
Greg Kelser,1233,1.4,0.056,-1.2
Gus Bailey,180,0.2,0.043,-1.7
Gus Gerard,869,1.9,0.104,-0.2
Gus Williams,2969,11.6,0.187,4.7
Harry Davis,30,0.0,-0.03,-5.1
Harvey Catchings,1366,2.6,0.09,0.1
Henry Bibby,2035,3.4,0.079,-2.2
Hollis Copeland,1142,1.2,0.052,-1.8
Irv Kiffin,212,-0.6,-0.128,-8.6
Jack Givens,1254,2.2,0.084,-1.6
Jack Sikma*,2793,8.6,0.148,1.8
Jackie Robinson,51,0.2,0.167,-2.4
Jamaal Wilkes*,3111,10.0,0.154,1.3
James Bailey,726,1.0,0.063,-3.3
James Edwards,2314,6.7,0.14,-0.5
James Hardy,1600,1.8,0.054,-1.4
James Silas,2293,5.5,0.116,-0.5
Jan van Breda Kolff,2399,3.9,0.078,-0.4
Jeff Cook,904,2.4,0.126,-0.2
Jeff Judkins,674,1.8,0.131,0.0
Jerome Whitehead,553,0.2,0.056,-8.9
Jim Brewer,1016,2.0,0.096,0.7
Jim Chones,2394,3.5,0.071,-2.4
Jim Cleamons,1789,2.4,0.113,-3.0
Jim McElroy,1528,0.7,0.046,-6.2
Jim Paxson,1270,0.3,0.011,-4.1
Jim Spanarkel,442,0.4,0.048,-3.6
Jo Jo White*,2052,1.5,0.035,-2.4
Joe Bryant,2328,1.8,0.038,-2.5
Joe Hassett,1135,2.0,0.085,-0.8
Joe Meriweather,1565,2.2,0.068,-2.0
Joel Kramer,711,1.4,0.095,-1.4
John Brown,385,0.1,-0.242,-11.6
John Coughran,160,-0.3,-0.086,-6.5
John Drew,2306,6.4,0.134,-0.3
John Gianelli,285,-0.4,-0.071,-5.5
John Johnson,2533,4.9,0.093,0.3
John Kuester,100,0.1,0.039,-3.1
John Lambert,1324,1.8,0.066,-2.6
John Long,2364,3.6,0.072,-0.4
John Lucas,2763,5.9,0.103,0.4
John Mengelt,387,0.6,0.07,-3.1
John Olive,15,-0.1,-0.303,-5.5
John Roche,2286,4.2,0.088,-1.0
John Shumate,1337,3.6,0.334,-0.3
John Williamson,1374,1.4,0.078,-5.5
Johnny Davis,2912,4.4,0.073,-2.0
Johnny High,1121,1.1,0.047,-2.4
Julius Erving*,2812,12.5,0.213,7.6
Junior Bridgeman,2316,6.1,0.127,0.3
Kareem Abdul-Jabbar*,3143,14.8,0.227,7.2
Kenny Carr,1838,3.8,0.037,-6.1
Kent Benson,1891,3.2,0.126,-1.7
Kermit Washington,2657,9.1,0.165,1.9
Kevin Grevey,1818,3.3,0.088,-0.8
Kevin Kunnert,302,0.2,0.032,-2.8
Kevin Porter,1494,1.8,0.057,-1.5
Kevin Restani,1966,3.5,0.085,-0.9
Kim Hughes,1208,2.2,0.088,0.2
Larry Bird*,2955,11.2,0.182,4.5
Larry Demic,1872,-0.1,-0.002,-6.2
Larry Kenon,2798,5.4,0.093,-0.4
Larry Steele,446,0.5,0.052,-2.3
Larry Wright,1286,1.8,0.069,-1.0
Lawrence Boston,125,0.2,0.075,-4.0
Len Elmore,915,1.5,0.08,-1.4
Leon Douglas,1782,2.1,0.057,-2.8
Lionel Hollins,1209,0.1,-0.035,-8.7
Lloyd Walton,1243,1.1,0.041,-2.4
Lonnie Shelton,2243,7.5,0.161,1.6
M.L. Carr,1994,5.2,0.125,1.3
Mack Calvin,772,1.4,0.085,-1.7
Magic Johnson*,2795,10.5,0.18,4.8
Major Jones,1545,1.3,0.041,-2.3
Mark Landsberger,1510,3.4,0.231,-3.8
Mark Olberding,2111,3.1,0.071,-1.0
Marlon Redmond,298,0.3,0.051,-2.7
Marques Johnson,2686,11.5,0.206,5.1
Marty Byrnes,194,0.0,0.009,-5.2
Marvin Barnes,287,0.1,0.019,-4.3
Marvin Webster,298,0.2,0.039,-4.1
