Player,MP,WS,WS/48,BPM
Greg Grant,107,0.0,0.012,-3.3
Greg Kite,2225,2.0,0.043,-3.5
Hakeem Olajuwon*,2062,8.6,0.201,6.2
Harvey Grant,2842,6.7,0.11199999999999999,0.7
Haywoode Workman,2034,2.5,0.057999999999999996,-1.6
Henry James,505,0.6,0.053,-2.1
Herb Williams,1832,1.7,0.045,-2.1
Hersey Hawkins,3110,9.8,0.151,3.3
Horace Grant,2641,10.3,0.188,2.5
Hot Rod Williams,1293,2.4,0.09,-0.2
Ian Lockhart,2,0.0,1.084,39.9
Irving Thomas,108,-0.1,-0.057,-10.3
Isiah Thomas*,1657,3.4,0.098,2.7
J.R. Reid,2467,1.8,0.034,-3.7
Jack Haley,1178,2.2,0.09,-4.6
Jack Sikma*,1940,3.5,0.08800000000000001,-0.5
James Donaldson,2800,4.3,0.07400000000000001,-1.9
James Edwards,1903,3.5,0.08800000000000001,-2.7
James Worthy*,3008,9.0,0.14300000000000002,2.5
Jawann Oldham,19,0.0,0.027999999999999997,-5.6
Jay Humphries,2726,8.6,0.152,2.1
Jayson Williams,508,0.1,0.006,-7.7
Jeff Grayer,1422,1.5,0.049,-2.2
Jeff Hornacek,2733,9.7,0.171,3.3
Jeff Malone,2466,5.1,0.1,-2.0
Jeff Martin,1334,1.3,0.046,-2.4
Jeff Sanders,43,0.0,0.022000000000000002,-6.8
Jeff Turner,1683,1.2,0.034,-4.2
Jerome Kersey,2359,6.7,0.136,1.9
Jerome Lane,1383,0.6,0.021,-4.0
Jerrod Mustaf,825,0.4,0.022000000000000002,-5.0
Jerry Reynolds,1843,3.7,0.096,2.3
Jim Grandholm,168,0.4,0.12300000000000001,-0.9
Jim Les,1399,3.6,0.125,-0.1
Jim Petersen,834,1.0,0.055,-4.1
Jim Thomas,14,0.0,-0.16699999999999998,-7.4
Joe Barry Carroll,96,0.0,-0.013999999999999999,-5.3
Joe Dumars*,3046,9.9,0.155,2.7
Joe Kleine,850,1.2,0.069,-4.3
Joe Wolf,1593,0.7,0.021,-4.1
John Battle,1863,4.0,0.102,-0.9
John Long,256,0.5,0.09,0.0
John Morton,1207,1.5,0.057999999999999996,-1.2
John Paxson,1971,5.7,0.14,0.3
John Salley,1649,4.8,0.139,1.1
John Shasky,510,0.7,0.063,-4.4
John Starks,1173,2.4,0.09699999999999999,0.9
John Stockton*,3103,14.0,0.217,8.3
John Williams,941,1.0,0.051,-0.4
Johnny Dawkins,124,0.6,0.218,4.6
Johnny Newman,2477,4.1,0.08,-1.0
Jon Koncak,1931,2.5,0.062,-0.7
Jon Sundvold,225,0.2,0.037000000000000005,-2.2
Jud Buechler,859,1.2,0.065,-2.1
